Class	CK	CK	CK	JXBR16	JXBR16	JXBR16	RW37	RW37	RW37	R37J16	R37J16	R37J16
k__Archaea	0.0115617165609792	0.0147427317190761	0.00541119617150051	0.00470720415318753	0.00534131029550331	0.00396206806962847	0.00249062804909362	0.00325433745283207	0.00126938469234617	0.00349002444153925	0.00473984858416833	0.00334507313021947
k__Archaea|p__Euryarchaeota	0.00145504596175589	0.00359052760455984	0.00340936637395119	0.00103313122703704	0.00175962400808292	0.00140007505556999	0.000272171724952498	0.000332754340780375	0.000368934467233617	0.00114818393679304	0.00083559640693545	0.00141492748496639
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	0	0	0	0	0	0	0	0	0	0	1.44068346023353e-05	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales	0	0	0	0	0	0	0	0	0	0	1.44068346023353e-05	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales|f__Methanocellaceae	0	0	0	0	0	0	0	0	0	0	1.44068346023353e-05	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales|f__Methanocellaceae|g__Methanocella	0	0	0	0	0	0	0	0	0	0	1.44068346023353e-05	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata	0.00145504596175589	0.00359052760455984	0.00340936637395119	0.00103313122703704	0.00175962400808292	0.00140007505556999	0.000272171724952498	0.000332754340780375	0.000368934467233617	0.00114818393679304	0.000821189572333115	0.00141492748496639
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales	0.00145504596175589	0.00359052760455984	0.00340936637395119	0.00103313122703704	0.00175962400808292	0.00140007505556999	0.000272171724952498	0.000332754340780375	0.000368934467233617	0.00114818393679304	0.000821189572333115	0.00141492748496639
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Marine_Group_II	0.00145504596175589	0.00357784022786528	0.00340936637395119	0.00103313122703704	0.00175962400808292	0.00140007505556999	0.000272171724952498	0.000332754340780375	0.000368934467233617	0.00114818393679304	0.000821189572333115	0.00141492748496639
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmatales_Incertae_Sedis	0	1.26873766945577e-05	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Miscellaneous_Crenarchaeotic_Group	9.83139163348572e-06	6.34368834727887e-06	0	0	0	0	1.54059466954244e-05	0	0	5.68407889501506e-06	0	0
k__Archaea|p__Thaumarchaeota	0.0100575136410559	0.0110887672310435	0.00200182979754932	0.00364824464547456	0.00351924801616584	0.00247539043330158	0.00220305037744569	0.00290827293842048	0.000887943971985993	0.00233615642585119	0.00388264192532937	0.00192245582196521
k__Archaea|p__Thaumarchaeota|c__Soil_Crenarchaeotic_Group(SCG)	8.84825247013715e-05	0.000285465975627549	0.000625571811734163	0.00364824464547456	0.00351924801616584	0.00247539043330158	0.00186411955014636	0.00113801984546888	0.000644072036018009	0.00173364406297959	0.00101568183946464	0.000799741621937528
k__Archaea|p__Thaumarchaeota|c__Soil_Crenarchaeotic_Group(SCG)|o__Unknown_Order	2.94941749004572e-05	0.000126873766945577	0.00021113048646028	0.000322853508449076	0.000368953421049644	0.0003247596778384	0.000883274277204334	0.000479166250723741	0.000275137568784392	0.000505883021656341	0.000259323022842036	0.000153796465757217
k__Archaea|p__Thaumarchaeota|c__Soil_Crenarchaeotic_Group(SCG)|o__Unknown_Order|f__Unknown_Family	2.94941749004572e-05	0.000126873766945577	0.00021113048646028	0.000322853508449076	0.000368953421049644	0.0003247596778384	0.000883274277204334	0.000479166250723741	0.000275137568784392	0.000505883021656341	0.000259323022842036	0.000153796465757217
k__Archaea|p__Thaumarchaeota|c__Soil_Crenarchaeotic_Group(SCG)|o__Unknown_Order|f__Unknown_Family|g__Candidatus_Nitrososphaera	2.94941749004572e-05	0.000126873766945577	0.00021113048646028	0.000322853508449076	0.000368953421049644	0.0003247596778384	0.000883274277204334	0.000479166250723741	0.000275137568784392	0.000505883021656341	0.000259323022842036	0.000153796465757217
k__Archaea|p__Thaumarchaeota|c__South_African_Gold_Mine_Gp_1(SAGMCG-1)	0.00988054859165315	0.0106700838001231	0.00134497939522845	0	0	0	0.000308118933908489	0.00175028783250478	0.000218859429714857	0.00048314670607628	0.00284534983396123	0.00111502437673982
k__Archaea|p__Thaumarchaeota|c__South_African_Gold_Mine_Gp_1(SAGMCG-1)|o__Unknown_Order	5.89883498009143e-05	0.000177623273723809	7.81964764667704e-06	0	0	0	5.13531556514148e-06	1.3310173631215e-05	6.25312656328164e-06	0	2.1610251903503e-05	0
k__Archaea|p__Thaumarchaeota|c__South_African_Gold_Mine_Gp_1(SAGMCG-1)|o__Unknown_Order|f__Unknown_Family	5.89883498009143e-05	0.000177623273723809	7.81964764667704e-06	0	0	0	5.13531556514148e-06	1.3310173631215e-05	6.25312656328164e-06	0	2.1610251903503e-05	0
k__Archaea|p__Thaumarchaeota|c__South_African_Gold_Mine_Gp_1(SAGMCG-1)|o__Unknown_Order|f__Unknown_Family|g__Candidatus_Nitrosotalea	5.89883498009143e-05	0.000177623273723809	7.81964764667704e-06	0	0	0	5.13531556514148e-06	1.3310173631215e-05	6.25312656328164e-06	0	2.1610251903503e-05	0
k__Archaea|p__Thaumarchaeota|c__terrestrial_group	6.88197414344e-05	0.000126873766945577	2.34589429400311e-05	0	0	0	3.08118933908489e-05	1.99652604468225e-05	2.50125062531266e-05	0.000107997499005286	2.1610251903503e-05	7.68982328786085e-06
k__Archaea|p__Woesearchaeota_(DHVEG-6)	3.93255665339429e-05	5.70931951255099e-05	0	2.58282806759261e-05	6.24382712545552e-05	8.66025807569066e-05	0	1.3310173631215e-05	1.25062531265633e-05	0	2.1610251903503e-05	7.68982328786085e-06
