"","CCA1","CCA2","CCA3","CCA4","CCA5","CCA6","CCA7","CCA8","CCA9","CCA10"
"pH",-0.62388846626904,-0.0748731061703422,0.135161673030213,0.125251824667904,-0.429616158205141,0.176447273997487,0.38777016066767,0.298004752295983,0.31334499828808,-0.134681849001407
"TP",-0.525725745574255,-0.0263400814975912,0.0205348445913062,0.0375162437010257,-0.132811402720083,0.196298399440204,0.779083485071886,-0.157104524019844,-0.0215528313220774,0.181108059265048
"TN",-0.265318608366765,-0.462863366364393,0.0588462850519374,0.348245144633217,0.54821629290333,-0.0433229673113897,-0.419872917893813,0.0904539696937833,-0.31680586632496,-0.0580245297598415
"AP",-0.34949150006227,-0.499301697799986,0.216906009212756,0.350428007666611,0.565063039784473,-0.219200454208421,0.0267907363165131,-0.0219561929628337,-0.210681622120821,-0.21394826162316
"SOM",-0.222719724657621,-0.651593350442698,0.59834947222169,-0.0910043708375874,0.0255872359188792,-0.319300303059181,0.183360024585144,0.0675618920046297,-0.129181701508006,-0.0451368302000218
"ACP",-0.530458308095268,-0.45537618903863,0.349343609174561,0.475727658803627,0.201431994232459,-0.00383547899394388,-0.212650414275956,-0.0829184845488923,-0.263017933882448,-0.0320168813672051
"ALP",-0.360777709800311,-0.37775436295041,-0.0409425816340799,-0.0192079667082507,-0.0617244076285817,-0.461507237650944,0.151668954833669,-0.543742649161546,0.298919413257386,-0.316677526051732
"UE",-0.105040952827348,-0.631429878634429,-0.0545468891260631,0.499152216211455,0.358711516251461,-0.0561794811356373,0.419999886196355,0.0605303097671757,0.129102712491872,-0.0978416545464332
"NH4N",0.814914729471335,-0.217362224467802,-0.277911579335808,-0.152050872902632,0.165909505848013,0.059605925050278,-0.352522340868621,0.0135628488702101,-0.178094245221519,0.0325728551384782
"NO3N",-0.299571222153941,-0.348525453413356,0.296239225744071,0.275354445151086,0.327723684120753,-0.000157349681556322,0.169587560491176,0.358696690958249,0.578697862483144,-0.159662240787837
