"","CCA1","CCA2"
"CK1",-0.270534042345251,2.81233333136828
"CK2",-0.168867883737424,1.13909847921165
"CK3",-0.548159558142878,0.0325953926548578
"JXBR161",1.76439956134542,-0.0838068178593488
"JXBR162",1.72005029974423,-0.401569767618493
"JXBR163",1.70808981973556,-0.289692847178716
"RW371",-0.939241726742946,-0.936586692435117
"RW372",-0.664819579671106,-0.846480583716083
"RW373",-0.441870199509436,-0.561537659162837
"R37J161",-0.717957865060932,-0.272259433519701
"R37J162",-1.00263935223382,0.06281764269203
"R37J163",-0.498935015191431,-0.718242958954737
