"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","RDA10"
"pH",-0.654681092845315,-0.0517868176080547,-0.217202060247799,-0.142223656299851,0.215337163577567,-0.289471737980412,-0.0206934330041928,0.589447245009253,0.0108041152022514,-0.152149617071074
"TP",-0.554598405515466,0.176842737076363,0.0369760244590598,-0.178743699561961,-0.17948257118292,-0.525768865739489,-0.386763111599147,0.311792695720027,0.214679041297499,0.162161476667858
"TN",-0.199712653874666,-0.746385650118325,0.242079559624728,0.133294916067366,-0.286698911426343,0.218731725982174,0.180717030582494,-0.257409369562576,-0.21661273231257,0.225331158735339
"AP",-0.303540081405094,-0.689868768888024,0.110146244996388,0.105866351489048,-0.576321763867641,-0.137966790296843,0.118274379025462,-0.157198195047809,-0.136471798057974,0.00991752849541102
"SOM",-0.223610717329273,-0.504302094438834,-0.356870876715193,-0.267434792565857,-0.230193526309525,-0.539001152083198,0.32165374462099,-0.221162367622985,0.0127371781081865,0.0274224767040082
"ACP",-0.483631403299346,-0.788546341418925,-0.102945309681181,-0.0022611724758631,-0.201111043407374,0.0159024184881093,-0.121728641443175,-0.178241346704652,-0.141926010889127,0.162058978176003
"ALP",-0.371894949328549,-0.192021745149615,0.0607358782606022,0.0315347992698343,-0.117564687499117,-0.386674649295706,-0.0930932045940006,-0.356176781119737,0.213374077704728,-0.689741273405524
"UE",-0.0803117034535707,-0.658246446089827,0.313916267148515,0.121964573545758,-0.379622623532747,-0.418859920705665,-0.00804362208413081,0.306724709567016,0.163500047345963,-0.0800555073000265
"NH4N",0.833794952040478,-0.0681271904248269,0.357884742571477,0.0378593061722392,0.163259130273363,0.0989799248749338,0.182228391923858,-0.270877756292347,-0.113904828500416,0.120925692343013
"NO3N",-0.273134649829819,-0.527060351007322,-0.0384927621469418,-0.170785384946914,-0.318902267329359,0.00216645205313599,0.33028242548478,0.532023657607594,0.192883878293792,-0.293108027940183
