"","CCA1","CCA2"
"CK1",-0.544869997103595,2.59646394444108
"CK2",-0.516514440981991,1.45915433698487
"CK3",-0.552173039786665,0.416020946813437
"JXBR161",1.74399307206937,-0.264152095208422
"JXBR162",2.22386506062803,0.251792745447648
"JXBR163",1.51620085309044,-0.325948593737258
"RW371",-0.797192122786407,-0.932875103380244
"RW372",-0.524848730402925,-1.00975875689902
"RW373",-0.442183604311833,-0.67620500267586
"R37J161",-0.583772297775205,-0.3336888416416
"R37J162",-0.642101561594567,-0.441882796177344
"R37J163",-0.463774056134289,-0.471008487678019
