"","CCA1","CCA2"
"Sphingomonadaceae",-0.241240980112147,-0.398809977281526
"Pseudomonadaceae",1.74344803431223,0.168857154368349
"Acidobacteriaceae (Subgroup 1)",-0.522829683840403,0.261291258430786
"Gemmatimonadaceae",0.0565729477342437,-0.226115049375081
"Oxalobacteraceae",-0.33893723478371,-0.439677913154587
"Chitinophagaceae",-0.114105377444515,-0.0774811505205995
"Nitrosomonadaceae",0.148316218227945,0.219958517606393
"Unknown Family",-0.322961534635195,0.600931721486192
"Micrococcaceae",0.102099615222462,-0.214390014883293
"Anaerolineaceae",0.0389921074335713,0.349032360397092
"Burkholderiaceae",-0.539252260854583,-0.235688569914312
"RB41",0.909023051761699,-0.135993838557023
"Flavobacteriaceae",-0.229314529629906,2.14328318918306
"Comamonadaceae",0.306251144531232,-0.14252047586429
"Xanthomonadaceae",0.236904749607758,-0.205105984369254
"Cytophagaceae",0.482294565628761,0.419766901229085
"Unknown Family_1",0.757040623315479,-0.188369807070105
"Bradyrhizobiaceae",-0.2924509071703,0.00653521974616751
"HSB OF53-F07",-0.560356865959962,0.125078111984375
"Nitrospiraceae",0.518262176507514,0.00917620534432554
"Micromonosporaceae",-0.389810462397622,-0.0814587494083698
"0319-6A21",0.973173508823832,0.0187815956341867
"Thermotogaceae",0.292202822305524,0.0487276078028447
"Rhizobiales Incertae Sedis",-0.281537383968219,0.0118576441993047
"Rhodospirillaceae",0.0678201631795586,-0.00926011750184953
"Streptomycetaceae",-0.290499329867504,0.131506041418328
"Hyphomicrobiaceae",0.337534370191478,-0.128757407756562
"Solimonadaceae",-0.0748556614543111,0.68617084950665
"Xanthobacteraceae",-0.264306504023897,0.068216629173334
"Coxiellaceae",0.149833220838722,-0.0317186153511113
"Pseudonocardiaceae",0.0665563444106144,-0.0834065298065381
"Roseiflexaceae",-0.0268106841318303,-0.0341146601881852
"Haliangiaceae",0.133263468357821,0.0218814593479679
"Intrasporangiaceae",-0.485747071214002,-0.177298397733263
"FamilyI",-0.582750812791263,0.11564233112084
"Xanthomonadales Incertae Sedis",0.0158656387438024,0.12191935519261
"OM1 clade",1.5502522788809,-0.171645145171091
"Nocardioidaceae",0.456131068211732,0.011052618375905
"Sphingobacteriaceae",-0.3031031356317,-0.103171425380487
"Saprospiraceae",1.53389712333358,-0.0498666309058381
"Moraxellaceae",-0.290872979057654,1.31788353791559
"MNG7",1.19117191637925,-0.112428655053634
"OPB56",0.453348801126974,0.0223234633255255
"Phyllobacteriaceae",-0.221200990886007,-0.167271678723797
"Rhodospirillales Incertae Sedis",-0.382629713706544,-0.151691539195142
"Mycobacteriaceae",-0.315703961281419,0.0793132163391852
"Caulobacteraceae",-0.189405600521751,0.323206959264036
"ABS-19",0.263197546014673,0.186072671822199
"Gaiellaceae",0.935627288351277,0.00419526321797871
"Bdellovibrionaceae",0.0408126485095499,-0.20726225724737
"env.OPS 17",0.251262384083128,0.444018648178431
"Chthonomonadaceae",-0.358916274806245,0.0332198198888483
