"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","RDA10"
"pH",-0.647279815641273,0.000821687923103638,-0.212655487809227,0.00384731137610047,0.11137608855422,0.137310677876732,-0.467394582812376,-0.304391092186302,-0.360118646030635,-0.252458074079408
"TP",-0.548611631858778,0.226488210145032,-0.087410146981199,-0.396053953387549,0.267809298821386,0.373502599545053,-0.463816859631659,-0.174482625952236,0.104440448464208,0.12459941633124
"TN",-0.128818710041888,-0.786179643325843,0.11460257967449,0.00563960108020832,-0.00207176864005482,0.182444941597412,0.364168521639664,0.341817646277115,-0.094110513285279,0.246082301038817
"AP",-0.228065738305439,-0.650545413127198,0.000868754328403204,-0.186528955054143,0.367202957407276,0.378571421617463,0.307846998081332,0.335212960419639,-0.0666833059707223,0.0156326297338762
"SOM",-0.14730873850111,-0.4343821840544,-0.650339527835839,-0.305564264730944,0.484321983156758,-0.00251694095791332,0.0990927893441602,0.114869575266089,-0.124183102675996,-0.0170666580882564
"ACP",-0.424199057625028,-0.765706303861615,-0.167367698420888,0.111874592450321,0.195398800465809,0.236760280697793,0.0297734930818621,0.255576451540182,0.0767351306993001,0.163984631386034
"ALP",-0.350364214293724,-0.229578972586686,-0.0866939514421539,-0.370785817439217,0.250769185807996,-0.0369516237310668,0.10701422478371,0.0413639621111033,0.411817176136343,-0.657672740640809
"UE",-0.0148286638896386,-0.595987783199454,0.214428128087008,-0.408176262001732,0.420661536865063,0.440961564886993,-0.100357032866484,-0.107251770066747,-0.153466668217194,-0.124344944571465
"NH4N",0.842471078490281,-0.133633604726273,0.202255124026241,-0.130479926822494,-0.27489353476011,-0.277973039255077,0.132218990156983,0.162407780867132,-0.00159028703737507,0.133252585093198
"NO3N",-0.186663734278454,-0.425439241397617,-0.149846931652118,-0.0246263386429585,0.192984483282146,0.50856143365054,0.160550464709685,-0.377373079162923,-0.43372634511196,-0.330021764554675
