"","RDA1","RDA2"
"CK1",-1.01537115696757,2.93665494369013
"CK2",-1.30996664628335,6.25386471890282
"CK3",-1.46837227861814,0.168380069727465
"JXBR161",3.14176268244356,-0.83466268306141
"JXBR162",4.87793682946297,0.900549790256282
"JXBR163",3.87172780283672,-0.574691634564962
"RW371",-1.93476197678123,-2.01097207355028
"RW372",-1.1322658893927,-1.82392347481967
"RW373",-0.925149023854342,-1.29342034715524
"R37J161",-1.50950128781262,-1.25213749399804
"R37J162",-1.5232292970186,-1.30362702412852
"R37J163",-1.07280975801468,-1.16601479129857
