"","RDA1","RDA2"
"Sphingomonadaceae",-0.198951095576549,-0.284194359081119
"Pseudomonadaceae",0.310180962234317,0.0350017477576215
"Acidobacteriaceae (Subgroup 1)",-0.355180180722294,0.123982250031766
"Gemmatimonadaceae",0.0433352631245551,-0.316255519062103
"Oxalobacteraceae",-0.223221540990364,-0.257098905378898
"Chitinophagaceae",-0.218993475132827,-0.167576329431656
"Nitrosomonadaceae",0.189109518313174,0.324052734967985
"Unknown Family",-0.206541418458714,0.31522161548669
"Micrococcaceae",0.0931176703043182,-0.222768329866409
"Anaerolineaceae",0.0114192185766172,0.339344273855846
"Burkholderiaceae",-0.335745403347536,-0.138257605357668
"RB41",0.339881232425421,-0.0648992274813493
"Flavobacteriaceae",-0.0325336569761392,0.190952935976627
"Comamonadaceae",0.321088834644948,-0.144784446455226
"Xanthomonadaceae",0.233854365152922,-0.230222295004203
"Cytophagaceae",0.304157197412416,0.205168761720049
"Unknown Family_1",0.342121268895864,-0.102244955210102
"Bradyrhizobiaceae",-0.311431347463615,-0.0108881545934913
"HSB OF53-F07",-0.374802231211942,0.0214940683050198
"Nitrospiraceae",0.300977833125515,-0.000253734857579919
"Micromonosporaceae",-0.355608860679417,-0.0775718500221211
"0319-6A21",0.353374592734476,-0.0167589240549165
"Thermotogaceae",0.201850640692141,-0.0138637400189905
"Rhizobiales Incertae Sedis",-0.338490399214553,-0.0254372399726083
"Rhodospirillaceae",0.0138413852180037,-0.00999506506595943
"Streptomycetaceae",-0.23486980545198,0.0411265355669884
"Hyphomicrobiaceae",0.297141275156697,-0.0924479606701759
"Solimonadaceae",-0.0636013076554716,0.376783740775496
"Xanthobacteraceae",-0.335283499984131,0.0895663861157236
"Coxiellaceae",0.131435462712098,-0.0186042447752879
"Pseudonocardiaceae",0.04173516283743,-0.113124040970679
"Roseiflexaceae",-0.0720545648232018,-0.0426811148238949
"Haliangiaceae",0.249663193865657,0.0934861649481852
"Intrasporangiaceae",-0.323066958199026,-0.0984208385253422
"FamilyI",-0.259777375742856,0.0697957828725456
"Xanthomonadales Incertae Sedis",-0.0449423811348369,0.15355250588719
"OM1 clade",0.332629663685944,-0.0450770082158125
"Nocardioidaceae",0.294408574325562,0.0635106260754697
"Sphingobacteriaceae",-0.272791518045096,-0.0641875983809797
"Saprospiraceae",0.404246782607966,-0.0109809357446704
"Moraxellaceae",-0.059825619901772,0.374384368421436
"MNG7",0.359836790108772,-0.0325851781799976
"OPB56",0.273221341091869,0.0565018435493995
"Phyllobacteriaceae",-0.266529344163208,-0.191926860613216
"Rhodospirillales Incertae Sedis",-0.356131775254266,-0.136142836425012
"Mycobacteriaceae",-0.193108814362293,0.0138925923731883
"Caulobacteraceae",-0.208094142505895,0.269779914837926
"ABS-19",0.10393043344403,0.12151252154732
"Gaiellaceae",0.396758536546161,0.00226006759189772
"Bdellovibrionaceae",0.0112266059286162,-0.1530656963569
"env.OPS 17",0.160488133622377,0.174998753035216
"Chthonomonadaceae",-0.301863006865706,-0.0200179858587981
"JG37-AG-20",-0.221562806378548,0.205966908567825
"Erythrobacteraceae",0.38067547304018,0.0836120297153354
"Caldilineaceae",0.397754531804963,-0.016295859917641
"DA111",-0.327774132793296,0.217388215439781
"FFCH7168",-0.139526613917829,0.233362950311917
"Frankiaceae",-0.354593106294433,-0.0494549803984547
"Verrucomicrobiaceae",0.386170855715838,-0.0244746941771733
"Enterobacteriaceae",-0.0975552267347398,0.113936716100197
"JG30a-KF-32",-0.375829604927503,-0.0496504145036517
"Acidothermaceae",-0.392975698280306,0.0288355441442034
"Polyangiaceae",-0.139179714183783,0.2749609622386
"FCPS473",-0.382527884330565,0.0367501386162573
"Blattabacteriaceae",-0.0331498935667663,-0.095013494646014
"Rhodocyclaceae",0.202432330378147,0.228666021646673
"Rhizobiaceae",0.0356195973001984,-0.163765606032086
"Thermosporotrichaceae",-0.361727737052157,-0.00505100750777078
"Marine Group II",0.0100180220389512,0.312838890937487
"Acetobacteraceae",-0.297558322073124,0.18935471523567
"Elev-16S-573",0.240827906289376,-0.0910389304461712
"FamilyI_1",-0.0813002050961303,0.350608031167852
"480-2",-0.146434626680033,-0.0804675164061036
"Ktedonobacteraceae",-0.350781275241652,-0.0397026279668023
"mle1-27",-0.225607608765015,0.00571579038048388
"Cystobacteraceae",-0.336337020403902,0.0189623632641919
"BIrii41",0.173054879289547,0.163468777592093
"Thermomonosporaceae",-0.254308074713371,-0.156431358365129
"Acidimicrobiaceae",0.21209103341672,0.0920488417564899
"Paenibacillaceae",-0.221502029084739,-0.112729091067587
"Ellin6055",0.381699167563904,-0.0565123803001348
"0319-6M6",-0.143010653856006,-0.145955609362257
"Chromatiaceae",0.169027481921794,-0.053129385067831
"Syntrophaceae",0.370793351955061,0.00445505067847378
"Patulibacteraceae",-0.281006170677002,-0.0035068928041333
"Opitutaceae",0.335923005570136,0.0901112327550985
"Geodermatophilaceae",0.360491597224601,-0.0680627874992059
"Catenulisporaceae",-0.32984941029339,-0.00471829812118924
"Methylobacteriaceae",0.357140909348035,-0.0975409592902732
"Hyphomonadaceae",0.0396912040947175,-0.00993958503862604
"Erysipelotrichaceae",0.184856489747608,0.0324811487976821
"Sandaracinaceae",0.152633987402577,0.32619802851497
"JG34-KF-361",0.39466453244535,0.00381210619094168
"Bacillaceae",-0.227457454158768,-0.0901471099172571
"11-24",0.171277104809544,0.257759122568088
"Methylophilaceae",0.15663418825667,0.311889935809978
"Halomonadaceae",-0.0416195144305762,0.167158100773522
"Desulfurellaceae",0.147437314043727,0.086407993721476
"Microbacteriaceae",-0.243687948400107,-0.130175044032387
"YNPFFP1",-0.277192350080846,0.0512210522971915
"Chthoniobacteraceae",0.361613336691763,0.121584056426108
"Legionellaceae",-0.0584450161925948,-0.179365717877269
"Iamiaceae",0.343249679526633,-0.0859369404093227
"BacC-u-018",-0.317817672918802,-0.0129689346346626
"KD3-93",0.375670753262079,0.00349375920089825
"P3OB-42",0.118605902389389,-0.130472818358271
"Herpetosiphonaceae",0.374340697064071,-0.0348779040795708
"KF-JG30-B3",0.0683567029250819,0.174631692961492
"Nocardiaceae",0.0491125600074412,-0.0637533875929471
"I-10",0.333888617565849,0.12033815205845
"DA101 soil group",0.0219577927695831,0.230326695763217
"Holophagaceae",-0.193515092430177,-0.0529842868813089
"Rubrobacteriaceae",0.36920793323666,-0.0221890410342146
"Rhodobacteraceae",0.30577671646067,0.164949325310143
"MNC12",0.345750026989347,0.16319943128773
"Solirubrobacteraceae",0.373285067517543,-0.0279713193329542
"Cellvibrionaceae",0.186342815767362,0.0702624928115708
"Neisseriaceae",-0.092861055232358,0.377881445274746
"Xiphinematobacteraceae",0.303929804328928,-0.0230183201968937
"DS-100",0.261885144106504,0.0195375151616952
"Oceanospirillaceae",0.336790302860109,0.0415008375565794
"Phaselicystidaceae",-0.0737422119924855,0.194675886302085
"Blfdi19",0.246004374878012,0.24226125382843
"Salinisphaeraceae",0.322380108884444,0.0495643914599636
"KCM-B-60",0.317974595511488,0.0645911541056778
"Rs-E47 termite group",-0.0862484905523035,0.339925877549907
"Oligoflexaceae",0.311725399338096,0.0734179629417142
"A0839",-0.134498648283741,0.371052503438724
"Nitrospinaceae",0.348890312124532,-0.0350829619027112
"Family Incertae Sedis",0.321748177092296,0.000551526115670696
"DUNssu044",0.0832257360892394,0.00945842095727045
"NS11-12 marine group",0.106150590114515,0.285324435817408
"Unknown Family_2",-0.0570575081052653,-0.246837064848563
"PHOS-HE51",0.3826622227965,0.0141741156976791
"Nevskiaceae",-0.194578261553917,0.312555494501299
"Acidimicrobiales Incertae Sedis",0.316924018726875,0.0661568990904704
"Cryomorphaceae",0.404047240106448,-0.0361381100192105
"alphaI cluster",-0.351445813790938,-0.0298850141868832
"Flammeovirgaceae",-0.0620263829573498,-0.0760910040683501
"1921-2",-0.379285618599259,0.0567506814720166
"AKIW781",0.398306987429999,-0.00908182692564814
"Plot4-2H12",0.218693801116168,0.179281466125526
"KD3-10",-0.283478345679762,-0.0484490993799636
"SM2D12",-0.0682710736424298,0.308301455837588
"G12-WMSP1",-0.359982716838007,0.0135214610671895
"1921-3",-0.389923852568922,-0.0155953740212967
"Unknown Family_3",-0.0233586117855837,0.338410908404951
"Hydrogenophilaceae",0.36255369116432,-0.00218236718697846
"Sporichthyaceae",-0.0908425058374381,0.0167569343414544
"PAUC26f",0.26890164430672,-0.0348411734924246
"Rhodobiaceae",0.130657699713274,0.0459110335093218
"Clostridiaceae 1",-0.21359207148382,0.0187969732094476
"Veillonellaceae",-0.124573277630835,-0.0143667453315003
"TK34",0.315288445986496,0.139924583608739
"Ectothiorhodospiraceae",0.240178448442014,0.0582268927425851
"4-29",-0.0499986326669632,0.379858351535971
"Elev-16S-1166",-0.133991290005132,0.38953957233043
"Promicromonosporaceae",0.30761644902855,-0.0328690319936132
"Myxococcaceae",-0.190307445113634,-0.199659454178217
"Planctomycetaceae",-0.193532859924896,0.228655654009371
"Glycomycetaceae",0.361285571784578,-0.0526004271190619
"VHS-B3-70",0.365975998878915,-0.0496496959813859
"Lachnospiraceae",0.0312473089089765,0.338253658409113
"288-2",0.326676544509334,-0.0644568973974781
"TM146",-0.277485791730211,0.161177165272754
"Fibrobacteraceae",0.135377207247425,0.295008605346277
"Alcaligenaceae",-0.109844886234123,0.103253135747147
"Lactobacillaceae",0.294108196325489,0.0354497870543067
"WW2-159",-0.214624385888075,-0.187946111722341
"AKYH767",-0.116912329038875,0.386946456833345
"27F-1492R",-0.0444955416639508,0.316057051348873
"1959-1",-0.287848773169008,-0.0228436822033125
"Sva0725",0.201693498345814,-0.123951095426438
"Methylococcaceae",0.183069907536224,-0.046693875495679
