"","CCA1","CCA2","CCA3","CCA4","CCA5","CCA6","CCA7","CCA8","CCA9","CCA10"
"pH",-0.626061011641381,-0.0656696839303219,0.236615965686258,0.0271385797286547,0.0237623215241922,-0.0502632034357711,-0.491667219746639,-0.325520661538729,-0.442271564187445,-0.0248184305119862
"TP",-0.576193229663027,-0.0514238426898309,0.133605245705409,-0.122776887246401,0.439825113363436,-0.261756621046114,-0.508618586086385,-0.062698069151364,0.0836782785334151,-0.317559124382857
"TN",-0.215982539218286,-0.532119517777952,0.0293198497042716,0.438740914789831,-0.161895798216321,-0.046327146268471,0.290529108272046,0.535593228191369,0.118391410461532,0.251409762708071
"AP",-0.313575079625408,-0.601286845822527,0.157406584672471,0.415609341443667,0.291019783482183,-0.0961053707022594,0.303254000856213,0.380749266802701,-0.0482500196261557,0.0970928763059956
"SOM",-0.131267141648423,-0.664841867523634,0.565731198610599,0.0141447537299934,0.316243919895301,0.289841008283945,-0.0400789247823975,0.149157171042872,-0.107172534335976,-0.0338260937243797
"ACP",-0.47341394957247,-0.513466727056751,0.318753558683121,0.53201517924724,-0.0827640505511334,0.00735553069801609,0.0702191815194483,0.312145313785136,0.109409877297259,-0.0796694854773961
"ALP",-0.327564715780756,-0.408795106617983,0.0636129613752769,-0.0891776761565789,0.232816891801657,-0.0479536744119144,0.554579715923313,-0.449049114352693,-0.100619550099578,-0.371156744147934
"UE",-0.205388663755349,-0.708530139769926,-0.139234791875519,0.375555952887747,0.42733754656565,-0.245889553883595,-0.156378256878375,-0.0174139828175165,-0.163758309414243,0.0268084964598442
"NH4N",0.810637193578969,-0.13265103986875,-0.37359842698731,-0.133235470770935,-0.257878545519604,0.0514596065596765,0.150886214627501,0.252145676952085,0.0992424033830969,0.0509998484618358
"NO3N",-0.24196923362587,-0.430493395444549,0.253346861010998,0.338802025525401,0.230399322329705,-0.244674142447309,-0.130049407934182,-0.313154770204098,-0.347014328623464,0.478338682718607
