"","CCA1","CCA2"
"Sphingomonas",-0.216717156491785,-0.302462555085521
"Pseudomonas",2.00382690055506,-0.0332896740133448
"Massilia",-0.352384662968648,-0.355052424059024
"Gemmatimonas",-0.413547992985967,-0.216340698894749
"Arthrobacter",0.142315532515002,-0.157728136769964
"Flavisolibacter",-0.339509760689083,-0.249745618117471
"Flavobacterium",0.0132896063845549,2.68043154758702
"Burkholderia",-0.523420497182227,-0.109510052370621
"Bryobacter",-0.107657144722221,0.684985767915063
"Candidatus Solibacter",-0.357930089690106,0.795972619351476
"Blastocatella",0.765787697786245,-0.162470235826897
"Nitrospira",0.586969491930932,0.0416153468423384
"GAL15",0.326035765677675,0.119966738857525
"Bradyrhizobium",-0.301504729438198,0.13054536910079
"Rhodanobacter",-0.460849696699219,-0.12503276712718
"Lysobacter",1.06480062602836,-0.217324337717352
"Rhizomicrobium",-0.408828415144245,0.173422902750608
"Streptomyces",-0.180134929513098,0.217559486604464
"Polycyclovorans",0.0550945382355631,0.765998392334193
"Roseiflexus",0.0265181231060849,0.0280174024940964
"Haliangium",0.202778627771821,0.081691149803569
"Aquicella",0.219499666446752,-0.000552972160312482
"Cupriavidus",-0.420645001420109,-0.112031233330008
"Devosia",0.306868731559799,-0.200560479025159
"Acidibacter",-0.0886652298384375,0.238475420992002
"Mucilaginibacter",-0.500369985323438,0.0868481012215279
"Lentzea",1.29832970100534,-0.161590199651807
"Mesorhizobium",-0.221207276108829,-0.066989974558963
"Microcoleus",-0.550560011479905,0.290759540558954
"Alkanindiges",-0.589939000470813,1.41351832135554
"Reyranella",-0.337198023346555,-0.0342342642035534
"Terrimonas",0.67859100148419,-0.0167183734178851
"Mycobacterium",-0.231731579150955,0.157119118049988
"Arenimonas",0.954109351520486,-0.200290694186629
"Gaiella",1.01452946494445,-0.0237810967182622
"Pseudoxanthomonas",0.497109115646546,0.0115531741309753
"Bdellovibrio",0.00711253827816026,-0.141675256206991
"Chthonomonas",-0.286622508418796,0.155124067769315
"Ramlibacter",0.333837605761695,-0.0577262167374676
"Oryzihumus",-0.485174099266728,-0.0421120680185805
"Pseudolabrys",-0.375506628849637,-0.303289168451009
"Comamonas",1.66849574920976,-0.0658092046915767
"Ralstonia",-0.378508777319963,-0.0225041890546248
"Jatrophihabitans",-0.451881817825095,0.0382830106692544
"Variibacter",-0.0245557121873676,0.319001521893908
"Rudaea",-0.391457737858186,-0.287385764584091
"Acidothermus",-0.469061549473005,0.174208043739708
"Dyella",-0.508237120192511,-0.0935135226619187
"Niastella",0.245847601526099,0.162150556803532
"Sorangium",-0.0528122639737865,0.380383559510142
"Nocardioides",0.411384751008479,0.171058727607974
"Chitinophaga",-0.221483077790911,0.87817722546365
"Nordella",0.665973501506784,-0.147653805265251
