"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","RDA10"
"pH",-0.631066840825279,0.0171563086574501,-0.00855253569641139,-0.0104304007583241,-0.0792984318415302,-0.154702392960273,0.660476532888304,0.00839847201599855,0.340528342533777,0.137105637301733
"TP",-0.570148211915314,0.160751674991071,-0.492493387643428,0.0568922630866506,-0.0441710317580906,0.129504374857943,0.439919727131786,0.395869831165972,0.0955553111949096,-0.158769892508494
"TN",-0.0575615857816593,-0.833716126063025,-0.00567488386679741,0.0536511896719591,-0.0997475266037708,0.194117752631841,-0.347631509797231,-0.232682214410854,0.134731399360591,-0.240667675630807
"AP",-0.160679529138008,-0.731664631754166,-0.39579330678435,0.268567852312192,-0.253797076154742,0.163459282955476,-0.202839706600111,-0.177477056945066,0.209265621516699,-0.0500187649974338
"SOM",-0.0588304014939173,-0.495727922256647,-0.523282094813434,-0.0440751777353139,-0.466602124346538,-0.475694982009576,0.0855363499715093,-0.0263375454685132,0.151294128127287,0.0110785325333401
"ACP",-0.342640471297596,-0.834434132772233,-0.0116774144858634,0.131136883018337,-0.349314494630432,0.0457802552449147,-0.0608830503552978,0.0987910111245528,0.117045311033251,-0.133046905011437
"ALP",-0.320707963886255,-0.314820375693842,-0.469111608846,0.0930089304462709,-0.0225660489509241,-0.0527115854679456,0.0127709315774792,0.0528694346592786,-0.27334390186495,0.698824205320606
"UE",0.021388373240721,-0.597565090248478,-0.514181373530638,0.366426278770275,0.149506438633518,0.206566626517076,0.33296175410164,-0.0774440903603549,0.248638585215431,-0.0101778425769296
"NH4N",0.832317548835678,-0.0717293231462235,0.0878281678022784,-0.207290897284575,0.359456641674173,0.0172442171393435,-0.338218878128975,-0.0338292084838503,-0.0363076896910635,-0.0711195154371329
"NO3N",-0.115334122048927,-0.386111320530577,-0.18945669730875,0.203461446188989,-0.2520489673564,0.125668622667542,0.573989946749244,-0.54884689638589,0.203051208479369,0.0952745277277291
