"","RDA1","RDA2"
"CK1",-1.66050496839951,3.64581561039827
"CK2",-2.19887118657526,7.04781663490596
"CK3",-1.75110198016187,0.64716370772059
"JXBR161",3.77516646292076,-0.389626299373726
"JXBR162",6.24135761517863,1.2781754519433
"JXBR163",4.07924842595232,-0.0707910951019625
"RW371",-1.94694655140547,-2.10668248366147
"RW372",-1.13920292124752,-2.05936043734676
"RW373",-0.9741681934336,-1.44807775919239
"R37J161",-1.75270761608976,-2.39651038786227
"R37J162",-1.41207375734419,-1.89553111655904
"R37J163",-1.26019532939454,-2.25239182587051
