"","RDA1","RDA2"
"Sphingomonas",-0.137351905839381,-0.253481377634459
"Pseudomonas",0.27419575991363,0.0427729415904148
"Massilia",-0.171649033972617,-0.234091616927429
"Gemmatimonas",-0.214850713431,-0.18223423645703
"Arthrobacter",0.0864836835264849,-0.175199494639538
"Flavisolibacter",-0.169829628465447,-0.186830124332678
"Flavobacterium",-0.0419909869440501,0.161430262226994
"Burkholderia",-0.26140187951802,-0.14935127635916
"Bryobacter",-0.157870867953714,0.284446246468834
"Candidatus Solibacter",-0.230884184008091,0.221137166215536
"Blastocatella",0.281124183642031,-0.0528837450165981
"Nitrospira",0.255001193686643,0.0166748785570324
"GAL15",0.148378283173525,0.00141598138739794
"Bradyrhizobium",-0.270439061763022,-0.0242645857903651
"Rhodanobacter",-0.204321947649303,-0.140511926843093
"Lysobacter",0.323853778985224,-0.0359951278160617
"Rhizomicrobium",-0.29952985335975,-0.0346009222012723
"Streptomyces",-0.189887183126455,0.0212755997523796
"Polycyclovorans",-0.076203726478633,0.29909669071585
"Roseiflexus",-0.0687175963082569,-0.0429667116281997
"Haliangium",0.207974158393887,0.0918731136786782
"Aquicella",0.112943676780963,-0.0388160675609417
"Cupriavidus",-0.189311586769119,-0.112915617538131
"Devosia",0.176581000351722,-0.141320096920238
"Acidibacter",-0.213780563467746,0.0737418638383016
"Mucilaginibacter",-0.274550078987579,-0.0342820406312883
"Lentzea",0.299662415414756,0.0172773444726475
"Mesorhizobium",-0.227733789848571,-0.177667901706488
"Microcoleus",-0.214999657675981,0.0626254504400771
"Alkanindiges",-0.0971951046620068,0.267171548484587
"Reyranella",-0.28528895241547,-0.144924220882393
"Terrimonas",0.308293256962688,-0.0177944184337416
"Mycobacterium",-0.161641416643442,0.00713551698072463
"Arenimonas",0.333379894719335,-0.0447666140979988
"Gaiella",0.331752441754022,0.0322780124619808
"Pseudoxanthomonas",0.0754473092057935,0.018234190147179
"Bdellovibrio",-0.0348029530679602,-0.153284100957388
"Chthonomonas",-0.249957924763977,-0.0375255617442715
"Ramlibacter",0.263062550331592,-0.101313261949504
"Oryzihumus",-0.25320461597725,-0.0855329850843658
"Pseudolabrys",-0.174896475468147,-0.182915164365881
"Comamonas",0.301290608845318,0.0412499888304988
"Ralstonia",-0.154469666732675,-0.0461490177386075
"Jatrophihabitans",-0.288901607765166,-0.0834806945282911
"Variibacter",-0.161302167549688,0.23534412024729
"Rudaea",-0.117682650968326,-0.136438041811485
"Acidothermus",-0.326184791575247,0.000205345390110238
"Dyella",-0.187284471465576,-0.126858965922643
"Niastella",0.120628584847297,0.130074271476287
"Sorangium",-0.155832609632058,0.215444323892855
"Nocardioides",0.161023415918922,0.1796075447063
"Chitinophaga",-0.159689236042526,0.176166201049547
"Nordella",0.31211702817781,-0.0573400619764839
"Candidatus Brownia",-0.0179050188784221,-0.0712021460898326
"Altererythrobacter",0.28829192717441,0.11807244593029
"Pedobacter",-0.0530021296396887,-0.154800814832112
"Amycolatopsis",-0.210230451739225,-0.106900363431354
"P131-4",-0.0186544595348373,-0.0721644150556196
