"","CCA1","CCA2","CCA3","CCA4","CCA5","CCA6","CCA7","CCA8","CCA9","CCA10"
"pH",-0.654021113887417,-0.0825986290864966,-0.177492083694021,0.120456369472183,-0.113163538022647,0.0122634384066298,0.461562407662796,0.0365336660072685,0.508348617956832,-0.183497716020236
"TP",-0.59051377771782,-0.03104119309656,-0.118746480971426,0.041735534942383,0.0868109629991343,-0.535638127947199,0.431804584625624,-0.36566460030262,0.140931784856879,0.00392764914468427
"TN",-0.205436663792581,-0.593927044915961,0.00525558692054007,0.276676898217788,0.204923131417425,0.210805062561029,-0.283567505847215,0.267962874743521,-0.536628437429068,0.0430318326800643
"AP",-0.296930619267705,-0.636287998611616,-0.148811641077605,0.375907065165274,0.0853897724565026,-0.248831014167709,-0.26516530611463,0.261496808450419,-0.357088337302435,-0.0900287516119198
"SOM",-0.101058958626642,-0.621898729833905,-0.618573594262817,0.0734727065251036,-0.36780536073366,-0.204381727161911,0.0611365323516935,0.0752866960964872,-0.143807189690046,-0.0886486480616782
"ACP",-0.469338838409879,-0.566099593004918,-0.261148500386847,0.46417743903355,0.0476534935218658,0.169012910483863,-0.171452733024618,-0.0530694168396434,-0.331236787986425,-0.0531661514663968
"ALP",-0.337368375179296,-0.379833322033633,-0.0777055064442124,-0.0997490664533851,-0.268604126793758,-0.37067229004906,-0.569719735704296,-0.163303142576695,0.352871748083679,-0.201514558156035
"UE",-0.130174781957834,-0.766861116514717,0.129536397924602,0.36688444021674,0.188471262125208,-0.412975510217039,0.0836911922061642,0.122955680116811,0.11769876116859,-0.0393596400772349
"NH4N",0.822560962740632,-0.147277267401533,0.271690286699688,-0.280370694315877,0.17511221480991,0.198640580542634,-0.116849863831929,0.0419872485428901,-0.252458570655698,0.00223904770107513
"NO3N",-0.254739252067292,-0.460492097811958,-0.26122131460736,0.352985842852885,0.141212532524479,-0.121307147457894,0.077013201957565,0.51745925350333,0.4534607641783,0.127440890304812
