"","CCA1","CCA2"
"CK1",-0.524976830332449,2.66195816038828
"CK2",-0.303091547245902,1.39388031767945
"CK3",-0.549313084613913,0.469300214114476
"JXBR161",1.96121684474709,-0.358154424270092
"JXBR162",1.98092910259785,0.160876262923509
"JXBR163",1.30776058730459,-0.513143387621726
"RW371",-0.868234702756468,-1.01089595195712
"RW372",-0.667181384950985,-0.922309379602696
"RW373",-0.534982049678645,-0.654250513544074
"R37J161",-0.651969752566169,-0.29656204810069
"R37J162",-0.749384772390328,-0.364894348655989
"R37J163",-0.553690572497337,-0.472676937131931
