"","CCA1","CCA2"
"Subgroup 6",0.772354969864636,-0.00722219732621642
"Sphingomonadales",-0.247862152714029,-0.375027037623979
"Burkholderiales",-0.265117485245814,-0.298860930154408
"Pseudomonadales",1.45909536646149,0.203726280603806
"Acidobacteriales",-0.54149758514392,0.275212963597801
"Sphingobacteriales",-0.0883350205308136,-0.0609389830948593
"Gemmatimonadales",-0.0035346834524252,-0.244568015459114
"Subgroup 4",0.722069610216824,-0.201278681345532
"Rhizobiales",-0.116446352924074,-0.0335196134805625
"Xanthomonadales",0.136909748315408,-0.0109644366332226
"Nitrosomonadales",0.117890773296398,0.199871840604949
"Subgroup 3",-0.295396854284324,0.596009350013496
"Micrococcales",-0.040579619104142,-0.226301449338436
"Acidimicrobiales",0.0150812104867616,0.163207119582418
"Anaerolineales",0.0273222568164431,0.326479787817886
"Gaiellales",-0.242337301006198,-0.0253726451035599
"Flavobacteriales",-0.0918088889087438,1.76129890146237
"Nitrospirales",0.662989941405883,-0.0153862491314863
"Ktedonobacterales",-0.610685403840132,0.125242841456486
"Rhodospirillales",-0.169704370922078,0.0972600410455181
"Myxococcales",-0.0217696652969507,0.066965522585508
"Cytophagales",0.43788527140317,0.374317020177372
"Subgroup 7",-0.0419837841061838,-0.00555961845679716
"Subgroup 2",-0.511145529039519,0.513386879166848
"JG30-KF-AS9",-0.553133697198149,-0.0237614533118831
"Micromonosporales",-0.427885243077847,-0.0792925310759233
"TRA3-20",1.2228002972561,0.0348179261311747
"Thermotogales",0.221825983220476,0.0097804349700944
"Frankiales",-0.394937359933371,-0.00516321401765182
"Chloroflexales",-0.106601471036198,0.0291067652565483
"Streptomycetales",-0.313742252417161,0.132624994277032
"Solirubrobacterales",-0.123492936624833,-0.0287548941939309
"WD2101 soil group",0.68288486233521,-0.0865553454728096
"Legionellales",0.0799806841028791,-0.0629247872720126
"Chthonomonadales",0.0932131351993949,0.182842141468957
"SC-I-84",-0.201768599872115,0.0825191155100895
"Pseudonocardiales",-0.00934607774842406,-0.10948543001317
"GR-WP33-30",0.600813995204319,0.198929128412376
"SubsectionIII",-0.609643126253771,0.129884842354085
"Propionibacteriales",0.394893911429599,-0.0419993872552375
"JG30-KF-CM45",0.380126935638412,-0.13497131858909
"Subgroup 25",1.379060089641,-0.323836551744745
"Corynebacteriales",-0.211759767925464,0.0245948148919896
"Chlorobiales",0.391143951526072,-0.0374749574016848
"Caulobacterales",-0.143845585722283,0.226156422014242
"Subgroup 10",0.289308177650518,0.127415976859615
"Bdellovibrionales",0.0312442532266366,-0.232916781451643
"Bacillales",-0.214731787229688,-0.119667515174183
"Caldilineales",0.716267603294193,-0.0897592513004565
"Verrucomicrobiales",1.48836740825651,-0.143802940720293
"Enterobacteriales",-0.324298161471903,0.101007107218361
"Subgroup 17",1.17965340595768,0.0745043329099297
"C0119",-0.182186526217396,-0.194985219142471
"Rhodocyclales",0.607044776621431,0.943269928010983
"Thermoplasmatales",0.0625978615125821,0.437517921418243
"Oligoflexales",-0.0868338310804304,0.0605529873439457
"Chthoniobacterales",0.413296367315947,0.156015349845228
"Subgroup 11",1.41275030695325,-0.286278519909498
"SubsectionIV",-0.407269687366284,1.36996677555686
"Streptosporangiales",-0.502796053114787,-0.239232412564458
"Chromatiales",1.30946976088392,-0.0402541262087627
"S0134 terrestrial group",1.53375624429426,-0.0555134944594693
"AKYG1722",1.22149787575075,-0.240934444073739
"Catenulisporales",-0.618993063472848,0.108200746169426
"Syntrophobacterales",1.54741373930295,-0.0130683011641111
"Armatimonadales",-0.196158145221522,0.178496572157547
"Opitutales",0.746553111170509,0.136341498390347
"Erysipelotrichales",0.918146236860319,0.238125564635896
"Obscuribacterales",-0.48832407539942,-0.0516770252312502
"Methylophilales",0.326400904102387,0.658214431209665
"Oceanospirillales",0.525361886157976,1.24818971281464
"Desulfurellales",0.318275760746854,0.151786867560663
"Subgroup 12",1.29598252469107,0.307422664516771
"Subgroup 18",1.43849869865604,-0.206026976812222
"Rickettsiales",0.0310586083254455,0.166401135938552
"Sh765B-TzT-29",1.58670141512014,-0.00920528014918324
"Lineage IIa",-0.190326566358085,0.57440911876282
"Herpetosiphonales",1.26216810717135,-0.231648307277349
"Clostridiales",-0.142857434089182,0.334844419811087
"Subgroup 20",1.31714505997463,-0.275077951270135
"AT425-EubC11 terrestrial group",0.799788347493352,-0.105842246854696
"Holophagales",-0.526699566469579,-0.175838752648917
"Cellvibrionales",0.530610578936083,0.16110600056187
"NKB5",-0.0961065720311802,0.315633207876763
"Rubrobacterales",1.54337411335597,-0.260977721797871
"Rhodobacterales",0.891345367197141,0.208595219725999
"Bacteroidales",0.240686665666445,0.60660152922839
"Neisseriales",-0.20971418285413,0.900904579626213
"Subgroup 5",-0.196038788974537,0.290102578065007
