"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","RDA10"
"pH",-0.638918377340461,-0.00793127164564422,-0.242642838481504,-0.0285107797110429,0.0759357964092192,0.0107806117441126,0.537446215463511,0.378927565987962,-0.270154343266041,-0.143984789709277
"TP",-0.577253800347937,0.242163125403103,0.00484265395386871,0.06708451720651,0.436530392482323,0.136099081719564,0.562474920799293,-0.143772884973719,-0.135298306220254,0.197927341919028
"TN",-0.122924308715191,-0.784200977165355,-0.00227294810242792,0.160857589167305,0.168269739660975,0.0755829062136077,-0.37835689413031,0.0369424469068883,0.371088298655859,0.166689595770197
"AP",-0.231159044439335,-0.634604168451172,-0.0212308976614162,0.462323900136963,0.477510941048598,0.0357451389198528,-0.180830359969997,-0.00889015463824405,0.259374817063231,-0.017336160603055
"SOM",-0.104211436991602,-0.373051898679274,-0.304172560104788,0.310025549159277,0.517193891978457,-0.598291323290641,0.165282051375511,0.0476386313898439,0.0792752769370693,-0.00461250192294277
"ACP",-0.391324454222373,-0.757471280077511,-0.29430647721198,0.274624834583736,0.137480808057063,-0.00161054963211753,0.0109706364665709,-0.127480353152692,0.234830423622101,0.143690081317869
"ALP",-0.364445995290459,-0.221680555309502,0.123458235031464,0.199970330136276,0.293699370412054,-0.265366360503653,0.0115927655871912,-0.428919893127381,-0.277240099022832,-0.587502692993468
"UE",-0.0492427522810366,-0.586474225254791,0.266396118810367,0.323472434195605,0.57269465504425,0.220742334262977,0.265207361122367,0.121860172616552,-0.117045816922204,-0.0493042724638771
"NH4N",0.826681936839092,-0.122650221678889,0.303336825066672,-0.312321998351795,-0.0527602541320331,-0.0333445754465162,-0.237520882666155,-0.042234366298396,0.223016353425881,0.0128034334379629
"NO3N",-0.195161543522985,-0.425071756395822,-0.212100522371723,0.281664211412507,0.405672540308971,0.141793502856906,-0.0211740578630894,0.507114245793528,-0.446932794420433,-0.121929836826596
