"","RDA1","RDA2"
"CK1",-0.821294577911631,2.20069764910525
"CK2",-1.22887043843316,5.34259971487197
"CK3",-1.23588111634476,0.0884511987470738
"JXBR161",3.34039520063991,-0.803665447239215
"JXBR162",4.10225888638968,1.06493700676372
"JXBR163",2.79712858475738,-0.647268803180437
"RW371",-1.45408232304658,-1.86918403758864
"RW372",-0.949839813280327,-1.25044435199422
"RW373",-0.97745008981211,-1.14100908913374
"R37J161",-1.2487022502396,-1.05955431228252
"R37J162",-1.3448767124462,-1.13634928453866
"R37J163",-0.978785350272588,-0.789210243530577
