"","RDA1","RDA2"
"Subgroup 6",0.426104312883874,0.0199314660555082
"Sphingomonadales",-0.194640130324216,-0.33359592564658
"Burkholderiales",-0.261665086552028,-0.310565830325603
"Pseudomonadales",0.368424726523707,0.107316664708928
"Acidobacteriales",-0.424586332792355,0.13030683978917
"Sphingobacteriales",-0.149121139479338,-0.187043743906219
"Gemmatimonadales",0.0550188732781266,-0.360204319703565
"Subgroup 4",0.402218279929234,-0.0932446658273024
"Rhizobiales",-0.258762014127344,-0.0776341817756312
"Xanthomonadales",0.314926053436468,0.0327163825121787
"Nitrosomonadales",0.223319735713231,0.390270010100805
"Subgroup 3",-0.23855068252381,0.359545552316061
"Micrococcales",-0.0227842445758457,-0.275744864293514
"Acidimicrobiales",0.0172316249270265,0.248411010318782
"Anaerolineales",0.000191428725679298,0.390959716076523
"Gaiellales",-0.387341308356485,-0.0917107212153229
"Flavobacteriales",-0.0139149149633536,0.192461556716096
"Nitrospirales",0.412542556533818,0.0105788583674425
"Ktedonobacterales",-0.460547352570065,-0.0130924232341384
"Rhodospirillales",-0.265646512239845,0.134742226676585
"Myxococcales",-0.0358023243753033,0.271003462489837
"Cytophagales",0.364413553682292,0.240836069419012
"Subgroup 7",-0.0858857256822529,-0.0788540842243168
"Subgroup 2",-0.329746987768829,0.211395891536888
"JG30-KF-AS9",-0.419833560522171,-0.0730357677303885
"Micromonosporales",-0.425396584848422,-0.0994978310599076
"TRA3-20",0.433400819311557,0.0289124587930759
"Thermotogales",0.208678103842534,-0.0309603849071898
"Frankiales",-0.436438684583373,-0.0445024662972645
"Chloroflexales",-0.151778632001777,0.107589423349918
"Streptomycetales",-0.270149568630651,0.0410486522606376
"Solirubrobacterales",-0.155451668985737,-0.0588858910058483
"WD2101 soil group",0.354300987980592,0.000226243956544182
"Legionellales",0.154297482812035,-0.031438188436272
"Chthonomonadales",0.158556297118993,0.265896273072318
"SC-I-84",-0.299019852799927,0.158296607509114
"Pseudonocardiales",0.0267155718592354,-0.139739461462829
"GR-WP33-30",0.356277891984044,0.132526535629167
"SubsectionIII",-0.314437078158944,0.0769559106367416
"Propionibacteriales",0.326618942620087,0.0785678982872809
"JG30-KF-CM45",0.411386106329473,-0.132883469834026
"Subgroup 25",0.34899527344832,-0.0471494978811814
