"","CCA1","CCA2","CCA3","CCA4","CCA5","CCA6","CCA7","CCA8","CCA9","CCA10"
"pH",-0.652522774826276,-0.129288076011209,0.0387356316413215,-0.00167063098976146,0.0709982603771536,-0.377208044301402,-0.332046086369139,0.277117346881677,-0.252192118510619,-0.397516324005486
"TP",-0.582196111471027,-0.00937689914502019,-0.16710399293674,-0.227862392286021,0.12557480896333,-0.513822397064352,0.080433617097599,0.410593226005026,-0.287489055646564,0.208868230682471
"TN",-0.0702830835382902,-0.669697191031716,-0.13885071348719,0.0431629890805016,-0.438873191161396,0.485781886752035,0.30014520584781,-0.0584865085981803,0.0575111544993291,0.00378518698157099
"AP",-0.200419590403168,-0.705703326531076,-0.0574035402669653,0.00946240874799072,-0.402907291221733,0.0202457298934153,0.532018355972529,0.0271033088187813,0.0934636145290237,-0.0563236762923482
"SOM",-0.15191609197355,-0.675949083771655,0.53421896725981,-0.00637197189021777,0.124431785223699,-0.139262943155049,0.386547229370933,0.156034325488495,-0.131978327263127,-0.0923181645154768
"ACP",-0.389326447148632,-0.705589548498843,0.122469227287451,0.113515616603934,-0.45494338956947,0.198446460913157,0.127946238925195,0.211762656330681,0.0327721491457477,0.118497416687413
"ALP",-0.347024753583169,-0.457502030498401,0.0847790486265786,0.0367898078719703,0.186021614190654,-0.518098745395429,0.0882584826039417,-0.245549399809006,0.526687054440323,0.114939391426725
"UE",0.0318478966836699,-0.719652345956678,-0.377319340761431,-0.0179739951967829,-0.235501177995858,-0.42642386999012,0.235259272305374,0.110778355332553,-0.144085400384223,-0.112764220679228
"NH4N",0.879372630633539,-0.0315655790377494,-0.153533963016729,-0.0636324758102291,0.162048581180499,0.368764465635235,0.0165805192385181,-0.113935974180365,0.132126820638623,0.0715879221288625
"NO3N",-0.195266046194541,-0.501425740374406,0.0346117878937324,-0.134901916812963,-0.394134191802251,-0.375229515546491,-0.00271949987681668,-0.223047940817614,-0.299763033713127,-0.505264572896413
