"","CCA1","CCA2"
"CK1",-0.651487591474265,2.24952563809844
"CK2",-0.690696167121182,1.77795499112323
"CK3",-0.549386544554783,0.295778511920769
"JXBR161",1.65709770269089,-0.0602072818983132
"JXBR162",1.79301387097524,0.205586911695214
"JXBR163",1.88028948792117,0.0537522629831861
"RW371",-0.698907860623353,-0.907889716267216
"RW372",-0.518830459921096,-0.971510100228835
"RW373",-0.485925053054664,-0.911437315902318
"R37J161",-0.620130804781604,-0.445763749087483
"R37J162",-0.655169847283173,-0.532542954915267
"R37J163",-0.459866732772175,-0.75324719752141
