"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","RDA10"
"pH",-0.595873411456021,-0.162987946979506,-0.120207360880957,-0.341525329257048,-0.13336252761203,0.124576651522645,0.0473851008259414,-0.626369046856952,0.232288796532828,0.0737151613575196
"TP",-0.567970772201248,0.184716174523729,-0.188949325977996,-0.320526179211748,-0.294344164362024,0.214949460310995,0.246863116074957,-0.0011264649293869,0.513909871450147,0.216708276005945
"TN",0.0330718254882105,-0.0762454479498797,-0.41836088711855,0.660079202216601,0.530455021486871,-0.0978145055995835,-0.0592168100323682,-0.00182264346508642,0.254010557776684,-0.152908395937942
"AP",-0.124870074709544,-0.211761913026657,-0.520603636959962,0.363137639347566,0.353198727617083,-0.0317762565365164,-0.209941022809366,0.134688945045258,0.548061256662963,-0.219819714780153
"SOM",-0.146897067167507,-0.633323261653933,-0.309256259009431,0.359511353777626,-0.318613456652676,0.109198327129563,-0.162740225869053,0.0025246007865058,0.456758580393355,-0.0622662491083591
"ACP",-0.301511947711638,-0.359140028922232,-0.37211899305363,0.456590574813473,0.390998562915751,-0.14550068587827,0.21748284925809,-0.0663967210801115,0.442557987504951,-0.107453592884836
"ALP",-0.349608557351371,-0.446775417544473,-0.603948435735463,-0.30675473658198,-0.0394409182549557,0.126737580405729,-0.0323067980523209,0.342929319459945,-0.0926573676999129,-0.272884162250651
"UE",0.147244364291438,-0.0837280438372106,-0.722655398429071,-0.121882339260581,0.20027965061245,0.0939554113487235,-0.117684879631522,-0.0940769999701119,0.600458751575529,0.0450788134852221
"NH4N",0.873802571986003,0.190996133343446,-0.0220990319665994,0.267895038613338,-0.0697149124890281,-0.043538695011708,-0.00193147793152924,0.13976675882464,-0.303212231791051,-0.097475644841498
"NO3N",-0.176485088610674,-0.260802113706636,-0.472645458965213,-0.122379189280579,0.155644407584463,-0.235447000053541,-0.509630051960747,-0.411535508422891,0.337356864820392,0.19977608688842
