"","CCA1","CCA2","CCA3","CCA4","CCA5","CCA6","CCA7","CCA8","CCA9","CCA10"
"pH",0.540365811302225,-0.170549855081184,0.308294452171203,0.132886584066319,-0.462011196405338,0.227613943993827,0.214293200258067,-0.0142293422476123,-0.447037446136697,-0.234487189911812
"TP",0.469561005886888,-0.119181979764615,0.232320712955171,0.0279423599684783,-0.332781372091112,-0.0474169319411971,0.35197906125833,0.661109645752985,-0.163109077870294,-0.100014132501787
"TN",0.349020736387845,-0.519442737895023,-0.31034397437843,0.304097221554489,0.353433364455848,-0.189163433306941,-0.152960660346187,-0.272160884235917,0.357245141048986,0.183806191662501
"AP",0.383370731815334,-0.632473968301056,-0.0579987310206708,0.359422311253756,0.439913414010139,-0.21609467315548,-0.0296779120729815,0.00861852979590271,0.237401426535108,-0.151393845145377
"SOM",0.169507250740066,-0.814071797144677,0.394248328429822,-0.11626413595946,0.332372748554216,0.0242140781242962,-0.0346551880004164,0.0628557879863881,-0.14981435903888,-0.0308410017057241
"ACP",0.49282089919113,-0.6516330277712,0.0798384072900678,0.384595191087147,0.114177674969052,0.0834329225459368,-0.112759142327423,-0.0623979214750212,0.343309471273415,0.154101311731813
"ALP",0.310465611401583,-0.210717985440046,0.0907270490932085,-0.05712886976179,0.274401199080276,0.358212035637066,-0.369838465130793,0.369867721397046,0.0385335915049106,-0.60748217235056
"UE",0.153204689617286,-0.653676971686388,-0.324436146156309,0.437871520111894,0.0691513278809032,-0.179129420372629,0.0509010970517035,0.271837338193751,-0.16263588777687,-0.335318223792411
"NH4N",-0.680397105736664,-0.0245665356288312,-0.572231917542319,-0.268448527096698,0.200459644486479,-0.0871203563055404,-0.0649704156937188,-0.193027184577268,0.145516154380936,0.162827083251883
"NO3N",0.272467175971781,-0.483741951370507,0.111644482592148,0.379049421557568,-0.150975048675207,-0.344462890771995,-0.201444047322348,-0.212668212271632,-0.355329172376318,-0.426729382782907
