"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","RDA10"
"pH",-0.613637291350768,-0.00810880192067818,-0.211373723312545,-0.271210325595663,0.165375472400734,-0.0737973023868105,-0.383248381233413,0.296432426494572,-0.18040781820158,0.45283115573391
"TP",-0.493803194615528,0.205008685303637,-0.0624485454180402,-0.0480900452965678,0.0775246006358307,-0.137702645847952,-0.70891228141568,0.335619532659192,0.256010752106312,-0.0469754152770206
"TN",-0.238220127400871,-0.762299790782248,0.110385054767056,0.284288166759685,0.0180361266146476,-0.154465175965615,0.144464001938909,-0.342303168733032,-0.0812810878855154,-0.316722059416241
"AP",-0.345585854345723,-0.649789820345466,-0.0446892659011255,0.39220767376202,-0.097958685272787,-0.418820802319655,-0.0821784009019492,-0.272774442720845,0.165805538481564,-0.0941391818705956
"SOM",-0.261466438324502,-0.382188014504072,-0.637627731916447,0.452537148035138,-0.33127838910788,-0.133298864031275,-0.200347221279525,0.044751559563552,-0.0302341582170574,0.0603229194901465
"ACP",-0.498985517562822,-0.757491491962757,-0.220441401352748,-0.00745321791212258,-0.0625844543057949,-0.164129829456274,-0.0435137107442569,-0.141835705880283,0.085588285135793,-0.261492927443765
"ALP",-0.344121209529043,-0.225449396759796,-0.0692955138913074,0.2495087943231,-0.2720130457243,0.0942102307634386,0.029445148077511,0.122220840667266,0.671247458751973,0.463089505191462
"UE",-0.0642878990771937,-0.631781495745141,0.167939620245271,0.299818955482135,0.00281423602669251,-0.464226099443448,-0.426206245065229,0.171682759966613,0.135029980562936,0.183712996735871
"NH4N",0.822023309555876,-0.136848202603515,0.253487913208463,0.226550084530611,-0.110827191898814,0.262364959471539,0.141061682265592,-0.197528716508509,-0.172259630557922,-0.142343859213012
"NO3N",-0.248909831603711,-0.435591041149062,-0.204331189152389,0.235541132566831,0.414689198269602,-0.495422661008127,-0.0353183009006172,0.180375583109581,-0.0976653282018996,0.436281430632937
