"","CCA1","CCA2","CCA3","CCA4","CCA5","CCA6","CCA7","CCA8","CCA9","CCA10"
"pH",-0.69071654212648,-0.312600244340565,-0.0624897113034517,-0.19645461000558,-0.0800765722503317,0.124020407222626,0.378459915159356,0.152070217460546,-0.441065803558703,-0.00165757020588656
"TP",-0.690232194663069,-0.150733363787166,-0.323132161601986,-0.46368828025375,0.0148208922876496,0.0292408862481344,-0.276951586724611,0.0647725533088427,-0.313016733374602,-0.0385477195829687
"TN",-0.204593927533184,-0.0201848670619519,-0.292093027240227,0.666708693881574,-0.121740831829285,-0.503233176307888,-0.0252120579339945,-0.273976973264374,0.257119921859023,0.134316540552632
"AP",-0.322751096979964,-0.152907732857897,-0.256745362856425,0.46192126580302,0.0915751465858628,-0.723875464039765,-0.149541828517327,-0.185877840603155,0.00567344278374348,0.0619217612275499
"SOM",-0.137927832437034,-0.646539327644196,-0.192418313667564,0.299008427210694,0.401246335714292,-0.302067563880342,0.0128092189288897,-0.162470620536184,-0.150880187639236,-0.367372997305393
"ACP",-0.436423999034344,-0.386818352820767,-0.212487051526914,0.59445947941628,-0.21564550236943,-0.350224953060501,-0.160782452956537,-0.248252131584586,-0.0669690626273382,-0.0157277287245459
"ALP",-0.352915556498015,0.0290941325947564,0.199810434829287,0.4589906071388,0.508587493675132,-0.0898416915575675,-0.378483177128028,0.196519630598842,-0.41358025989942,0.0660051050992509
"UE",-0.139234330688072,-0.0770224318253362,-0.656114526489223,0.11954332362009,0.0454805467420793,-0.576826131676652,-0.0473904017248067,0.0436155387128256,-0.321781311459708,0.295662347867725
"NH4N",0.83524580202652,0.400392581349921,-0.183318177773012,0.130938902927267,0.0843617177742213,0.0699246103418789,0.044323395078658,-0.205649477630509,0.187100830219351,-0.0055080094552645
"NO3N",-0.277641822336547,-0.219178713092633,-0.340297508418673,0.152004788836964,-0.056681340682494,-0.544762996516034,0.419920486836359,0.497412133780344,-0.0886736426893081,-0.0661309488219228
