"","CCA1","CCA2"
"CK1",-0.63492496348261,0.116499490683094
"CK2",-0.800573560115259,0.165442297384261
"CK3",-0.598954705470865,0.628415075069765
"JXBR161",1.58492226698326,-1.22172618473215
"JXBR162",1.23006441756847,0.49548763795916
"JXBR163",1.13271857830828,2.00295222326826
"RW371",-0.96994885444996,0.201785701913454
"RW372",-0.868496995786077,-1.82682567876109
"RW373",-0.671376242859264,0.220265269832159
"R37J161",-0.642925745095739,0.3238572385026
"R37J162",-0.841907637521194,0.172132234520796
"R37J163",-0.798027414920737,0.272077089898743
