"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","RDA10"
"pH",-0.436484324495824,0.420784450900012,-0.33527014860103,-0.0744256663928289,-0.305084558891794,-0.122032494626419,-0.013737683233456,0.497906528128919,0.186704831822883,0.351496488247394
"TP",-0.388014489511925,0.50702253989047,-0.236322693728901,-0.220905741178352,0.202943339146014,-0.16762790047426,-0.0063923553653925,0.557113855889504,0.186970308885518,-0.270306157824603
"TN",-0.316269886315327,-0.795259323867921,-0.145780934921689,-0.238991637120796,-0.245240636581247,0.167743808903517,-0.148720269772957,-0.085135943940386,-0.0654535001487753,-0.259298900269526
"AP",-0.392266008213102,-0.731716066148436,-0.208473238943314,-0.132305550745258,-0.0714934438848176,0.00494224902747657,-0.0395066276296662,0.362441959655574,-0.190819166259537,-0.274372897578654
"SOM",-0.227113008579193,-0.401758439317665,-0.25364971420167,-0.12262352453485,-0.230528443172041,-0.540481608045125,0.468538179693911,0.334059178823329,-0.126806205345465,-0.123158537015171
"ACP",-0.452771133523302,-0.506757052405267,-0.572655655260866,-0.106993634063478,-0.303557688174071,0.00229516688637541,-0.0434537878636986,0.0839139689708919,-0.0338703499604685,-0.310779550385752
"ALP",-0.339020555267042,-0.232155391881626,-0.440338519631512,0.0737441127838417,0.556780941125793,-0.326936900513827,0.0633002841207054,0.209146847715596,-0.273347205741518,0.304092014036589
"UE",-0.0311395707926924,-0.52877843502496,-0.25428806784172,-0.317619388570606,0.100484673521613,-0.0220122947936146,-0.178418959185359,0.698743389808897,0.146895291165801,-0.040541450897004
"NH4N",0.707674320486839,-0.353849525258218,0.309870502036077,-0.277976692831266,0.102839712254401,0.135115509860945,0.0548210947183707,-0.403916963907275,-0.0751681842872101,0.00775050319320551
"NO3N",-0.309221557776849,-0.434579261046074,-0.10001663280291,0.0971088092121297,-0.20668095426312,0.0953901081951411,0.124006077926849,0.636519455571997,0.34656439105787,0.321918863971185
