"","RDA1","RDA2"
"Pseudomonas putida",0.28557894740521,-0.0945198235664552
"Lentzea flaviverrucosa",0.357360352730477,-0.101054474128722
"Cupriavidus basilensis",-0.287125530123132,-0.012276804352059
"Pseudomonas monteilii",0.302573726931305,-0.111239659559863
"Candidatus Brownia rhizoecola",0.00595178700499408,-0.00111478873460047
"Streptomyces flavidovirens",-0.184730097640133,0.255332229762591
"Mesorhizobium amorphae",-0.380748297589234,-0.148682725038584
"Ensifer adhaerens",-0.208056853152769,-0.384004995521196
"Rhizobium mesosinicum",-0.16154585270932,0.00954066573701647
"Flavobacterium sp. EM1308",-0.00567148423225447,0.190484280311398
"Actinocorallia glomerata",-0.159010697072675,-0.0471678096773731
"Flavobacterium denitrificans",-0.0769332843575806,0.320716735980856
"Chryseobacterium taiwanense",-0.0771644458596295,0.304931894400126
"Actinocorallia longicatena",-0.171613648812751,-0.0717769475115626
"Musa ABB Group",0.266296295840921,-0.0820208772034271
"Nocardia nova",-0.130060557138712,0.14169656038971
"Lolium perenne",-0.00847322549090007,-0.0592150876102899
"Mycobacterium intracellulare",-0.25483274270923,0.164238649013821
"Acinetobacter calcoaceticus",0.125305940091544,0.183203334679799
"Persicaria minor",-0.312296458802131,0.150983323136229
"Paenibacillus curdlanolyticus",-0.171330873768476,-0.02056719669222
"Bacillus idriensis",0.328986595715759,-0.172449995854542
"Inquilinus limosus",-0.0592039630994185,-0.157528049186983
"Malawimonas jakobiformis",-0.193042337038531,0.0544372392983573
"Arthrobacter globiformis",0.330314673492739,-0.0990369120871948
"Ktedonobacter racemifer DSM 44963",-0.3470802088084,0.23832062407779
"Tripterygion delaisi",-0.116444253296702,-0.0715695365156558
"Pseudomonas syringae",0.314978528362854,-0.135545596064074
"Amycolatopsis thermalba",-0.412209514005455,-0.129195777630968
"Cupriavidus necator",-0.205817556270506,0.0128070321992026
"Goodfellowiella coeruleoviolacea",-0.18735471060159,0.241145209606565
"Pseudomonas mandelii",-0.184522177888907,-0.316422865474693
"Chlamydiales bacterium CRIB33",-0.0827193948287366,0.307501326272335
"bacterium SOSP1-63",-0.167800248487664,0.267673937914157
"Nocardia brasiliensis",0.124035358558741,-0.0577520478174485
"Sporosarcina psychrophila",-0.136846233128363,-0.0278392585824732
"Spirochaeta sp. JC230",-0.0623215734473096,0.363193553644043
"Chitinivorax tropicus",-0.00567148423225409,0.190484280311399
"Arthrobacter gandavensis",0.134437954615287,-0.193784792586529
"unidentified",-0.0759537914817593,0.295947940786885
"Chitinophaga arvensicola",-0.0377559623007313,0.151444125370406
"Nocardia pseudobrasiliensis",-0.223050888852893,0.239081207697288
"Chitinophaga sancti",-0.039387904712521,-0.0338564187160063
"unidentified marine bacterioplankton",-0.399183442036589,-0.147290922250849
"Flavisolibacter ginsengisoli",-0.0912819569029044,-0.12273976084858
"Sporomusa ovata",-0.113589060192061,-0.00875417563074797
"Rhodococcus equi",-0.282954601044893,-0.311009534178165
"Arthrobacter woluwensis",-0.295998768731326,-0.319174556606546
"Leifsonia poae",-0.0808477893107197,0.22479416189151
"Roseomonas lacus",-0.0120735806821407,0.137843740504936
"Algiphilus sp. KYW537",0.223410469483975,-0.052210911351447
"unidentified_1",0.261605708230738,-0.0646374439740659
"endosymbiont of Naegleria clarki",0.0857948230162958,0.155923032955516
"Gordonia terrae",-0.10018418009449,0.0748570448745099
"bacterium GLA1",-0.0596744226104806,0.359413390095005
"Pseudomonas fluorescens",0.216178678633262,-0.0989532411273104
"Cronobacter sakazakii",-0.076665179803399,0.341790265921878
"Helicobacter marmotae",0.257019476729047,-0.0799617843834052
"Schlegelella thermodepolymerans",0.26066725858535,-0.110370528338419
"Pectobacterium carotovorum subsp. carotovorum",-0.111866543558744,-0.192338756178898
