Class	CK	CK	CK	JXBR16	JXBR16	JXBR16	RW37	RW37	RW37	R37J16	R37J16	R37J16
k__Animalia	0	0	3.48304627226973e-05	0	4.761394612482e-05	0	0	3.5585922209174e-05	0	9.69151895176531e-06	0	0
k__Animalia|p__Arthropoda	0	0	3.48304627226973e-05	0	4.761394612482e-05	0	0	3.5585922209174e-05	0	9.69151895176531e-06	0	0
k__Fungi	0.951029232070722	0.944041218638074	0.976889987983449	0.965937718313962	0.985120641836033	0.994966107027497	0.97035829411984	0.908615351766878	0.952376993298859	0.975257552116203	0.976275237436309	0.974412080083394
k__Fungi|p__Ascomycota	0.626224269198254	0.800918458781421	0.834955852388467	0.706014353155321	0.820709685867022	0.861911163229748	0.631368335247707	0.64793067862356	0.893812667320708	0.671438124497296	0.791383105855707	0.824380499125988
k__Fungi|p__Ascomycota|c__Archaeorhizomycetes	0	0.00017921146953405	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Archaeorhizomycetes|o__Archaeorhizomycetales	0	0.00017921146953405	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Archaeorhizomycetes|o__Archaeorhizomycetales|f__Archaeorhizomycetaceae	0	0.00017921146953405	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Archaeorhizomycetes|o__Archaeorhizomycetales|f__Archaeorhizomycetaceae|g__Archaeorhizomyces	0	0.00017921146953405	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Archaeorhizomycetes|o__Archaeorhizomycetales|f__Archaeorhizomycetaceae|g__Archaeorhizomyces|s__Archaeorhizomyces_borealis	0	0.000134408602150538	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Arthoniomycetes	0	0	0	0	0	1.43008323084404e-05	1.85260661751084e-05	0	0	2.90745568552959e-05	0	5.87552696132434e-05
k__Fungi|p__Ascomycota|c__Arthoniomycetes|o__Arthoniales	0	0	0	0	0	1.43008323084404e-05	1.85260661751084e-05	0	0	2.90745568552959e-05	0	5.87552696132434e-05
k__Fungi|p__Ascomycota|c__Arthoniomycetes|o__Arthoniales|f__Roccellaceae	0	0	0	0	0	1.43008323084404e-05	1.85260661751084e-05	0	0	2.90745568552959e-05	0	5.87552696132434e-05
k__Fungi|p__Ascomycota|c__Arthoniomycetes|o__Arthoniales|f__Roccellaceae|g__Lecanactis	0	0	0	0	0	1.43008323084404e-05	1.85260661751084e-05	0	0	2.90745568552959e-05	0	5.87552696132434e-05
k__Fungi|p__Ascomycota|c__Arthoniomycetes|o__Arthoniales|f__Roccellaceae|g__Lecanactis|s__Lecanactis_abietina	0	0	0	0	0	1.43008323084404e-05	1.85260661751084e-05	0	0	2.90745568552959e-05	0	5.87552696132434e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes	0.0911739825171541	0.0539426523297491	0.0515316695982305	0.0607997967694817	0.044019093192396	0.0140863198238138	0.105691207528993	0.0793566065264583	0.0251805539389304	0.0490390858959322	0.145241839109376	0.0378824600831386
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales	9.3993796409437e-05	0	0.000348304627226973	0	0.00011903486531205	0	9.26303308755419e-05	0.00108537062737981	0	0	1.25794075099063e-05	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae	9.3993796409437e-05	0	0.000348304627226973	0	0.00011903486531205	0	9.26303308755419e-05	0.00108537062737981	0	0	1.25794075099063e-05	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Botryosphaeria	0	0	0	0	4.761394612482e-05	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Botryosphaeria|s__Botryosphaeria_corticis	0	0	0	0	4.761394612482e-05	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Diplodia	0	0	0	0	5.9517432656025e-05	0	0	1.7792961104587e-05	0	0	0	2.93776348066217e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Diplodia|s__Diplodia_allocellula	0	0	0	0	5.9517432656025e-05	0	0	1.7792961104587e-05	0	0	0	2.93776348066217e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Lasiodiplodia	9.3993796409437e-05	0	0	0	1.1903486531205e-05	0	0	0.00106757766627522	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Lasiodiplodia|s__Lasiodiplodia_theobromae	9.3993796409437e-05	0	0	0	1.1903486531205e-05	0	0	0.00106757766627522	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Macrophomina	0	0	0.000348304627226973	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Macrophomina|s__Macrophomina_phaseolina	0	0	0.000348304627226973	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Phyllosticta	0	0	0	0	0	0	9.26303308755419e-05	0	0	0	1.25794075099063e-05	1.46888174033109e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Phyllosticta|s__Phyllosticta_rhapiolepidis	0	0	0	0	0	0	9.26303308755419e-05	0	0	0	1.25794075099063e-05	1.46888174033109e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales	0.00808346649121159	0.00622759856630824	0.00518973894568189	0.00497491373287889	0.00449951790879548	0.00253124731859394	0.0106524880506873	0.0115654247179816	0.00084803538469213	0.00717172402430632	0.0184539908170325	0.00793196139778786
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Capnodiales_fam_Incertae_sedis	0	0	0	0	0	8.58049938506421e-05	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Capnodiales_fam_Incertae_sedis|g__Toxicocladosporium	0	0	0	0	0	8.58049938506421e-05	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Capnodiales_fam_Incertae_sedis|g__Toxicocladosporium|s__Toxicocladosporium_strelitziae	0	0	0	0	0	8.58049938506421e-05	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Davidiellaceae	0.00172948585393364	0.00103046594982079	0.000818515873983386	0.00105849228359125	0.00104750681474604	0.000686439950805137	0.00137092889695802	0.00227749902138714	0.00036027647062084	0.000881928224610643	0.00533366878420027	0.00342249445497143
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Davidiellaceae|g__Cladosporium	0.00172948585393364	0.00103046594982079	0.000818515873983386	0.00105849228359125	0.00104750681474604	0.000686439950805137	0.00137092889695802	0.00227749902138714	0.00036027647062084	0.000881928224610643	0.00533366878420027	0.00342249445497143
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Davidiellaceae|g__Cladosporium|s__Cladosporium_cladosporioides	1.87987592818874e-05	0	1.74152313613486e-05	0	0	1.43008323084404e-05	0	0	0	0	5.03176300396251e-05	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Davidiellaceae|g__Cladosporium|s__Cladosporium_halotolerans	0.00109032803834947	0.000784050179211469	0.000644363560369899	0.000889133518216652	0.000928471949433989	0.000600634956954495	0.00109303790433139	0.00174371018824953	0.000321477466092441	0.000765629997189459	0.00422668092332851	0.00296714111546879
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Mycosphaerellaceae	9.3993796409437e-05	6.72043010752688e-05	3.48304627226973e-05	6.35095370154752e-05	0.00016664881143687	0.000200211652318165	0.000296417058801734	0.00325611188213943	0.000177366877844106	0.00014537278427648	0.000276746965217938	0.000132199356629798
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Mycosphaerellaceae|g__Cercospora	0	2.24014336917563e-05	1.74152313613486e-05	0	1.1903486531205e-05	0	0	0	0.000177366877844106	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Mycosphaerellaceae|g__Cercospora|s__Cercospora_canescens	0	2.24014336917563e-05	1.74152313613486e-05	0	1.1903486531205e-05	0	0	0	0.000177366877844106	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Mycosphaerellaceae|g__Ramichloridium	0	0	0	0	9.52278922496399e-05	0	0	0.00325611188213943	0	8.72236705658878e-05	0.00010063526007925	0.000132199356629798
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Mycosphaerellaceae|g__Ramichloridium|s__Ramichloridium_luteum	0	0	0	0	8.33244057184349e-05	0	0	0.00279349489342016	0	6.78406326623572e-05	8.8055852569344e-05	0.000117510539226487
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Mycosphaerellaceae|g__Ramularia	5.63962778456622e-05	0	0	4.23396913436501e-05	1.1903486531205e-05	5.72033292337614e-05	0.000296417058801734	0	0	0	0.000113214667589157	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Mycosphaerellaceae|g__Ramularia|s__Ramularia_didyma	5.63962778456622e-05	0	0	4.23396913436501e-05	1.1903486531205e-05	5.72033292337614e-05	0.000296417058801734	0	0	0	0.000113214667589157	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Mycosphaerellaceae|g__Zasmidium	3.75975185637748e-05	4.48028673835125e-05	0	0	4.761394612482e-05	0.000143008323084404	0	0	0	5.81491137105919e-05	6.28970375495314e-05	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Mycosphaerellaceae|g__Zasmidium|s__Zasmidium_nocoxi	3.75975185637748e-05	4.48028673835125e-05	0	0	4.761394612482e-05	0.000143008323084404	0	0	0	5.81491137105919e-05	6.28970375495314e-05	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Teratosphaeriaceae	0.00304539900366576	0.00400985663082437	0.00153254035979868	0.00190528611046425	0.00153554976252544	0.00105826159082459	0.00402015635999852	0.00432368954841465	0	0.0021224426504366	0.00888106170199384	0.00265867594999927
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Teratosphaeriaceae|g__Devriesia	0.00304539900366576	0.00400985663082437	0.00153254035979868	0.00190528611046425	0.00153554976252544	0.00105826159082459	0.00402015635999852	0.00432368954841465	0	0.0021224426504366	0.00884332347946412	0.00262929831519264
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Teratosphaeriaceae|g__Devriesia|s__Devriesia_americana	0	0	0	0	0	0	0.00011115639705065	0	0	0	0	2.93776348066217e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Teratosphaeriaceae|g__Neodevriesia	0	0	0	0	0	0	0	0	0	0	0	2.93776348066217e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Teratosphaeriaceae|g__Neodevriesia|s__Neodevriesia_hilliana	0	0	0	0	0	0	0	0	0	0	0	2.93776348066217e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideales	0.00221825359526271	0.000224014336917563	0.00088817679942878	0.000994982746575777	0.00115463819352688	0.000114406658467523	5.55781985253251e-05	0.000213515533255044	0	0.000862545186707113	0.000742185043084471	0.000117510539226487
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideales|f__Dothioraceae	0.00221825359526271	0.000112007168458781	0.00088817679942878	0.000952643055232127	0.00107131378780845	0.000114406658467523	5.55781985253251e-05	0.000213515533255044	0	0.000843162148803582	0.000717026228064658	5.87552696132434e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideales|f__Dothioraceae|g__Kabatiella	0.00216185731741705	0.000112007168458781	0.00088817679942878	0.000952643055232127	0.00107131378780845	0.000114406658467523	5.55781985253251e-05	0.000213515533255044	0	0.000843162148803582	0.000717026228064658	5.87552696132434e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetes_ord_Incertae_sedis	0.000206786352100761	8.96057347670251e-05	0.00038313508994967	0.00012701907403095	2.380697306241e-05	8.58049938506421e-05	0	0.000320273299882566	0	9.69151895176531e-06	0.000591232152965595	8.81329044198652e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetes_ord_Incertae_sedis|f__Dothideomycetes_fam_Incertae_sedis	0.000206786352100761	8.96057347670251e-05	0.00038313508994967	0.00012701907403095	2.380697306241e-05	8.58049938506421e-05	0	0.000320273299882566	0	9.69151895176531e-06	0.000591232152965595	8.81329044198652e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetes_ord_Incertae_sedis|f__Dothideomycetes_fam_Incertae_sedis|g__Minutisphaera	0	0	0	0	0	0	0	0	0	0	0.000163532297628782	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetes_ord_Incertae_sedis|f__Dothideomycetes_fam_Incertae_sedis|g__Pseudoramichloridium	0.000206786352100761	8.96057347670251e-05	0.00038313508994967	0.00012701907403095	2.380697306241e-05	8.58049938506421e-05	0	0.000320273299882566	0	9.69151895176531e-06	0.000427699855336814	8.81329044198652e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetes_ord_Incertae_sedis|f__Dothideomycetes_fam_Incertae_sedis|g__Pseudoramichloridium|s__Pseudoramichloridium_brasilianum	0.000206786352100761	8.96057347670251e-05	0.00038313508994967	0.00012701907403095	2.380697306241e-05	8.58049938506421e-05	0	0.000320273299882566	0	9.69151895176531e-06	0.000427699855336814	8.81329044198652e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetidae_ord_Incertae_sedis	0	0	0	0	0	0	0	0	3.32562895957698e-05	0	7.54764450594377e-05	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetidae_ord_Incertae_sedis|f__Eremomycetaceae	0	0	0	0	0	0	0	0	3.32562895957698e-05	0	7.54764450594377e-05	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetidae_ord_Incertae_sedis|f__Eremomycetaceae|g__Arthrographis	0	0	0	0	0	0	0	0	3.32562895957698e-05	0	7.54764450594377e-05	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetidae_ord_Incertae_sedis|f__Eremomycetaceae|g__Arthrographis|s__Arthrographis_kalrae	0	0	0	0	0	0	0	0	3.32562895957698e-05	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Jahnulales	0.000375975185637748	0.000246415770609319	1.74152313613486e-05	0.000338717530749201	0	4.29024969253211e-05	0.000185260661751084	0.000231308494359631	0	0.00045550139073297	0.00128309956601044	0.000499419791712569
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Jahnulales|f__Aliquandostipitaceae	0.000375975185637748	0.000246415770609319	1.74152313613486e-05	0.000338717530749201	0	4.29024969253211e-05	0.000185260661751084	0.000231308494359631	0	0.00045550139073297	0.00128309956601044	0.000499419791712569
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Jahnulales|f__Aliquandostipitaceae|g__Jahnula	9.3993796409437e-05	0.000246415770609319	1.74152313613486e-05	0.000338717530749201	0	4.29024969253211e-05	0.000185260661751084	0.000231308494359631	0	0.000445809871781204	0.00088055852569344	0.000499419791712569
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Jahnulales|f__Aliquandostipitaceae|g__Manglicola	0.000281981389228311	0	0	0	0	0	0	0	0	9.69151895176531e-06	0.000402541040317001	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Jahnulales|f__Aliquandostipitaceae|g__Manglicola|s__Manglicola_guatemalensis	0.000281981389228311	0	0	0	0	0	0	0	0	9.69151895176531e-06	0.000402541040317001	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales	0.074292696682019	0.045766129032258	0.0416920638790686	0.0470182272371235	0.0337106738563725	0.00883791436661616	0.0878320797361889	0.0589658731006015	0.00542077520411048	0.0364013451828304	0.111428391722749	0.0231348874102145
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Bambusicolaceae	0	0	0	0	3.5710459593615e-05	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Bambusicolaceae|g__Palmiascoma	0	0	0	0	3.5710459593615e-05	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Bambusicolaceae|g__Palmiascoma|s__Palmiascoma_gregariascomum	0	0	0	0	3.5710459593615e-05	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Corynesporascaceae	0.000526365259892847	0.00306899641577061	0	0.000910303363888477	0.000369008082467355	0.000114406658467523	0.000518729852903035	0.000249101455464218	0	9.69151895176531e-06	0.000616390967985408	7.34440870165543e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Corynesporascaceae|g__Corynespora	0.000526365259892847	0.00306899641577061	0	0.000910303363888477	0.000369008082467355	0.000114406658467523	0.000518729852903035	0.000249101455464218	0	9.69151895176531e-06	0.000616390967985408	7.34440870165543e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Corynesporascaceae|g__Corynespora|s__Corynespora_citricola	0.000526365259892847	0.00306899641577061	0	0.000910303363888477	0.000369008082467355	0.000114406658467523	0.000518729852903035	0.000249101455464218	0	9.69151895176531e-06	0.000616390967985408	7.34440870165543e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Cucurbitariaceae	0.00575242034025754	0.00232974910394265	0.00407516413855558	0.00268857040032178	0.00422573771857777	0.00158739238623688	0.0131349809181518	0.00642325895875592	0	0.00181231404398011	0.00806340021384993	0.00139543765331453
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Cucurbitariaceae|g__Pyrenochaetopsis	0.00575242034025754	0.00232974910394265	0.00407516413855558	0.00268857040032178	0.00422573771857777	0.00158739238623688	0.0131349809181518	0.00642325895875592	0	0.00181231404398011	0.00806340021384993	0.00139543765331453
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Cucurbitariaceae|g__Pyrenochaetopsis|s__Pyrenochaetopsis_leptospora	0.00575242034025754	0.00232974910394265	0.00407516413855558	0.00268857040032178	0.00422573771857777	0.00158739238623688	0.0131349809181518	0.00642325895875592	0	0.00181231404398011	0.00806340021384993	0.00139543765331453
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymosphaeriaceae	0	0	0.000208982776336184	0	2.380697306241e-05	5.72033292337614e-05	0	0	0	0	1.25794075099063e-05	5.87552696132434e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymosphaeriaceae|g__Neokalmusia	0	0	0.000208982776336184	0	0	5.72033292337614e-05	0	0	0	0	1.25794075099063e-05	0
