OTU	Test.Statistic	P	FDR.P	Bonferroni.P	CK.mean	RW37.mean	JXBR16.mean	R37J16.mean
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Mycoarthris	10.1819	0.0171	0.5976	1	0	0	1e-04	1e-04
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Rhizophlyctidales;f__Rhizophlyctidaceae;g__Rhizophlyctis	10.1729	0.0172	0.5976	1	0	4e-04	0	2e-04
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella	9.4696	0.0237	0.5976	1	0	0	0	1e-04
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Sarcosomataceae;g__Urnula	9.3119	0.0254	0.5976	1	3e-04	0	0	0
k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Calcarisporiella	9.3119	0.0254	0.5976	1	1e-04	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Beauveria	9.3119	0.0254	0.5976	1	2e-04	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreomycetidae_ord_Incertae_sedis;f__Plectosphaerellaceae;g__	9.3119	0.0254	0.5976	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus	9.2564	0.0261	0.5976	1	0.0099	0.0062	0.439	0.2684
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Trechispora	9.1805	0.027	0.5976	1	0	0	5e-04	1e-04
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Auriculariales_fam_Incertae_sedis;g__Oliveonia	9.0757	0.0283	0.5976	1	0	0	0.004	0.0174
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreomycetidae_ord_Incertae_sedis;f__Plectosphaerellaceae;g__Verticillium	9.0513	0.0286	0.5976	1	4e-04	0	5e-04	1e-04
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellales_fam_Incertae_sedis;g__	8.7681	0.0325	0.5976	1	1e-04	0	0	0
k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Septobasidiales;f__Septobasidiaceae;g__	8.6042	0.035	0.5976	1	1e-04	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales;f__Tubeufiaceae;g__Helicosporium	8.5556	0.0358	0.5976	1	0	0	2e-04	2e-04
k__Plantae;p__;c__;o__;f__;g__	8.4359	0.0378	0.5976	1	0.0239	0.0131	4e-04	3e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella	8.2431	0.0412	0.5976	1	0	1e-04	0	1e-04
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Subplenodomus	8.1942	0.0422	0.5976	1	0	0	0	0.0032
