"","CCA1","CCA2","CCA3","CCA4","CCA5","CCA6","CCA7","CCA8","CCA9","CCA10"
"pH",-0.563969201085271,-0.21844552801546,-0.100173495980239,-0.473818393673931,0.370360086921498,0.166416568385103,0.0801775041080721,0.374263611555953,0.296882637224735,0.0134030009194768
"TP",-0.211290480422638,-0.185190339303222,0.0833599758150852,-0.367889260197491,0.203398665769103,0.742418006418015,0.199358881012016,0.104346692990123,0.258476296231376,-0.262243727846445
"TN",-0.0259715021699863,-0.308374864542305,0.241616528503953,0.384832320427777,0.453756870583947,-0.2714729817586,-0.168325602312916,-0.110596654352973,-0.502788592024276,-0.353272682578981
"AP",-0.182273976696361,-0.139453774143685,0.159898873721659,0.276220288559424,0.558093174292291,0.168076673451834,-0.133736517698694,0.0174790791498274,-0.638465366216758,-0.28269557316023
"SOM",-0.201740465754753,0.0238690696012653,0.431653539908892,0.202593970018603,0.584026606958627,0.26872690517784,0.130964742077117,0.283686937472155,-0.315910824527945,0.347319792660886
"ACP",-0.366964572295652,-0.413123136645053,0.460082393094974,0.11177560051531,0.381523587289039,-0.0426768979962493,-0.00570603912239357,0.0941006805919512,-0.492087417824014,-0.26847270682575
"ALP",-0.451330951205077,0.611308782476624,0.158687849457347,-0.121686755077188,0.233666473625841,0.181357441147671,0.331635656923282,0.10338336937711,-0.342642338931715,-0.238846813319733
"UE",-0.187624124760251,0.0748693904012593,0.0933871664331974,-0.166034962300171,0.642006087774195,0.321039303954064,-0.441428954818011,-0.251877980113803,-0.324632512780813,-0.209706060555486
"NH4N",0.676525264332774,0.312792116614181,0.128517209212915,0.191840486362322,-0.118640574238816,-0.378865494164125,-0.35873873379653,-0.292723084916329,-0.0358282759082412,0.133703462126126
"NO3N",-0.661799038844734,-0.00567878624689205,-0.154094649206873,0.127756079912576,0.544246168476439,0.129396824552312,-0.449710039454786,0.0586906767245205,-0.0249683429431654,0.0516569775198793
