"","CCA1","CCA2"
"Eurotiomycetes",0.530014753065531,0.108670588015916
"Sordariomycetes",-0.558108818611768,0.205485532444803
"Agaricomycetes",-0.0291997621485834,-0.528642207125788
"Dothideomycetes",-0.252802157487517,-0.372540675443962
"Mortierellomycotina_cls_Incertae_sedis",-0.136403914009449,-0.552281364424521
"Tremellomycetes",0.184175111410978,0.0961028569814509
"Leotiomycetes",-0.316427177336318,0.0800216292757436
"Pezizomycotina_cls_Incertae_sedis",-0.403666102279491,-0.0538105970314118
"Mucoromycotina_cls_Incertae_sedis",0.120946710781466,-0.0337552362687398
"Chytridiomycetes",-0.598226332406816,-0.0888807976245771
"Orbiliomycetes",0.266994629890525,-0.120577446481119
"Glomeromycetes",-0.298612769714113,-0.849145474835911
"Ustilaginomycetes",-0.825327594276845,0.0350451722277572
"Pezizomycetes",-0.309220684658796,-0.503972246378527
"Wallemiomycetes",-2.08330645152443,1.89375894229949
"Saccharomycetes",-0.486916041980671,-0.241219477174108
"Lichinomycetes",-0.246050561281594,-0.496951685512784
"Lecanoromycetes",-0.310115387770973,-0.258728547105119
"Exobasidiomycetes",0.194314818896863,-0.131886717984199
"Atractiellomycetes",0.978198709145644,-0.0699590355656314
"Microbotryomycetes",-0.022233445302045,-0.246640494880152
"Monoblepharidomycetes",-0.356980136106127,-0.951787033799184
"Agaricostilbomycetes",-0.252684432672353,-0.186935801566645
"Kickxellomycotina_cls_Incertae_sedis",0.255014120078879,-0.107413157256614
"Archaeorhizomycetes",0.770145896925749,0.5772641453938
"Neolectomycetes",0.0262817333309298,-0.363066892549911
"Pucciniomycetes",-0.0829900004231991,-0.492371640746898
"Ustilaginomycotina_cls_Incertae_sedis",-1.14413791337779,0.784084772152749
"Cystobasidiomycetes",-0.104539921047203,0.0544289233792959
"Arthoniomycetes",0.717028391862345,-0.125213714286169
"Entorrhizomycetes",0.380217361548338,0.364312347185357
"Dacrymycetes",-0.0641230154893566,-0.457535877018318
"Blastocladiomycetes",-0.629511758333791,-1.73961057316607
"Laboulbeniomycetes",-0.113419939098679,-1.14273231472191
"Zoopagomycotina_cls_Incertae_sedis",-0.520126402164392,-0.648508136076058
"Neocallimastigomycetes",0.781045542725962,-0.031189546460511
