"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","RDA10"
"pH",-0.448122295846503,-0.444812054146339,0.222552017189819,-0.505988487882929,-0.419142325527032,-0.0826651798585904,0.160858614000472,0.183850320068371,-0.188945423525627,0.133732068921883
"TP",-0.166750446938143,-0.391160977675631,0.126845116226028,-0.463620884022805,-0.112572589530211,0.267793887404667,0.563569055076307,0.38691203686307,0.147034670755388,-0.121807297889638
"TN",0.00790746450627299,-0.265332299421668,0.515435979763352,0.669006191239669,0.165041633086353,-0.293384149490224,0.0706539604436595,-0.232569597292373,0.0314767180938767,-0.207143250964381
"AP",-0.144569685385807,-0.470102136559031,0.302744049235732,0.588375943531456,0.12029462427848,-0.120616766854213,0.451799253473413,-0.278816250883685,-0.00843089039562882,-0.0964988539331492
"SOM",0.00887073670546053,-0.567172679481134,0.227884712876302,0.412892175964982,-0.0894308647657359,0.289818165845691,0.291310899157216,-0.0249778075144757,-0.234896778998026,0.472408926564803
"ACP",-0.0980139282971164,-0.55197549158396,0.622493165577625,0.292048758924249,0.307589995716461,-0.209318096857077,0.214716461432148,-0.123128711673777,-0.114606807370932,0.0100934577573763
"ALP",-0.070932660527639,-0.654535718541649,-0.508324857722293,0.138433755114888,0.188067557886603,-0.226084380599969,0.31608657999394,0.167909193700105,-0.25960639358718,0.083727109329721
"UE",-0.194506736451056,-0.684145942216405,0.0539323409848266,0.249206117034427,-0.155847383403168,0.186941423434961,0.264104599498807,-0.362707451854122,0.0710746761877066,-0.404356310252332
"NH4N",0.584569826050069,0.271764634315789,-0.216748793177131,0.361566365790646,-0.0373144733965309,0.113223869942073,-0.468968413610108,-0.331450620624252,0.197201305558218,-0.154339137462376
"NO3N",-0.732852608646811,-0.503871223623634,0.0911992471825914,0.225397844069545,-0.279921240865706,0.0217613551248866,0.00755440813307925,-0.249893106036904,0.0744127782253686,0.0552177548512886
