"","RDA1","RDA2"
"Eurotiomycetes",0.582377223872187,0.242787732739272
"Sordariomycetes",-0.41749619296731,-0.360971214686084
"Agaricomycetes",-0.151880979159466,0.312055201688543
"Dothideomycetes",-0.472939894956595,0.146363807755065
"Mortierellomycotina_cls_Incertae_sedis",0.110978623337872,-0.288437030609163
"Tremellomycetes",0.214331812143492,0.0562427604442961
"Leotiomycetes",-0.415526708012669,0.140842465671846
"Pezizomycotina_cls_Incertae_sedis",-0.487512198650834,-0.164376249850115
"Mucoromycotina_cls_Incertae_sedis",0.391228739050607,-0.0716855718440703
"Chytridiomycetes",-0.327556632194507,-0.554961069410027
"Orbiliomycetes",0.347496873974001,0.126843980700908
"Glomeromycetes",-0.250780088870507,0.354636809660414
"Ustilaginomycetes",-0.229941629005496,-0.520264207633176
"Pezizomycetes",-0.334153943047906,-0.16588592925413
"Wallemiomycetes",-0.28945677567686,-0.431520683803666
"Saccharomycetes",-0.521753845201296,0.113669737634795
"Lichinomycetes",-0.152696429417822,-0.268715747889579
"Lecanoromycetes",-0.334744966344997,0.26982216544507
"Exobasidiomycetes",0.0248889878186558,0.327897311296159
"Atractiellomycetes",0.393105586843609,-0.0174021258893553
"Microbotryomycetes",-0.014753541341506,0.202451254436847
"Monoblepharidomycetes",-0.322138940231732,0.369905026196227
"Agaricostilbomycetes",-0.291815100485304,0.152950945790575
"Kickxellomycotina_cls_Incertae_sedis",0.30239689031559,-0.0719430898705704
"Archaeorhizomycetes",-0.00915347723890004,0.223516496480754
"Neolectomycetes",0.057752418360573,-0.0230780765661348
"Pucciniomycetes",-0.108533221542336,0.343477594175654
"Ustilaginomycotina_cls_Incertae_sedis",-0.249678218974321,-0.449429725367748
"Cystobasidiomycetes",0.231395894074535,-0.169218406431414
"Arthoniomycetes",0.489560027027264,-0.187151188973047
"Entorrhizomycetes",0.175197357412012,0.124777881676599
"Dacrymycetes",0.264915996989933,-0.293247624036624
"Blastocladiomycetes",-0.257211157066069,0.410698856934627
"Laboulbeniomycetes",-0.00574187499259169,-0.318535577323119
"Zoopagomycotina_cls_Incertae_sedis",0.0154828096430386,-0.353566733547358
"Neocallimastigomycetes",0.478504193228864,-0.137596407824124
