"","CCA1","CCA2","CCA3","CCA4","CCA5","CCA6","CCA7","CCA8","CCA9","CCA10"
"pH",0.407166080130714,-0.349841089781306,0.375403846289062,-0.16197699192922,-0.378184745069043,0.52077854249237,-0.0389272276787013,0.139349442374195,0.300965084705982,-0.137531201144738
"TP",0.168870394330768,-0.291974235342679,0.482261621711196,-0.131590222274798,0.0888913277963225,0.497934750434609,0.323883040297985,0.312015623304864,0.229741177575803,0.354211676741619
"TN",-0.0987719297465225,-0.276427176736444,-0.239059696913047,0.533831564916372,-0.0545624698838343,-0.409835354524269,-0.399769844984612,0.479611783906804,0.0253529669476892,0.101381444920906
"AP",0.227812531911648,-0.217937079672298,-0.107173750003892,0.577453987181489,0.154042914124797,-0.174160686082877,-0.173376520257906,0.673587031295411,0.132483624415955,0.0165402053435742
"SOM",0.219533017963475,-0.184053743413714,0.205409813242525,0.574951298130507,-0.149880487776367,-0.0863677685752066,0.40819717660118,0.409709665216701,0.129035040231677,-0.405100911541153
"ACP",0.173448487258599,-0.512772434870699,0.0170851616088329,0.294974012835924,-0.18617275416869,-0.350687109626405,-0.120095702740715,0.667732351971635,0.0417885126912812,0.000993265606855493
"ALP",0.782984594161597,0.263178436886518,0.0535316385810732,0.15186969604689,-0.174808278565235,0.0354835818275352,0.228722804411563,0.402478963074731,-0.134036983987375,0.166300408510426
"UE",0.396421846249362,-0.0854276540901606,0.399463477011546,0.495062199187864,0.36301815227064,-0.0115969368740903,-0.395795862002667,0.300166526856784,0.182586003418663,0.137424744900878
"NH4N",-0.454887414323284,0.505741233523095,-0.0394835275953727,0.198462251481161,0.2075013599663,-0.500612249845006,-0.231537075931415,-0.374353424525507,-0.0940513520322407,-0.00959327388279394
"NO3N",0.632190182335864,-0.373167553078638,0.0355871790853172,0.407134988254407,0.0501839816407812,0.146648928723091,-0.268139232588625,-0.068572617604955,0.401792775083565,-0.178867488254753
