"","CCA1","CCA2"
"Trichocomaceae",-0.389294968231583,0.401634735815673
"Nectriaceae",1.60827701533698,0.106121048950644
"Hypocreales_fam_Incertae_sedis",-0.328856402701695,0.0943548807945533
"Mortierellaceae",-0.160621409050791,-0.616448098958232
"Geastraceae",-0.548368716574651,-0.813138097416627
"Cordycipitaceae",-0.479509585910705,-1.99117396682127
"Sebacinales_Group_B",-0.336099490902213,-0.573801185169799
"Tremellales_fam_Incertae_sedis",-0.222016903613352,-0.0262282282003982
"Chaetomiaceae",-0.18941043211821,-0.480359475101081
"Bionectriaceae",0.000892238714886867,-0.581187703015643
"Pezizomycotina_fam_Incertae_sedis",0.244261038889697,-0.400331051668424
"Coniochaetaceae",-0.119978577245569,-0.431394900991368
"Lasiosphaeriaceae",-0.317078465049346,-0.872572022475037
"Myxotrichaceae",0.555552682993215,0.0801024834400249
"Cunninghamellaceae",-0.223263663655074,-0.154080855756639
"Herpotrichiellaceae",-0.23417455511431,-0.500140615142265
"Auriculariales_fam_Incertae_sedis",-0.0283309898606446,-0.190830385044441
"Hypocreaceae",-0.351610741613372,0.0159598584748934
"Agaricaceae",-0.50777758620341,0.184866537808162
"Pleosporales_fam_Incertae_sedis",-0.228799769884026,-0.598171676285686
"Ophiocordycipitaceae",-0.280323128894688,-0.250925150393851
"Ceratobasidiaceae",-0.151283318122312,-0.265889654516784
"Rhizophydiales_fam_Incertae_sedis",2.92755781237638,0.542753578835478
"Cucurbitariaceae",-0.121161688782636,-0.654465410386357
"Orbiliaceae",-0.474817540911085,0.180301219870873
"Tricholomataceae",-0.387744318443246,0.796188176037942
"Cystofilobasidiaceae",-0.0916429572344474,-0.289410168888587
"Onygenaceae",-0.193252465183588,-0.100974814661772
"Terramycetaceae",-0.153972815029658,-1.0716270160414
"Phaeosphaeriaceae",0.05273868373511,-0.520147335974838
"Pleomassariaceae",-0.180468339773222,-0.339302274409064
"Leptosphaeriaceae",0.338074683555366,-0.85638380376918
"Melanotaeniaceae",0.722568611659004,-0.351481668192596
"Teratosphaeriaceae",-0.141722896932926,-0.499494761795182
"Clavicipitaceae",-0.283972478664677,-0.645687265491692
"Hyaloscyphaceae",-0.0720171789344598,-0.191834154272048
"Apiosporaceae",-0.192872667903229,-0.222695489350773
"Onygenales_fam_Incertae_sedis",0.262324083644662,-0.777792475914258
"Davidiellaceae",-0.139857097651085,-0.361936300890271
"Pleosporaceae",0.418979951501117,-0.100554205361282
"Annulatascaceae",-0.131328693186337,-0.554102854539544
"Ascobolaceae",-0.531807164621159,-2.18411100356833
"Sordariaceae",-0.190335235654409,-0.251361848158436
"Chaetothyriales_fam_Incertae_sedis",-0.191316145238798,-0.263930072152555
"Microascaceae",2.239442065084,0.516663321708394
"Sordariomycetes_fam_Incertae_sedis",-0.13898817822275,-0.760451421494147
"Wallemiaceae",2.91059086734681,0.539765294062075
"Lophiostomataceae",-0.0111901447901431,-0.386355810108906
"Pyronemataceae",0.297643169226578,-0.559329359606018
"Lentitheciaceae",-0.121426757028452,-0.31013611400316
"Xylariaceae",-0.178642367944825,-0.253735525386509
"Mycosphaerellaceae",-0.292035536919025,-1.48498251887306
"Corynesporascaceae",-0.225039280876708,0.0864937418156319
"Glomeraceae",-0.103173313086497,-0.553496823231137
"Paraglomeraceae",-0.262731566016974,-1.34113592626097
"Spizellomycetaceae",-0.198504319786708,-0.977323902881807
"Tubeufiaceae",-0.197088941180859,-0.361823437698822
"Montagnulaceae",-0.252405268513043,-1.38798213466901
"Trichosphaeriales_fam_Incertae_sedis",0.243659531319048,-0.461783452394969
"Dothioraceae",-0.205784577483959,-0.479781148181518
"Glomerellaceae",-0.30409464355776,-0.553249309460085
"Entolomataceae",-0.0924082163136744,0.0108653406169313
"Helotiales_fam_Incertae_sedis",-0.122371386856463,-0.769283064527605
"Acaulosporaceae",-0.2610408812915,-1.29689937517907
"Magnaporthaceae",-0.285207742906806,-0.517630014925048
"Diversisporaceae",-0.277762802100338,-1.09195959947208
"Pezizaceae",-0.297651790382731,-0.113407748811408
"Saccharomycetales_fam_Incertae_sedis",0.161381663883838,-0.795601813757175
