"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","RDA10"
"pH",-0.212962345471364,-0.383149343183142,0.277233924195135,-0.138132261389316,0.0931931543072021,-0.653265450595956,0.422923246267125,0.179145745889624,0.225960492592967,0.120201173871599
"TP",-0.249150720334004,-0.384543140035713,0.39261943593042,0.337172586480807,0.406543677437056,-0.552098251701423,-0.120428800116707,0.184603572638855,0.0571865600266488,-0.0165226720590449
"TN",0.740978159651307,-0.209141793949299,-0.0315214549348956,-0.435693128514036,0.100341302992823,0.159967858074298,-0.311402866868419,-0.0150837331160609,0.243945199535018,-0.154991467539107
"AP",0.614733229537475,-0.320995549651185,-0.137496174900054,-0.235887430601183,0.495578636401371,-0.00863942466978914,-0.239208812512646,-0.0444957276132281,0.373669697646212,-0.00377390569097259
"SOM",0.382815696482805,-0.59600450731193,-0.0995929703034676,0.111618572746084,0.266752622423686,0.0988517133306663,0.0845914014598636,0.130271015789102,0.292306311102449,0.534186726913161
"ACP",0.471884089167025,-0.372597741606341,0.180744719971303,-0.474653571267125,0.309904255345788,0.0461444832261714,-0.232039425122701,0.302046365318661,0.363295544741495,0.0728268327649661
"ALP",-0.110932755547644,-0.230495456957016,-0.667934810043539,0.0147880282787907,0.359652948797276,-0.246943988860419,-0.122538374547863,0.444413890906553,0.272571019126555,0.105186855036254
"UE",0.22357943130431,-0.63712930044809,-0.169879803084886,-0.136543114484277,0.57557687838603,-0.0787302713297689,0.0248297115250784,-0.194217671908194,0.114755492443189,-0.327997381911717
"NH4N",0.0289806403885209,0.0161335270731285,-0.315476759877079,0.0235715025535396,-0.389443132228293,0.636480712867792,-0.19400974177413,-0.43306771358193,-0.288637999164282,-0.183154743119851
"NO3N",0.375296534434008,-0.351118877266843,-0.135484992332636,-0.35952585321949,0.447801054812627,-0.379855867387071,0.468652798114326,-0.114759493949049,-0.082801565974373,0.0614448724369664
