"","RDA1","RDA2"
"Trichocomaceae",-0.096538490194801,-0.0312352470507197
"Nectriaceae",-0.125081441392784,-0.059002788717555
"Hypocreales_fam_Incertae_sedis",-0.0399444413181788,-0.0925352728181175
"Mortierellaceae",0.00649931075542724,-0.225475819483052
"Geastraceae",0.0515315960256841,-0.205913618550285
"Cordycipitaceae",0.109889396810832,-0.244947270348765
"Sebacinales_Group_B",-0.132534217132071,0.31676613811801
"Tremellales_fam_Incertae_sedis",0.0249769969206166,0.0212260752890472
"Chaetomiaceae",0.00771588464977757,-0.0977964898127206
"Bionectriaceae",0.382223267724292,0.222610796309149
"Pezizomycotina_fam_Incertae_sedis",0.371537651179676,0.00492491471272396
"Coniochaetaceae",0.238948331909588,0.254594761811532
"Lasiosphaeriaceae",-0.0847164859165928,0.26934195561229
"Myxotrichaceae",-0.237385069948829,0.0926910802099774
"Cunninghamellaceae",-0.0361876860079013,-0.0415795217270183
"Herpotrichiellaceae",0.16514655869192,0.00113316148157931
"Auriculariales_fam_Incertae_sedis",0.400041678551732,0.11938668302169
"Hypocreaceae",-0.0890967324936452,-0.0211489103307244
"Agaricaceae",-0.033527649161617,0.0671584385870986
"Pleosporales_fam_Incertae_sedis",-0.0825680569461347,0.256251903799745
"Ophiocordycipitaceae",-0.0697627744186247,0.0415171777238479
"Ceratobasidiaceae",-0.117812953324431,-0.081970418578244
"Rhizophydiales_fam_Incertae_sedis",-0.167610259993724,-0.0676303426694992
"Cucurbitariaceae",0.211779596881705,-0.0713226723751986
"Orbiliaceae",0.0139561821998173,0.00387598441181899
"Tricholomataceae",-0.119092940462294,0.0746881983080212
"Cystofilobasidiaceae",0.331691360382976,0.0539002167289672
"Onygenaceae",0.202899416456098,0.114588870006168
"Terramycetaceae",0.186426330798006,-0.291310611302886
"Phaeosphaeriaceae",0.441420252380763,0.105404243120081
"Pleomassariaceae",0.399607606979768,0.0421447935305346
"Leptosphaeriaceae",0.423895980894811,0.144276005689429
"Melanotaeniaceae",-0.106170199855145,-0.258922537377062
"Teratosphaeriaceae",0.409250597664362,0.0807803109727605
"Clavicipitaceae",-0.126152970647997,0.356646118347637
"Hyaloscyphaceae",0.374692024525323,0.164989867145833
"Apiosporaceae",0.166000792092079,0.130658304026468
"Onygenales_fam_Incertae_sedis",0.424101027186193,0.158513802814613
"Davidiellaceae",0.423552872201373,0.07840673786943
"Pleosporaceae",-0.180203416375238,0.0513601425854256
"Annulatascaceae",0.338644337425333,0.104458774771281
"Ascobolaceae",0.112419491142907,-0.241208556878467
"Sordariaceae",0.368789685224226,-0.0535998182308552
"Chaetothyriales_fam_Incertae_sedis",0.162959498339096,0.276992564037082
"Microascaceae",-0.190574698327915,-0.0543332534364717
"Sordariomycetes_fam_Incertae_sedis",0.385476163944073,-0.147287914220528
"Wallemiaceae",-0.167744552724409,-0.0674367190592229
"Lophiostomataceae",0.295054058348586,0.123452281905839
"Pyronemataceae",0.305231294076408,-0.0656981960617055
"Lentitheciaceae",0.0950347691276219,-0.205639769531433
"Xylariaceae",0.0876231709727614,-0.012624698897479
"Mycosphaerellaceae",0.134677859785472,-0.260136944949036
"Corynesporascaceae",-0.0556993569562236,0.121658205060953
"Glomeraceae",-0.0893277407554564,0.0516364400747084
"Paraglomeraceae",-0.111748264842793,0.346131050854871
"Spizellomycetaceae",0.0917178452860636,-0.298936839564126
"Tubeufiaceae",0.14393006052544,-0.215822713803158
"Montagnulaceae",-0.109771584143025,0.339836429654319
"Trichosphaeriales_fam_Incertae_sedis",-0.200602527986298,0.356005480105919
"Dothioraceae",-0.00620360514914549,0.369447470806876
"Glomerellaceae",0.170938314476236,-0.262760723095837
"Entolomataceae",-0.00898931962252207,0.040211246064252
"Helotiales_fam_Incertae_sedis",0.342633302149114,0.237186484712103
"Acaulosporaceae",-0.112214306274383,0.340595432878654
"Magnaporthaceae",-0.126459273890777,0.259799961536169
"Diversisporaceae",-0.121215998753441,0.336114881020754
"Pezizaceae",-0.047030645382812,-0.00521370738288084
"Saccharomycetales_fam_Incertae_sedis",0.376401575166579,0.198220369087198
"Chaetosphaeriaceae",0.228476115809359,0.103376137337431
"Agaricomycetes_fam_Incertae_sedis",0.424377797888201,0.142395678129127
"Rhizophydiaceae",-0.0765871457154167,0.251469376676128
"Halosphaeriaceae",-0.0404779748906676,-0.00982198750924252
"Aliquandostipitaceae",0.404139412551696,0.179237040522836
"Ajellomycetaceae",0.0440395755708331,0.00686352526139466
"Hydnodontaceae",0.0485164035279857,0.0482594645690497
"Lichinaceae",0.139040200162377,-0.233570636742242
"Leotiomycetes_fam_Incertae_sedis",-0.115609538683363,0.348793106313764
"Botryosphaeriaceae",0.0942260372420133,-0.233230599111718
"Mycenaceae",-0.165236052809207,0.259117573671699
"Vibrisseaceae",0.179548420623441,0.245442931884756
"Cladochytriaceae",0.112603628970071,-0.244514560218661
"Exobasidiomycetidae_fam_Incertae_sedis",-0.0176739233338768,0.126619388630722
"Chaetothyriaceae",-0.160525966480899,0.351731222877732
"Xylariales_fam_Incertae_sedis",-0.175633095592158,0.311936496654049
"Coniophoraceae",0.0314277096666833,-0.00209125953918679
"Psathyrellaceae",0.396059851255998,0.212033695363362
"Plectosphaerellaceae",-0.15268482014364,0.229804226962791
"Sarcosomataceae",-0.135175543957141,0.116474058677839
"Venturiaceae",0.146131676754533,-0.23621247300235
"Pyriculariaceae",0.0893065950347665,-0.223639365645301
"Endogonaceae",-0.0333338373491052,-0.0216389000245706
"Sporidiobolales_fam_Incertae_sedis",0.0553657726420882,0.0787224820484321
"Dothideomycetes_fam_Incertae_sedis",0.365430718446036,0.134811964241962
"Rhizophlyctidaceae",0.117084766448286,-0.280292228156355
"Umbelopsidaceae",-0.115354472335252,0.0317454382541044
"Verrucariaceae",0.356030570689761,-0.0699770444378297
"Coniocybaceae",0.424377797888201,0.142395678129127
"Phanerochaetaceae",0.0972179706779698,0.140609277374551
"Amanitaceae",0.0231508522780259,-0.0945916144883772
"Togniniaceae",-0.0566617722168688,0.0378217705425958
"Clavariaceae",-0.127738560453396,0.0782263538915326
"Gigasporaceae",0.0566976254269459,-0.21545783406196
"Sporormiaceae",0.0823435564069382,-0.165743833132475
"Mucorales_fam_Incertae_sedis",-0.136775552764056,0.273599003823611
"Parmeliaceae",0.337018024557649,0.0668426503647552
"Strophariaceae",-0.126848741545321,0.349702940814242
"Saccharomycetaceae",-0.260192825877413,-0.0108089842872477
"Inocybaceae",-0.170289529599219,-0.0998053308042326
"Trichosporonaceae",0.30493574792416,0.265823627655537
"Kickxellaceae",-0.0366899362211405,-0.00497878450213565
"Ophiostomataceae",-0.0168037049152453,0.103487806834842
"Helotiaceae",-0.0478116877074281,0.0992664239417467
"Agaricostilbaceae",0.419236793871847,0.144770773196991
