"","CCA1","CCA2","CCA3","CCA4","CCA5","CCA6","CCA7","CCA8","CCA9","CCA10"
"pH",0.433223778696779,0.694436483446894,-0.0702108141576022,0.258588447598479,0.0073382845762229,-0.035843028579615,0.256640837592993,-0.300871036738958,0.183210508887512,-0.258814644909481
"TP",0.185749392061985,0.563084562168843,-0.0929466019663284,0.405523851756809,0.0550089317184129,0.411735356035044,-0.247253791843798,-0.4703300670465,0.126840818778408,0.0660218539528834
"TN",-0.137437757346022,-0.511645220195308,-0.528545734989587,-0.0647448493230532,-0.344374234674761,-0.290362298017141,0.179422167801544,-0.429510658827928,0.0968518870460634,0.0825933171027258
"AP",0.147645755392546,-0.476849288600391,-0.488957445320881,0.0414179449423993,-0.345705959390805,0.0401358599100942,0.0328813237115611,-0.597640384661699,0.0913301247384055,-0.149334380691491
"SOM",0.163489489931839,-0.0894945617955162,-0.277808656323559,0.278974994934551,-0.434785115092646,-0.108594447112652,-0.294642969612639,-0.245919426752154,0.0385468498115999,-0.678711764217575
"ACP",0.119680801249261,-0.200431918372299,-0.614464025607478,0.158887086375594,-0.151525885700413,-0.391486047119492,-0.0353831490331907,-0.59072169093216,0.0313826675813004,-0.123620518535346
"ALP",0.70811105836645,-0.129611000730152,0.236941401184515,0.047340573637448,-0.26545729592402,-0.0846281844627609,-0.328311205712573,-0.45915701832465,-0.163580304897608,-0.0198978142742669
"UE",0.301780601154909,-0.39288088610734,-0.296317760401448,0.499252365255295,-0.263871452387667,0.33427801442192,0.300854166734975,-0.321561790031988,0.176806185576491,0.104739499407998
"NH4N",-0.467351925120964,-0.638664010019916,0.292446211763028,0.0288665168336406,-0.0484267589636466,-0.0596651848239799,0.0976685265971019,0.480835975107482,0.0555848135637336,0.193894984500446
"NO3N",0.596762540257231,0.0132028620619463,-0.470789873471835,0.0835545969469585,-0.29499776378554,0.137940459027531,0.349707421323624,0.0332170207643395,0.383419547984958,-0.196507576686123
