"","CCA1","CCA2"
"Aspergillus",-0.441930180724341,-0.847322195245698
"Penicillium",-0.177347487928673,0.841765032078996
"Fusarium",2.02805923815924,-0.249366280143443
"Stachybotrys",-0.509890982058906,0.718064177214128
"Mortierella",-0.100444017228619,0.240512700549154
"Sphaerobolus",-0.525206322899371,0.103614146150377
"Cordyceps",-0.511836279461747,1.01143604275574
"Cryptococcus",-0.200662931763482,-0.327560224211414
"Clonostachys",0.0629931762156995,-0.0988930072732996
"Trichocladium",-0.133210830036665,0.343041435245388
"Lecythophora",-0.0573330903770419,-0.103320897635638
"Pseudogymnoascus",1.10355390457257,-0.108636534354192
"Gongronella",-0.19498125486099,-0.0357342030617602
"Arnium",-0.147442778039938,0.56140039929023
"Oliveonia",-0.0255333726357134,-0.590863122461434
"Talaromyces",-0.132107207792559,0.600148054097986
"Ciliophora",1.20924601697989,-0.329697062536727
"Acremonium",0.265044886528994,0.343339382946446
"Trichoderma",-0.283400745080723,-0.126923273151962
"Cladophialophora",-0.152724811647056,0.557872720268851
"Ascochyta",-0.0658754860890886,0.606290825183306
"Staphylotrichum",-0.124660176574188,0.191701747654687
"Chalara",0.222105427486305,-0.317428181715006
"Massariosphaeria",-0.130993198719626,0.742426079976432
"Paludomyces",3.46495792066205,-0.471999869579137
"Exophiala",-0.166532934327606,0.303304873192116
"Pyrenochaetopsis",-0.00750472000786632,0.388637296813413
"Guehomyces",-0.0869514875685015,-0.264217438126989
"Arrhenia",-0.127362364043488,1.69318505475323
"Aphanoascus",-0.18282722010937,-0.152221818194395
"Chaetomium",0.203513987362431,0.400766228270882
"Boothiomyces",-0.0846816825051995,0.471281192451279
"Serendipita",-0.24943688361754,0.118847172974032
"Subplenodomus",0.377287280125564,-0.396847552136092
"Purpureocillium",-0.133951525064069,0.3814526567214
"Phaeosphaeria",0.0863483857704063,-0.372555847367149
"Arthrobotrys",-0.484166054874546,-0.0648588270451067
"Melanotaenium",0.987446667970564,0.376608607502385
"Devriesia",-0.0566482807088678,0.246771350766144
"Tolypocladium",-0.415923567827606,1.46846293435289
"Dactylella",-0.337444431577934,0.685276650281119
"Metarhizium",-0.139959056800667,0.792653648946591
"Clathrosphaerina",0.0163764305413958,-0.00462808583794
"Arthrinium",-0.119683730339534,0.0970050408642267
"Arthropsis",0.297513636216869,-0.390082792288891
"Podospora",-0.204271082162051,0.610325229819255
"Cladosporium",-0.0773414746234522,-0.0348075716855915
"Conlarium",-0.02719740282814,0.452308124407881
"Ascobolus",-0.513140652585526,1.01509304535428
"Neurospora",-0.163716992521187,-0.180882049882162
"Humicola",-0.213492170944964,0.315754949039987
"Coniosporium",-0.0817799476554405,0.567318901622607
"Metulocladosporiella",-0.273191543149974,0.673977576927307
"Alternaria",1.37316679709019,0.499966931512283
"Myrmecridium",0.0572964604469021,0.244448123431527
"Wallemia",3.44514632183891,-0.473388034388231
"Lophiostoma",0.0579385745448067,-0.0154318431589966
"Schizothecium",-0.224775491706863,0.364943849608154
"Oidiodendron",0.0603748598659437,0.0444353263521833
"Junewangia",-0.0238611095748917,0.538349148611813
"Ramichloridium",-0.48864134229382,0.837413867930527
"Podosordaria",-0.257421367491217,-0.656139825726237
"Corynespora",-0.0581565885458445,0.758549969018405
"Scolecobasidium",-0.121568463497156,0.37386741987349
"Sarocladium",-0.0755313816403217,1.18478909838763
"Paraglomus",-0.0912511703412188,0.707254795155664
"Spizellomyces",-0.0974137348890849,0.617647709965382
"Myrothecium",-0.18860297895969,0.983001856915109
"Cyathus",-0.120617983497669,0.6903990919914
"Zopfiella",-0.258944467793172,0.632086537876519
"Coniochaeta",-0.224904346462562,0.314558541670381
"Nigrospora",0.46483679681416,0.514229068771171
"Kabatiella",-0.129398214870443,0.161645559889515
"Acrostalagmus",-0.157172045256087,1.01980780972002
"Colletotrichum",-0.225447385226555,0.451762473052543
"Entoloma",-0.0613313032152781,-0.719080917957539
"Acaulospora",-0.0895088804240813,0.6825072904897
"Diversispora",-0.118110193829541,0.811131622634386
"Pseudophialophora",-0.175395045342939,0.429244427656871
"Curvularia",-0.224727396241062,0.024789239691091
"Peziza",-0.0729221628624304,-0.664717664892927
"Periconia",-0.353732985376468,0.954283397666061
"Pleurotheciella",-0.426050559016159,0.154795287161921
"Candida",0.335550268529899,-0.0700962190249783
"Leucoagaricus",-0.420800295169212,1.47524157729441
"Cotylidia",0.390173763077968,-0.414087822863588
"Rhizophydium",-0.255008446974304,0.598985468483259
"Bipolaris",-0.24432580982996,0.890459619513088
"Exserohilum",3.05013112224889,-0.310379988995949
"Simplicillium",0.019632586111422,0.813523170498886
"Ceratobasidium",-0.198259017887124,0.412724399483345
"Spiromastix",-0.328199915520172,-0.600641574644062
"Ophiosphaerella",0.33741329946054,0.0901301571524833
"Trechispora",-0.10203948887119,-0.698743853735123
"Ilyonectria",0.0840709660779739,0.770553231016004
"Lempholemma",0.0697324019291155,0.214367194770071
"Piriformospora",-0.10573609796247,1.44252286823395
"Chaetosphaeria",-0.121033252952779,-0.206424910946137
"Nectria",-0.243840422105812,0.0942696306704428
"Geniculospora",-0.133198457905804,0.636873186848807
"Tetracladium",0.0392319390813508,-0.228674348095839
"Lasiodiplodia",-0.4830960595205,0.98397603082783
"Panellus",-0.125198128281646,1.70015580887237
"Myxocephala",-0.0498871348038069,-0.175539628382719
"Nowakowskiella",-0.469493452388303,0.428210438447289
"Ceratorhiza",-0.520235286672408,1.0265546192066
"Auxarthron",-0.054922371755164,1.34249518301814
"Trematosphaeria",-0.0504308454830593,0.647914955047124
"Glomus",-0.227860664385685,0.948024653935057
"Jahnula",-0.0792666795090079,-0.116506744958729
"Ochroconis",0.24862658774647,0.735334990927102
"Cyphellophora",-0.149571857219404,0.713575903603626
"Coniophora",-0.0930462632540212,-0.181201343461807
"Chrysosporium",2.77581088332223,-0.443793899193146
"Xylaria",0.0299842149099104,0.165504285358692
"Acidomelania",-0.148470047057973,0.284711885981892
"Coprinopsis",0.240095189437658,-0.00447325444893653
"Scytalidium",0.0888799571798786,0.0027027579029865
"Verticillium",-0.264800673771549,-0.0311034491147432
"Urnula",-0.147258707202792,1.56954255291608
"Phialemoniopsis",-0.515665725539751,0.924443461532469
"Didymella",-0.113559067101934,-0.323161149037173
"Albonectria",0.0158697111432509,0.280215161471913
"Veronaeopsis",-0.102282184202979,0.405803913348939
"Dinemasporium",-0.122076965789485,0.489793117086073
"Pseudopyricularia",-0.267708430850689,0.229542040048664
"Mycena",-0.0904368356134398,0.723117849147676
"Scedosporium",-0.15765739385591,1.09692646315579
"Endogone",-0.177942413025977,0.269365331766016
"Rhodotorula",-0.11648381646493,-0.432950435462863
"Rhizophlyctis",0.69446284826896,0.104869064093775
"Umbelopsis",-0.127183738118153,0.668876236694674
"Knufia",-0.145692277433872,0.801523959273774
"Helicoma",-0.293760171439875,1.22505295266716
"Thelidium",-0.530549520481101,0.870072123493263
"Chaenotheca",0.390173763077968,-0.414087822863587
"Isaria",-0.654884852017542,-0.978569741627482
"Meira",-0.132743481800814,0.765020155273728
"Phlebiopsis",-0.114046791257175,0.43077245236502
"Pochonia",-0.226553308734705,0.230560229390589
"Acaromyces",-0.146249093652872,0.23875985564423
"Amanita",-0.410821911209151,0.143512611758624
"Melnikomyces",-0.00960077379433833,0.465660181053652
"Pseudoramichloridium",-0.193848850693539,0.407299517183184
"Scutellinia",1.30247756522677,-0.327420694847337
"Phaeoacremonium",-0.414850623605872,0.743078802388065
"Thielavia",-0.181127129940467,0.615169609348993
"Manglicola",0.188239153713929,0.0508148027712203
"Helicosporium",-0.0775878971770811,-0.531660837573723
"Phoma",-0.301551140301507,-0.134205052115093
"Verrucaria",0.390173763077968,-0.414087822863588
"Geopora",2.81598450637233,-0.236316920001312
"Claviceps",-0.074242344291443,0.455204044405102
"Codinaeopsis",0.215449735821453,0.0593974488351848
"Macrophomina",-0.425149181849637,1.48514249329695
"Metacordyceps",-0.107325195662786,-0.20432391247172
"Hypomyces",-0.17139667155069,0.34197198847368
"Hypoxylon",-0.00299019189404917,0.575253352363466
"Cetraspora",-0.276178556572127,1.16903059909245
"Clavulinopsis",0.0600099192925035,0.539750059827786
"Ramularia",0.22173740524105,0.250648044816276
"Rhexoacrodictys",-0.308034016432087,0.748876934912201
"Echria",-0.369274346535945,0.995666744124938
"Microascus",3.46495792066205,-0.471999869579137
"Mycoleptodiscus",-0.486063011246939,0.16121343002686
"Rasamsonia",0.224265542452311,-0.0412315483290725
"Scopulariopsis",3.19139956449832,-0.306488585771926
"Siepmannia",-0.20627994799275,-0.245798378447688
"Beauveria",-0.225731492335433,1.12700309492356
"Parmelia",-0.0497395804628288,0.39044059284822
"Gymnopilus",-0.0332484675447984,0.606806217287754
"Sagenomella",0.127193359388489,-0.401422246288469
"Triscelophorus",0.0156336477649548,-0.101886200882664
"Cylindrotrichum",-0.0228938189176102,-0.601640178800931
"Thanatephorus",2.19337004443847,0.0978644353320428
"Inocybe",3.46495792066205,-0.471999869579137
"Trichosporon",0.0898451979278975,-0.078096459559777
"Rhinocladiella",-0.0628038557813534,-0.590177829909896
"Thyronectria",-0.33456067996233,1.26726935339488
"Monographella",0.0148623531629213,0.56296085255312
"Ramicandelaber",-0.377273858926988,1.08092230324323
"Cenangium",-0.125198128281646,1.70015580887237
"Funneliformis",0.390173763077969,-0.414087822863588
"Bensingtonia",0.218766151781965,-0.202760906713074
"Chytridium",-0.487034557268089,0.637175908008511
"Russula",-0.0626267923190833,-0.696374837781168
"Mycoarthris",-0.222068463363356,-0.774784814301268
"Monosporascus",3.46495792066205,-0.471999869579137
"Neokalmusia",-0.451232736349368,0.84815857565344
"Harpellomyces",0.222835012913237,0.535736513264748
"Chionosphaera",-0.0879467152674486,-0.42387014767329
"Cryptodiscus",-0.00772971612562636,0.196572068363035
"Phellinocrescentia",0.390173763077968,-0.414087822863588
"Mucor",-0.129231489680005,0.779609661480404
"Gibberella",0.174430114975719,-0.0603708054291819
"Thozetella",-0.462382798778452,-0.742263250951437
"Phaeococcomyces",-0.0857106754401575,-0.203988304243131
"Entrophospora",-0.142758385005254,0.842235982986995
"Cirrenalia",3.46495792066205,-0.471999869579137
"Tetrapisispora",-0.347737518299832,0.959898450395827
"Nadsonia",-0.125198128281646,1.70015580887237
"Archaeorhizomyces",-0.125198128281646,1.70015580887237
"Cercospora",2.62498942728235,-0.126551334237922
"Spiromyces",-0.591933739715102,-0.796037456230376
"Vermispora",-0.811763462113328,-1.02234374703522
"Candelina",0.0405475797692246,-0.18143519256661
"Leptodiscella",-0.538516183486696,0.760472624928975
"Kodamaea",-0.0872000006468054,0.562730492739184
"Gymnopus",0.46025633459797,0.874562340413864
"Magnaporthiopsis",-0.252787209024853,-0.774911933571348
"Pyrenochaeta",-0.12287628213364,-0.0392564704707699
"Minutisphaera",0.390173763077969,-0.414087822863588
"Phlyctochytrium",-0.125198128281647,1.70015580887237
"Idriellopsis",-0.0992022005098191,0.0760024488840746
