"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","RDA10"
"pH",-0.216658340540955,-0.280442375844796,0.242569582494144,0.0375913041745578,0.190519286879325,-0.779674836301823,-0.0623620444325499,-0.167636624417634,0.220333939179571,-0.299047776420466
"TP",-0.266274780245288,-0.304480337812655,0.399576727928008,0.444603399178578,0.506779374899262,-0.293280194014529,-0.347145120803799,-0.05645447759416,0.0548994592162809,-0.0975003622709988
"TN",0.778505389784591,0.17341256361854,0.234148455809282,-0.36257498290753,0.0397723158163469,0.0818884749564011,-0.223706435483532,0.191671290966134,0.269141012037255,0.100321614886467
"AP",0.74774771841139,0.0251056558355094,0.14573463077882,-0.157859880438065,0.47683221523498,0.00729282070823797,-0.146249843250074,0.204250318436001,0.311485990513687,-0.0808198797172936
"SOM",0.559932202620558,-0.39661231792536,0.233334412221121,0.0789010708200701,0.221414935407576,0.017321157800083,0.164929812378083,0.129515925645048,0.127762758562193,-0.599066051637024
"ACP",0.526013526394826,-0.0394754219775232,0.413018767056365,-0.415391540556841,0.25032138893716,3.37139274897033e-05,-0.338516275710678,0.0351717273484262,0.358886847722276,-0.267069166158582
"ALP",0.261685916368074,-0.35357840205727,-0.534303304620929,0.121027162429989,0.371835233992816,-0.0112934321619827,-0.346086400682324,-0.217874339714754,0.267396338758428,-0.359500194610853
"UE",0.532303544606783,-0.405915907994656,0.115911638821647,-0.0908180065268561,0.60768239391896,-0.195461796043877,0.0150846550688725,-0.00651510341906412,0.164847872585695,0.308664500118144
"NH4N",0.17431016451048,-0.111684167914781,-0.250336562354296,-0.154338671630651,-0.422738364812405,0.490655845628984,0.267040596833901,0.26811711588056,-0.267640565843743,0.486183060758597
"NO3N",0.508026163430296,-0.064045153503104,0.0540635274688436,-0.205052530681702,0.438469149594635,-0.64303206391381,0.183885433085666,-0.184346059374371,-0.102811749882871,-0.0934088960018034
