"","RDA1","RDA2"
"Aspergillus",0.0741577656391739,-0.0663902334650544
"Penicillium",-0.18169611203389,-0.0379980154059457
"Fusarium",0.0371461969583884,-0.113652882300906
"Stachybotrys",-0.018326554523474,-0.0669241020684546
"Mortierella",-0.0116565325915633,-0.116571590983806
"Sphaerobolus",0.0368838777466873,-0.102995441470153
"Cordyceps",0.0627697871626666,-0.107625889238507
"Cryptococcus",0.0388679332213488,-0.00518796360040051
"Clonostachys",0.223996942290103,0.302831430122989
"Trichocladium",-0.0713812681622579,-0.044103851942649
"Lecythophora",0.0860557200404383,0.27729338977034
"Pseudogymnoascus",-0.0701642901434616,-0.0702814802151897
"Gongronella",-0.0104008924199197,-0.0764775356166148
"Arnium",-0.242962924114296,0.272836590987267
"Oliveonia",0.302651052495753,0.20515944202252
"Talaromyces",-0.150470514305133,-0.0476107850792934
"Ciliophora",0.27460874986681,0.0931412005599116
"Acremonium",-0.0664936570364927,-0.12440315335358
"Trichoderma",-0.0457536517878381,-0.0353432303040277
"Cladophialophora",-0.127910400176428,0.172090710042076
"Ascochyta",-0.206643315075191,0.266384590713221
"Staphylotrichum",-0.0513841941643464,-0.094701193639344
"Chalara",0.313879995059393,0.240622971592123
"Massariosphaeria",-0.116036674155605,0.00816443621301143
"Paludomyces",0.00847316197215624,-0.136406196526757
"Exophiala",0.131378569608812,-0.0853453673439049
"Pyrenochaetopsis",0.0802907861884285,0.101017465693862
"Guehomyces",0.259702876672287,0.139745858475221
"Arrhenia",-0.154518814307144,0.00940471956561306
"Aphanoascus",0.151113454575723,0.131484569232819
"Chaetomium",0.0440988310639333,0.0176648468095715
"Boothiomyces",0.127813250721803,-0.0817958534510383
"Serendipita",0.00895126373348744,-0.0226029583695297
"Subplenodomus",0.297424177273557,0.25442707026592
"Purpureocillium",-0.181179955909662,0.0669447407055599
"Phaeosphaeria",0.318825502398386,0.231923252182577
"Arthrobotrys",-0.000658269219589243,-0.0104463367133694
"Melanotaenium",0.00379227323039677,-0.188906225636301
"Devriesia",0.210165418998082,0.244904348820564
"Tolypocladium",-0.054068878223434,-0.030197549135756
"Dactylella",-0.0171858621424792,-0.0210373206764764
"Metarhizium",-0.279491814493358,0.265175077694856
"Clathrosphaerina",0.241015442120909,0.249365209858724
"Arthrinium",0.048805082461351,0.124815636109096
"Arthropsis",0.294459898135034,0.26383494775403
"Podospora",-0.171619593552518,0.0291134719888519
"Cladosporium",0.267072255932981,0.228131509433427
"Conlarium",0.165542082121464,0.226141138527939
"Ascobolus",0.0596230229940978,-0.10435756772135
"Neurospora",0.286921540273351,0.0880903607724691
"Humicola",-0.0665011853249536,-0.0514091318499595
"Coniosporium",-0.00881783392090565,0.246344098010435
"Metulocladosporiella",0.0705714202771243,-0.131535548009592
"Alternaria",-0.045752148021254,-0.124285629914663
"Myrmecridium",0.237718606274909,0.165949154479863
"Wallemia",0.0084821040530733,-0.136601341299482
"Lophiostoma",0.184547804753304,0.181380018128307
"Schizothecium",0.00606986539862661,-0.00549776111342544
"Oidiodendron",0.251420690342352,0.263022079009611
"Junewangia",-0.0158937110835537,-0.0718496561870504
"Ramichloridium",0.0765859416028155,-0.105797447280628
"Podosordaria",0.017682326690486,-0.050371876952443
"Corynespora",-0.132503215613202,0.0713016115440152
"Scolecobasidium",-0.152157699851562,0.272652514911044
"Sarocladium",-0.205120362745854,0.0574853998513529
"Paraglomus",-0.244129180817942,0.267979811783145
"Spizellomyces",0.0432619635357882,-0.111138030853554
"Myrothecium",-0.193213921462761,0.0831542035454132
"Cyathus",-0.24442292147202,0.26619556362286
"Zopfiella",-0.209511198830478,0.0478504579296795
"Coniochaeta",0.125608529438199,-0.0082663488501458
"Nigrospora",-0.284059004780468,0.222111214652226
"Kabatiella",-0.147464473672582,0.276052604154311
"Acrostalagmus",-0.288495324451201,0.20938377163671
"Colletotrichum",0.0895338649942934,-0.0763897307092885
"Entoloma",0.000835344736659056,-0.022503496840324
"Acaulospora",-0.243626616354155,0.266641597569302
"Diversispora",-0.252231420997211,0.262778777763179
"Pseudophialophora",-0.261696179990933,0.209337055096367
"Curvularia",-0.0691679093614705,0.174766155259782
"Peziza",-0.00152988300941415,-0.0231661632521975
"Periconia",0.0339920165255734,-0.141100690269642
"Pleurotheciella",0.0844305345681365,-0.124817191648363
"Candida",0.263683612544859,0.275685090836882
"Leucoagaricus",-0.0569955119316629,-0.0255746864895861
"Cotylidia",0.298691239859994,0.253116489471422
"Rhizophydium",-0.229373122107039,0.206212044393282
"Bipolaris",-0.249865457998234,0.225420112733921
"Exserohilum",-0.0191264344797885,-0.110596686532068
"Simplicillium",-0.1128431547854,-0.0422645960630341
"Ceratobasidium",-0.222805466051412,0.0438170655755965
"Spiromastix",0.0234163633157312,-0.0336294637668944
"Ophiosphaerella",0.267534263192054,0.192147345209112
"Trechispora",0.0566614615164894,-0.00473906273663867
"Ilyonectria",-0.152177020176349,0.00646831063910874
"Lempholemma",0.124492493856223,-0.0613010263231005
"Piriformospora",-0.189092927246826,0.0407637457513823
"Chaetosphaeria",0.120873066676878,0.128402267500016
"Nectria",-0.204814741536628,0.229840199544238
"Geniculospora",-0.243934029296447,0.265664377693532
"Tetracladium",0.323817694389172,0.215765781508528
"Lasiodiplodia",0.0431081633969454,-0.0863656389941269
"Panellus",-0.154257320958593,0.0095478390096093
"Myxocephala",0.0671697454555622,0.216843433431898
"Nowakowskiella",0.0699173532814152,-0.123084433925433
"Ceratorhiza",0.0638971046037702,-0.108931745417195
"Auxarthron",-0.242234941625667,0.0989227211852877
"Trematosphaeria",-0.0557346985900304,0.0624445594931341
"Glomus",-0.104008778070602,0.0346866806186751
"Jahnula",0.269161774286732,0.188066931566454
"Ochroconis",-0.158778393353072,0.00128509443372629
"Cyphellophora",-0.312433190626107,0.238639710285239
"Coniophora",0.0405094672464583,-0.00546977198229832
"Chrysosporium",0.0160456941901391,-0.138264556380358
"Xylaria",0.300498325366667,0.161733275184794
"Acidomelania",-0.256460562452637,0.25397720181695
"Coprinopsis",0.235142134666867,0.30661957755276
"Scytalidium",0.309879355106582,0.210916578973539
"Verticillium",-0.172497685929616,0.082378536783202
"Urnula",-0.190187123528041,0.0402307343309126
"Phialemoniopsis",0.064822935283656,-0.111940134590418
"Didymella",0.0931462728685045,0.0401085056388782
"Albonectria",0.0133868633773147,-0.122813612846059
"Veronaeopsis",0.0457052003088887,-0.10185496330335
"Dinemasporium",-0.24877713973665,0.260856171841734
"Pseudopyricularia",0.0710915044102718,-0.123586630080691
"Mycena",-0.240817128442189,0.26752095728439
"Scedosporium",-0.162074359095056,0.0210954800051143
"Endogone",-0.0701699883930187,-0.0509738570133494
"Rhodotorula",0.0274474556166933,0.0387093558277295
"Rhizophlyctis",0.173539916916296,-0.115001905858417
"Umbelopsis",-0.127257892390591,-0.0311782062310813
"Knufia",-0.107016333822878,0.0590325651820241
"Helicoma",-0.163371652067566,-0.0256741237951089
"Thelidium",0.0675992213604154,-0.113440514205346
"Chaenotheca",0.298691239859994,0.253116489471422
"Isaria",-0.0137677473724728,-0.0262817219894992
"Meira",-0.263437108841612,0.119040045844794
"Phlebiopsis",0.0172393485916443,0.0991208239412802
"Pochonia",-0.165244061908365,0.0763704045051838
"Acaromyces",0.0581151456396042,0.0363503982075634
"Amanita",-0.0371638150711178,-0.0402228003218322
"Melnikomyces",-0.234098408186498,0.226462834591878
"Pseudoramichloridium",0.130557358771132,0.201965162063262
"Scutellinia",0.0137234707133804,-0.0956741896366918
"Phaeoacremonium",-0.0785571474602781,-0.00760622458400422
"Thielavia",-0.0573771737402227,-0.0244417550656357
"Manglicola",0.111823032937493,0.377888162102287
"Helicosporium",0.254706099873266,0.18347206566394
"Phoma",0.0799466210674274,-0.105246962513049
"Verrucaria",0.298691239859994,0.253116489471422
"Geopora",0.00706477528685446,-0.127377351380911
"Claviceps",-0.0232562005262976,0.320327205449121
