"","CCA1","CCA2","CCA3","CCA4","CCA5","CCA6","CCA7","CCA8","CCA9","CCA10"
"pH",-0.567471366852888,-0.168470034929871,0.506312899762494,0.134036796585338,-0.540835647018723,-0.114423798798602,-0.0992534914315584,-0.239470368865383,0.0246686293084307,-0.0432853625672767
"TP",-0.220640621318924,-0.127772659880064,0.489293001985706,0.189451525798486,-0.185212063649691,0.0673858928561786,0.00854876832326137,-0.589631190030761,-0.451007949580311,-0.264010950213509
"TN",0.0459321061726808,-0.311534595079843,-0.421889877276449,0.512885250931128,-0.0461409453465432,-0.260539442088618,0.18562289101614,0.52403884665205,-0.239006466572668,-0.153582678924033
"AP",-0.177924836646865,-0.124717838916471,-0.383007188292011,0.569130612866932,-0.125376481363688,-0.148720563498189,0.121272257670651,0.266283716438085,-0.290547313532419,-0.523751147747354
"SOM",-0.227078485459431,0.0137685863206922,-0.174030102083268,0.589266215577234,-0.00971616040471255,-0.436780046793837,-0.0444290758499445,-0.246379933076909,0.267836614333827,-0.495418973181736
"ACP",-0.282036074575516,-0.4424666058014,-0.102182156478937,0.446469244723738,-0.0215356004904187,-0.425514479733239,0.268159570322904,0.27855493836738,-0.185069110396194,-0.38681214663343
"ALP",-0.633986215068145,0.486242419486229,-0.181351819106078,0.087123158530059,-0.000271312158380852,-0.237562062906078,0.337451625596356,-0.192669690813711,-0.234238666441613,-0.242594501124225
"UE",-0.26590062130411,0.186700000236168,0.102611075587529,0.726664133415484,-0.0709633443543925,0.215090724058736,-0.0135404869538774,0.283863173240983,-0.323958381858304,-0.344760321052883
"NH4N",0.620203610000535,0.39244103349076,-0.170849431150982,0.0476116150803374,0.384372661427126,0.043805813905381,-0.103323489614889,0.424961358737935,0.146179448002167,0.259968267737706
"NO3N",-0.665669612413126,-0.0923578776691143,-0.0719509632644046,0.486115586694142,-0.241048186154289,0.133072825318539,-0.42074666166636,0.193754076197489,-0.00552684931747733,-0.128285379151765
