"","CCA1","CCA2"
"Eurotiales",0.517729755536829,0.319863846900369
"Hypocreales",-0.905943887416009,0.30162270975499
"Pleosporales",-0.097349983854551,-0.54070643168329
"Mortierellales",-0.0206815595882982,-0.498898643409646
"Agaricales",0.049699045540685,-0.368288643104686
"Sordariales",0.0136002535298268,-0.540923599870673
"Geastrales",0.480741308201557,-0.457370774232564
"Sebacinales",0.190698056883117,-0.785598524038351
"Tremellales",0.285455099142288,-0.0489532947572069
"Auriculariales",0.0241801792513087,-0.30272246971463
"Pezizomycotina_ord_Incertae_sedis",-0.357019850476302,-0.246645430346562
"Coniochaetales",0.0377716356642939,-0.470479324232628
"Chaetothyriales",0.027382508147458,-0.49799680211431
"Leotiomycetes_ord_Incertae_sedis",-0.518809264650092,0.296307202847828
"Mucorales",0.172956880865312,-0.1675495231177
"Trechisporales",-0.563658300340433,-0.59414878409057
"Helotiales",-0.00443583463042539,-0.617490947186825
"Capnodiales",-0.0197778048124242,-0.48003157127396
"Onygenales",0.156530532205365,-0.170418781438664
"Cantharellales",-0.0616009339779416,-0.197779962058848
"Rhizophydiales",-0.88827390401464,-0.107443362755951
"Orbiliales",0.294575996288155,-0.0690757811672156
"Cystofilobasidiales",0.0439671696270265,-0.344352257606522
"Sordariomycetidae_ord_Incertae_sedis",0.0290856008366748,-0.373083219850786
"Ustilaginales",-0.913970802628007,0.0677733461921433
"Pezizales",-0.174467137376173,-0.536329711258667
"Spizellomycetales",0.1449287794074,-0.141497289515778
"Xylariales",0.117469581008434,-0.323360028136933
"Microascales",-1.50645411384424,0.955017122886841
"Sordariomycetes_ord_Incertae_sedis",-0.0982593600103711,-0.645590769701673
"Wallemiales",-2.69581741277883,1.58418377420745
"Diversisporales",-0.0590108764531149,-1.51996281542128
"Glomerales",-0.0632001842179756,-0.519404363663039
"Paraglomerales",-0.0814411061794903,-1.7151563211045
"Tubeufiales",0.0789901614375226,-0.235117390281622
"Trichosphaeriales",-0.388698189347043,-0.5491079616177
"Dothideales",0.0649491216260224,-0.599246497162519
"Venturiales",0.0269180665583557,-0.451213748002082
"Magnaporthales",0.106769306341413,-0.652304578437656
"Saccharomycetales",-0.400123084197464,-0.462201209500011
"Chaetosphaeriales",0.121168053965119,-0.0899103823229151
"Agaricomycetes_ord_Incertae_sedis",-0.570135898726197,-0.891894566729499
"Jahnulales",-0.0233377812036817,-0.530661081815155
"Lichinales",-0.161383705621819,-0.436828550098513
"Chytridiales",0.224749929426501,-0.722853649873372
"Botryosphaeriales",0.0319112564504142,-0.961315772712407
"Endogonales",0.161772769662429,-0.295672397098344
"Exobasidiomycetidae_ord_Incertae_sedis",0.219228369196297,-0.0897346076919645
"Atractiellales",0.828874331827417,0.436644179909179
"Boletales",0.0553315998127878,-0.549516779935136
"Hypocreomycetidae_ord_Incertae_sedis",0.389139395549711,0.0251757668562127
"Polyporales",-0.00814132244830605,-0.0554171750074729
"Sporidiobolales",0.110995378990304,-0.285419067298427
"Dothideomycetes_ord_Incertae_sedis",-0.0269723520865753,-0.570991978226549
"Rhizophlyctidales",-0.665659027896218,-0.171277633180373
"Verrucariales",-0.0384645788926922,-0.862038156930591
"Lecanoromycetidae_ord_Incertae_sedis",-0.570135898726198,-0.8918945667295
"Diaporthales",0.224292480686294,-0.00681025446535115
"Agaricostilbales",-0.126771814081728,-0.538207516465386
"Lecanorales",-0.024333907329233,-0.394775847655605
"Trichosporonales",-0.15984090103443,-0.669589178983639
"Kickxellales",0.429997125682174,0.260855882067958
"Ophiostomatales",0.272840045520969,0.0554029751446004
"Russulales",-0.0960205599408184,-0.410090330512497
"Harpellales",-0.244625280452657,-0.428278215404889
"Ostropales",-0.188289069659027,-0.511903752583108
"Monoblepharidales",-0.0498941425957439,-0.783269261648276
"Archaeorhizomycetales",0.530100813739521,0.796137170068781
"Candelariales",-0.139751866258531,-0.816465580511524
"Lulworthiales",-0.0299734237213207,-1.29468780290102
"Neolectales",0.186261355979737,-0.348562674582766
"Septobasidiales",0.0619409043183052,-0.538809471575228
"Malasseziales",-1.35262953834525,0.491894289634979
"Archaeosporales",-0.0855106968635542,-1.4894472198468
"Thelephorales",0.27485613420372,0.182187007028229
"Hymenochaetales",0.155774211570898,-0.724389334874303
"Geminibasidiales",-0.282094951415556,-0.297763717694794
"Chytridiomycetes_ord_Incertae_sedis",0.53010081373952,0.796137170068781
"Hysterangiales",0.33088213440574,-0.367551799047457
"Teloschistales",0.050463969936086,-0.544510966398612
"Dothideomycetidae_ord_Incertae_sedis",-1.22520839857402,-0.132094278060467
"Acarosporales",0.00871100152911604,0.127376443472765
"Cystobasidiomycetes_ord_Incertae_sedis",-0.0163170681772338,-0.527365125493562
"Atheliales",0.103253286108333,0.268044974645435
"Eurotiomycetidae_ord_Incertae_sedis",-0.570135898726198,-0.8918945667295
"Peltigerales",-0.812132392013311,-0.08124577448949
"Arthoniales",0.605778009311683,0.220437513788344
"Ceraceosorales",-0.0163170681772351,-0.527365125493562
"Melanosporales",-0.404894508452663,-0.489348818083854
"Phallales",-0.0152558288466768,-0.258576472002377
"Entorrhizales",0.296314097222299,0.337356996915931
"Leucosporidiales",-0.0418007396807541,-0.236999651961306
"Erysiphales",-0.0163170681772349,-0.527365125493562
"Pertusariales",-0.092857549003836,-1.92460782746234
"Coryneliales",-0.092857549003836,-1.92460782746234
"Blastocladiales",-0.092857549003836,-1.92460782746234
"Arachnomycetales",0.0186706156642805,-1.47496044457161
"Laboulbeniales",0.0714720259544337,-0.807235617958235
"Microbotryomycetes_ord_Incertae_sedis",-0.11567725063739,-0.240031026270026
"Zoopagales",-0.44611382539351,-0.634008315664166
"Neocallimastigales",0.677796325407649,0.189399030467337
