"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","RDA10"
"pH",0.30177196847521,0.000788505648559704,-0.721945482308517,-0.384899714115886,0.146430855247184,0.225507790590096,-0.202189081929726,-0.2263888094003,-0.242958932261917,0.12697585725208
"TP",0.30112895594322,0.0600212835423539,-0.599398554043519,0.197186941221027,0.147943659306197,0.692200157394641,-0.0397183289171916,-0.0420280280729688,-0.054298149105211,-0.0153917841365411
"TN",-0.603582882008909,-0.390209194915608,-0.172583321341383,0.284691282487215,0.286557329076382,-0.381726001177291,-0.155484222208014,0.243496890379081,-0.16305281921417,-0.186301411599315
"AP",-0.434920451055483,-0.529991693932035,-0.26406966036865,0.221303497468143,0.455788691572316,-0.0313717525807666,0.0676537469371305,0.329024627936035,-0.297489684871819,-0.0343964533708742
"SOM",-0.0933606873246428,-0.560585748082031,-0.363800349336224,0.25040967349826,0.0295892046702527,-0.00652506382400158,0.172530424468023,0.0597981257733094,-0.37437113534275,0.554578483777593
"ACP",-0.376406457427814,-0.208529065439652,-0.443758333392966,0.366448842213301,0.486269995496533,-0.242537545280879,-0.150278028877702,0.060786036894735,-0.397266965941602,0.0651548570260345
"ALP",0.206459162048131,-0.535742558446847,0.218024073811169,0.0422157812755269,0.547866718201163,0.339507120505688,-0.101482065382046,-0.243440505074727,-0.316089831574125,0.190105654857792
"UE",0.0562195195733091,-0.612941628650482,-0.437521432323071,0.10958970741843,0.382374713573207,0.019707959484494,0.330409362176361,0.140581983255997,-0.119338540027873,-0.357677039742496
"NH4N",0.0704923835090962,-0.181061780790997,0.526638694606452,0.211568952471154,-0.367879780916362,-0.521665733647629,0.157641152956699,0.213375002422728,0.335524178570015,-0.222959523364178
"NO3N",-0.186673563563201,-0.462649917987045,-0.565425023903016,-0.429167666806893,0.396849264490448,-0.0623021196434555,0.266679375400756,-0.0925157272067941,0.0511920923563935,0.0595744740787148
