"","RDA1","RDA2"
"Eurotiales",0.197475860211153,-0.0947370480057619
"Hypocreales",0.142794588016737,-0.176642160660487
"Pleosporales",-0.429529724107308,0.096924855691786
"Mortierellales",0.0215255792947939,0.116208044335071
"Agaricales",0.0646737109732588,0.386248213529632
"Sordariales",-0.117475172289665,0.400509585276456
"Geastrales",0.0118900966250851,-0.0105870740268981
"Sebacinales",-0.103887148893759,0.490217588207719
"Tremellales",-0.0222029883426477,0.0396929737151168
"Auriculariales",-0.46066515701025,-0.234588486459253
"Pezizomycotina_ord_Incertae_sedis",-0.406430617179486,-0.237286225278648
"Coniochaetales",-0.395022247509423,0.169850942652244
"Chaetothyriales",-0.31905991059139,0.220794449501355
"Leotiomycetes_ord_Incertae_sedis",0.209220553155325,0.0428482644654357
"Mucorales",0.0116523665224731,0.113724070499884
"Trechisporales",0.104490077284778,-0.0317563885885043
"Helotiales",-0.440274868400108,0.314100362640839
"Capnodiales",-0.486150383801912,-0.0546758971602297
"Onygenales",-0.409342041307079,-0.10300160853004
"Cantharellales",0.172913755543867,0.0837341135749977
"Rhizophydiales",0.0853859414063767,-0.164688265093617
"Orbiliales",-0.0123306827676282,0.0264964175548527
"Cystofilobasidiales",-0.400589141856483,-0.152698813482201
"Sordariomycetidae_ord_Incertae_sedis",-0.430722953988784,-0.0151868815931259
"Ustilaginales",0.227090613985375,-0.13584207566628
"Pezizales",-0.199080381370231,-0.129826740291968
"Spizellomycetales",0.121222055480205,0.0465577909838598
"Xylariales",-0.189883242852798,0.112549364287738
"Microascales",0.243099230489865,-0.164086748791559
"Sordariomycetes_ord_Incertae_sedis",-0.374251592974701,-0.13085284477233
"Wallemiales",0.212610059232675,-0.179752066706692
"Diversisporales",-0.0938040172078083,0.511120168121714
"Glomerales",0.0143599444874032,0.45821977049744
"Paraglomerales",-0.0953595762158714,0.503739847869772
"Tubeufiales",-0.0493569965046867,-0.10253173214331
"Trichosphaeriales",-0.00274116114452672,0.457512286195391
"Dothideales",-0.218348558521223,0.45170629803068
"Venturiales",-0.221075134951049,0.188291514267509
"Magnaporthales",-0.0927515238023031,0.472850576341195
"Saccharomycetales",-0.439718777924384,-0.145748662609018
"Chaetosphaeriales",-0.258030832676604,-0.0956528246674602
"Agaricomycetes_ord_Incertae_sedis",-0.495238673723887,-0.22053812195167
"Jahnulales",-0.52339743139412,-0.0911008744680436
"Lichinales",-0.0329207397656948,-0.129116189939879
"Chytridiales",-0.0389939896565289,-0.0160128048732346
"Botryosphaeriales",-0.0369322160961676,0.0266299175404238
"Endogonales",-0.00799931917948474,0.170687048786891
"Exobasidiomycetidae_ord_Incertae_sedis",-0.0256487263942907,0.120206895107314
"Atractiellales",-0.00735407890102888,-0.12947128862199
"Boletales",-0.106677994773167,0.0431859745479852
"Hypocreomycetidae_ord_Incertae_sedis",0.0633596982071756,0.262251011103776
"Polyporales",-0.0871800047328048,0.00651276979535309
"Sporidiobolales",-0.208607788068693,0.0592327131661053
"Dothideomycetes_ord_Incertae_sedis",-0.450859517706378,-0.0512417539560257
"Rhizophlyctidales",-0.00675735628056963,-0.26040550327767
"Verrucariales",-0.40007180486668,-0.0657916365443902
"Lecanoromycetidae_ord_Incertae_sedis",-0.495238673723887,-0.22053812195167
"Diaporthales",0.0781460558643306,0.124910367208157
"Agaricostilbales",-0.49673641858142,-0.232235680372432
"Lecanorales",-0.357352536794102,-0.151977351481612
"Trichosporonales",-0.468076563549004,0.0782408266179571
"Kickxellales",0.0957499997838508,-0.0408785442870109
"Ophiostomatales",-0.0348614519707888,0.0358705487375791
"Russulales",-0.0775495964887039,0.36139075835983
"Harpellales",0.124097202047073,-0.00954491671659563
"Ostropales",-0.428448787116908,0.08512440244023
"Monoblepharidales",-0.105360409083385,0.402561641497147
"Archaeorhizomycetales",0.126550080476486,0.0310535432710069
"Candelariales",-0.496746432176031,0.117275122397228
"Lulworthiales",-0.103282908816659,0.496192012502943
"Neolectales",-0.0250256433926078,0.0170822624079266
"Septobasidiales",0.0351949192048579,0.3351053985376
"Malasseziales",0.157933300579184,-0.11908655784536
"Archaeosporales",-0.0761187676175388,0.155895397116504
"Thelephorales",-0.0113553882644417,0.0247892085649362
"Hymenochaetales",-0.0464282354037313,0.35829992434826
"Geminibasidiales",0.129451088584494,-0.0382181231153399
"Chytridiomycetes_ord_Incertae_sedis",0.126550080476486,0.0310535432710069
"Hysterangiales",-0.0459817753674201,0.131091464660844
"Teloschistales",-0.415384826277156,0.00250437844489545
"Dothideomycetidae_ord_Incertae_sedis",-0.380448275693467,-0.284033375056613
"Acarosporales",0.0567902634117516,0.0187778578785795
"Cystobasidiomycetes_ord_Incertae_sedis",-0.0571422940009386,0.0740299149666798
"Atheliales",0.166870320748444,0.0113443378567694
"Eurotiomycetidae_ord_Incertae_sedis",-0.495238673723887,-0.22053812195167
"Peltigerales",0.116623597221821,0.185626185467271
"Arthoniales",0.0719047396506436,-0.103067398392021
"Ceraceosorales",-0.0571422940009384,0.0740299149666796
"Melanosporales",0.108676225528677,-0.0250537344514835
"Phallales",0.131209645902673,-0.0489790242407678
"Entorrhizales",0.0882428581916055,-0.00246662626380377
"Leucosporidiales",-0.283157738806196,-0.140674219153198
"Erysiphales",-0.0571422940009386,0.0740299149666798
"Pertusariales",-0.104657901579214,0.499444572154771
"Coryneliales",-0.104657901579214,0.499444572154771
"Blastocladiales",-0.104657901579214,0.499444572154771
"Arachnomycetales",-0.0588388211012854,-0.0104848532418871
"Laboulbeniales",0.0114530812791018,-0.0689512596650176
"Microbotryomycetes_ord_Incertae_sedis",-0.282096755393327,-0.0850398618238561
"Zoopagales",0.0669132744493248,0.0045853985707245
