"","CCA1","CCA2","CCA3","CCA4","CCA5","CCA6","CCA7","CCA8","CCA9","CCA10"
"pH",-0.221959119578993,0.123615626989625,0.359528292845881,-0.787253582125383,0.290795296063236,-0.131103420653945,-0.236714916898833,-0.0539250393014981,0.0701082536661331,-0.144282673858939
"TP",-0.336222778126886,0.338235652196663,0.251108538545898,-0.373218743325833,0.44561794584778,0.230796375831522,0.12028969960038,-0.00679074442003858,0.372594996418469,-0.406224175052396
"TN",-0.253020327651617,0.101168353498592,-0.219834547066194,0.319048644130801,0.191372552936184,-0.695550387815201,0.254184176665969,-0.272334699916591,-0.0349077937565733,0.339438180117964
"AP",-0.153120432305459,0.321553477498333,0.0098461872552595,0.128310897179052,0.346057749451005,-0.46254258089611,0.368408293732447,-0.398490648139401,0.179589319682638,0.442858289065865
"SOM",-0.214899213068436,0.696572620965061,0.164536772555085,-0.0729948412596457,-0.0447162205957236,-0.178388762149303,-0.149376095514323,-0.236367352862183,0.296053168011716,0.486366120351313
"ACP",-0.550392544215515,0.265396923590019,-0.215419805587338,-0.0740536174671386,0.326423252485997,-0.429964753543349,0.134833023559718,-0.325136097109072,0.00945518341494508,0.399171935247901
"ALP",0.386640642452732,0.592471136817836,-0.237382581759719,-0.311504857172178,0.425344638548971,0.148473119959304,0.0435022118033728,-0.311487827042731,-0.0615220850293382,0.201089022102155
"UE",-0.044466377906896,0.45050852692241,0.276184101075174,-0.184873085123386,0.17199967734169,-0.371250231150434,0.695341247681457,-0.133247244927972,0.00687861276898918,0.126082812705304
"NH4N",0.306692423642396,-0.079495022993328,-0.267756907867122,0.472421314238979,-0.680619980231973,-0.133983304664331,0.266479698403326,0.198131329660448,-0.113656480798597,-0.0190868080197897
"NO3N",0.0372440340637102,0.190799534206943,0.493665393735031,-0.367199011469106,0.347142410073854,-0.458424005708246,0.167035194846566,0.167225027311059,-0.0395753848286201,0.442239963860342
