"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","RDA10"
"pH",-0.367813771274016,-0.487640256636247,-0.577765805183719,-0.285335881468505,0.152973217555847,-0.398093279575938,-0.000657938937834295,-0.0232156457989197,0.0433095674697179,-0.16551717921438
"TP",-0.449415139326237,-0.0271310037309124,-0.454337508822529,-0.345720623816887,0.0847204471280378,-0.0266219430658166,-0.275290821668729,-0.157993834920795,0.439317312777388,-0.41196061442496
"TN",-0.15735726419572,0.365594549294425,0.0293322525173766,-0.319134791243737,-0.225858815002065,0.14343891296796,0.445587639196921,0.553568304891157,-0.0444842682733329,0.400399715702425
"AP",-0.139054555578276,0.348225152965766,-0.25700923409314,-0.518694809157128,-0.00540966250309107,0.203097184318938,0.292621569865154,0.333084269779612,0.185942631887331,0.501876593351766
"SOM",-0.249829924961607,0.390401117193965,-0.615587050938811,-0.0337676777481347,0.148377526643601,-0.0749702286378391,0.350412381979836,-0.1761882542142,0.128516457777084,0.455082694750147
"ACP",-0.542986336790186,0.337448506581714,-0.164642215051184,-0.4385220481931,-0.0719160808323927,-0.10077145861125,0.22552065552183,0.349389181324732,-0.0574132869300985,0.424653077904427
"ALP",0.285979536503052,0.380365230291459,-0.488261099466526,-0.545051363433768,0.133595345384637,-0.221946896391204,-0.304514978349773,-0.143410778991824,-0.148140321280254,0.188966628715245
"UE",-0.0599361567797173,0.138958629275175,-0.560075126431904,-0.284260136645657,0.269012762719755,0.319868379819024,-0.0428265142465047,0.560366815259929,0.223611539302411,0.205132490202071
"NH4N",0.469161903290506,0.330114132908082,0.37792819932972,0.60365501110312,0.0878001084718287,0.203002757420949,0.124169159793269,0.309441633856727,-0.0598026388936991,0.00390285564062476
"NO3N",-0.038523431349458,-0.389317760848406,-0.659377987306421,-0.185379196489294,-0.101207563322114,0.0425514318480404,0.0347227854972579,0.3364521090876,0.127682741705314,0.484809940484183
