"","RDA1","RDA2"
"Ascomycota",0.898536632900225,0.127355309847295
"Basidiomycota",-0.59948706041505,-0.392329816409333
"Zygomycota",-0.749684138037813,0.38451173025938
"Ciliophora",-0.739671710903386,0.13661037865575
"Chytridiomycota",-0.453764231819082,-0.0889894869280418
"Rozellomycota",-0.15692530567691,0.648375500302642
"Glomeromycota",-0.466928693319396,-0.595305438171933
"Chlorophyta",0.0234577327647875,-0.56401859572263
"Cercozoa",-0.870473753683686,0.0721421449931696
"Arthropoda",-0.169032264059043,0.154440090872913
"Neocallimastigomycota",-0.100940274360898,0.740893523909386
