"","CCA1","CCA2","CCA3","CCA4","CCA5","CCA6","CCA7","CCA8","CCA9","CCA10"
"pH",0.448199229939812,0.712076631486996,0.0923505776712556,-0.0834171681852484,0.204199100825924,0.0915680386222475,-0.339992180102382,0.108458541996147,-0.0587439519300753,-0.309332345222621
"TP",0.272054847863193,0.562940343366188,0.262020794153241,-0.413360381975508,-0.155804044592557,0.143764952682174,-0.132309785557242,-0.12437725781031,0.485537408044299,-0.23642590689931
"TN",-0.259153617184932,-0.265842554602003,0.475866737816432,0.341076120599773,0.0845188616599296,-0.400867231276192,-0.252288386898552,0.214509752084846,0.377641508183832,-0.315071609265477
"AP",0.0517498285658653,-0.229240058507322,0.549703491989876,0.129250462961986,-0.10191187591885,-0.429307761847772,-0.228748564636107,0.156916604734291,0.28209607683736,-0.524092769907889
"SOM",0.102263673303331,0.055254221365467,0.483577548006048,-0.162005889494479,0.21082466191758,-0.390916592520376,0.173909261764049,-0.114525164613965,-0.257421481294315,-0.647693503833434
"ACP",0.0261887958149354,0.113346790777733,0.560129904615803,0.23261723810908,0.166436543764222,-0.121725638921445,-0.00174206153585469,0.157859250497875,0.359107991779015,-0.649777639432931
"ALP",0.636016666422231,-0.166027514242696,0.0124400378700198,-0.0585791138678121,0.180987159421678,-0.345052959326671,0.241602018170406,0.0424575915737242,0.387965666972519,-0.449245990290944
"UE",0.277861306361063,-0.263289002480912,0.618542943333588,-0.280880155412196,-0.0628266047294366,-0.17055363589553,-0.506560909131634,0.184489954233728,0.249716789696513,0.0771249845315706
"NH4N",-0.403473817529509,-0.705153050528595,-0.134575320230503,-0.162458665891933,0.099887199461413,0.0159214976540729,-0.026654424407689,-0.139581977432783,-0.186263610835905,0.479943801678779
"NO3N",0.475284880193035,0.243684300790717,0.503698348311431,0.241514492825582,-0.0483351076201745,-0.335902481250742,-0.444719906488024,-0.0696393610093419,-0.277569297093338,0.0885666856956699
