"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","RDA10"
"pH",-0.0753851814277556,0.110664514563932,0.511842096477377,0.235882994927629,0.586232186430794,-0.325777342489179,-0.342260798028537,-0.043357676361487,0.0500738613568073,0.305153295526248
"TP",0.0417435106047548,0.239738628263448,0.437055342652167,0.34103796574403,0.594819944771573,0.416604587913919,-0.249565801564273,-0.194920609377026,-0.0298156453974605,0.0701594432086143
"TN",0.530023877001775,0.222795126236174,-0.612965200296375,-0.307423159652432,0.116794887838721,-0.194912097534264,-0.160426434098495,-0.125382281842232,0.314594849058843,-0.0845141270203383
"AP",0.592339740251659,0.0355195354106731,-0.466796256584681,-0.229278002892803,0.499353266047001,0.00720072184310507,-0.013725444658202,-0.167816966152768,0.300471138284476,0.0967754377008976
"SOM",0.714563685297419,0.12070146765302,0.040935415993972,-0.0139690052444133,0.264769854338848,-0.033703387671894,0.219157990378672,-0.041991304342968,0.0728807085098719,0.58874015304134
"ACP",0.458301373293025,0.380189687223206,-0.259928601066389,-0.410142798799616,0.355456614795173,-0.0597326454902294,-0.284732856433427,-0.0941542005829726,0.350805399721631,0.258294453046171
"ALP",0.383840548923328,-0.622186901638136,0.141155544295144,-0.160262492821777,0.269373417853528,0.302154061010297,-0.322978195010526,0.0491524610984997,0.138442339059585,0.360811118428708
"UE",0.610021951627189,-0.07320857007324,0.0516586507114286,-0.159531061311223,0.677552865785868,-0.0400171301630424,0.0591405236999934,-0.0350478701281562,0.157092397398385,-0.322973242512204
"NH4N",0.194743210832256,-0.141655516483251,-0.127011979125584,-0.18717361391433,-0.671183355853451,-0.0871560894313816,0.419640435229165,-0.0481261421290527,-0.0672889645313952,-0.499817452290865
"NO3N",0.323303731167432,-0.089898319478808,-0.080289657539495,-0.0928212939498889,0.748469942514719,-0.482117169383307,-0.0548978991758098,0.103854907651704,-0.245955703168734,0.0734351338877714
