#Length	Count
398	11
384	93
443	13
386	923
407	77
331	74
358	284
445	41
366	161
376	347
329	46
437	46
463	5
458	8
368	129
424	29
400	15
451	15
313	23
454	5
395	203
343	1108
468	5
347	166
475	6
441	336
397	7
434	68
413	157
349	327
378	254
350	266
374	18
442	47
429	187
431	15
382	164
337	580
432	13
459	2
409	1751
340	594
311	51
371	180
389	20
346	112
435	11
327	5
427	23
401	22
333	261
339	852
418	29
323	2
471	7
465	3
361	280
348	925
345	165
319	4
404	73
412	93
385	52
446	25
307	5
314	2
420	10
352	164
344	115
364	87
388	27
355	625
479	23
426	35
369	253
326	11
448	8
367	58
483	6
335	184
357	971
372	216
391	45
428	68
455	2
460	3
336	1448
453	2
324	16
457	7
433	204
383	29
351	501
410	89
359	394
334	286
440	63
377	52
430	23
447	12
379	117
414	53
477	1067
423	19
415	123
452	7
330	338
342	26182
295	2
341	3295
480	420
394	111
438	135
467	5
360	112
481	13
474	18
419	50
444	70
422	31
476	23
406	52
417	190
396	16
482	1
312	37
393	73
449	4
405	12
293	1
365	18
370	1082
309	2
470	7
469	4
402	129
315	22
353	712
375	256
416	581
338	285
380	152
300	4
403	44
466	6
310	54
484	4
303	54
381	223
421	31
308	11
392	13
450	3
373	133
387	37
328	106
464	17
363	850
354	2143
318	3
399	13
473	5
301	2
436	37
390	10
332	2678
425	14
472	3
356	1035
408	87
439	359
362	121
317	15
411	154
478	37
