#Length	Count
398	13
384	54
276	1
443	20
386	312
407	193
358	139
331	74
445	250
366	119
376	288
329	320
437	1380
463	1
424	6
458	2
368	137
400	12
451	12
313	3
454	1
395	115
343	1010
347	195
475	1
441	25
434	16
413	63
397	90
349	341
275	6
325	1
378	462
350	678
374	93
442	8
429	43
431	7
382	78
337	1499
459	1
432	26
409	55
284	3
340	1432
371	20
346	92
389	50
435	13
401	1
327	11
427	18
320	1
333	870
339	1193
418	20
280	12
471	13
323	5
465	13
361	260
348	1199
345	148
319	4
404	23
412	16
385	32
446	66
282	21
314	30
420	2
344	67
352	379
364	33
388	2722
355	1494
426	12
369	35
326	42
448	82
367	64
335	319
357	638
372	86
391	5
428	15
455	5
460	1
336	1061
324	6
453	20
457	6
433	82
383	57
351	443
410	15
359	534
334	805
440	480
277	2
377	81
430	17
447	19
379	603
462	1
414	20
477	9
415	50
423	19
330	259
342	5541
452	7
266	1
480	2
341	2051
394	588
438	301
360	329
467	38
481	1
474	6
419	13
444	22
422	548
476	7
406	11
417	23
396	47
482	2
302	3
393	238
405	13
449	5
365	16
306	2
370	59
470	15
309	9
322	4
469	5
315	1
402	7
353	1975
375	1657
416	119
338	332
380	1251
300	5
403	33
466	14
283	14
484	1
381	1955
308	1
421	56
392	16
450	3
278	2
271	1
373	31
387	3204
328	49
281	1
464	5
363	127
354	17435
461	3
318	12
399	110
301	1
436	69
332	305
390	14
472	1
456	1
408	9
356	157
439	1979
362	52
265	1
411	18
