#Length	Count
398	8
384	22
443	8
386	620
358	430
407	1169
331	528
445	14
366	521
376	1786
329	283
437	43
463	1
298	1
424	4
368	831
400	9
451	1
313	3
454	2
395	95
343	2791
468	1
347	603
441	8
294	1
413	3
434	22
397	18
349	688
275	1
325	13
378	1034
350	1119
374	39
442	7
429	10
431	7
337	8877
382	523
432	4
409	56
321	10
340	3847
311	352
371	34
389	22
346	278
435	7
401	12
427	46
327	60
320	27
333	2710
339	1597
418	11
280	5
273	3
323	8
471	15
465	8
361	174
268	121
348	1929
345	908
319	57
404	9
412	7
446	5
385	38
282	149
307	1
352	1240
344	258
388	522
364	85
355	848
479	1
426	18
369	57
326	282
448	5
367	118
483	2
357	2038
335	871
372	108
270	2
391	62
428	7
455	1
460	1
336	6375
453	2
324	64
383	187
433	163
351	1424
410	32
359	1873
334	924
440	45
299	1
377	170
430	49
447	17
379	3120
462	1
414	13
423	26
415	511
452	4
330	1146
342	13538
480	6
341	5675
394	193
438	34
360	369
481	1
419	14
444	10
422	11
406	42
417	67
396	8
302	5
312	169
393	110
449	2
405	8
293	2
365	92
274	50
306	1
370	91
309	75
470	3
322	392
469	1
315	2
402	11
353	1080
375	448
416	5
338	2808
380	895
300	43
403	12
466	2
283	4
310	4
303	1
484	1
381	7878
308	5
421	19
392	35
450	1
278	4
271	4
373	75
387	35
328	148
267	3
464	2
269	1
281	4
363	187
354	14438
461	2
399	32
318	76
301	2
436	9
332	1722
390	6
425	4
356	965
408	27
362	139
439	118
317	25
411	19
478	1
