#Length	Count
398	87
384	3857
443	16
386	291
407	3
331	50
358	71492
445	348
366	40
376	173
329	33
272	3
437	9
463	16
424	9
368	781
400	307
451	7
313	3
454	35
395	71
343	192
468	104
287	1
347	288
441	7
475	60
413	216
434	588
397	283
349	60
292	27
275	1
378	2581
350	974
291	1
374	469
442	4
429	5
431	41
382	54
337	8899
321	1
432	4
409	31
459	34
340	6940
311	1
371	446
289	2
389	2
346	697
435	72
327	22
427	260
401	388
333	180
339	838
418	71
280	40
323	2
471	130
361	29
345	21
348	162
285	1
404	11
412	122
385	75
446	26
282	56
314	1
420	62
344	22
352	170
388	16
364	79
355	228
426	108
369	49
326	2
279	2
367	1094
448	218
357	24063
335	251
372	122
270	1
391	2
428	28
455	40
288	11
336	443
460	24
453	1
324	1
457	24
383	130
433	97
351	5082
297	1
410	55
334	8087
359	971
440	563
377	574
430	18
447	12
379	87
414	6817
462	28
477	50
415	316
423	31
330	14
452	20
342	69
394	2
341	4016
438	17
360	580
467	14
481	2
474	219
419	13
444	413
290	4
422	2
304	4
476	100
406	17
417	16
396	156
482	5
302	75
393	2
405	10
449	7
293	5
365	244
370	174
470	53
322	2
469	29
402	46
353	140
375	83
416	71
338	19154
380	1798
300	1
403	3
466	10
283	3
303	103
305	1
381	227
421	37
392	1
450	63
271	1
373	46
387	6
328	4
464	3
269	2
281	4
363	8
354	240
461	24
399	103
301	1
473	171
436	8
332	65
390	37
425	158
456	6
472	159
356	815
408	13
439	16
362	78
317	1
411	32
478	3
