SampleID	Raw PE	Raw Tags	Clean Tags	Effective Tags	Effective Rate(%)	Effective Bases(nt)	Avg Length(nt)	Q20 content(%)	Q30 content(%)	GC content(%)
CK1	119395	78661	77319	76433	64.02	28082228	367	92.17	83.55	51.38
CK2	89251	63401	62401	61991	69.46	22139123	357	92.34	83.81	54.51
CK3	117759	82327	81281	80177	68.09	28718513	358	92.33	83.75	54.08
JXBR161	93874	66336	65930	65240	69.50	23777516	364	92.32	83.81	51.73
JXBR162	162138	114668	113813	112322	69.28	39943706	356	92.60	84.31	53.70
JXBR163	129728	92630	92226	91155	70.27	32646624	358	92.68	84.36	54.80
R37J161	217055	148748	146363	144303	66.48	52486086	364	92.21	83.55	51.88
R37J162	159866	115055	110459	109598	68.56	38537066	352	92.32	83.87	51.46
R37J163	135729	92105	91475	90471	66.66	32596741	360	92.49	84.00	54.28
RW371	110228	77051	76272	75568	68.56	27866058	369	92.15	83.51	51.53
RW372	120596	82181	80501	79655	66.05	29229008	367	92.17	83.47	50.51
RW373	198441	184019	183593	183160	92.30	65637076	358	97.66	93.68	54.14
