	sequences per sample	iteration	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
alpha_rarefaction_10_0.txt	10	0	23.0	16.0	12.0	23.0	16.0	11.0	13.0	23.0	23.0	23.0	23.0	4.0
alpha_rarefaction_10_1.txt	10	1	55.0	12.0	23.0	29.0	16.0	11.0	13.0	23.0	13.0	55.0	29.0	11.0
alpha_rarefaction_10_2.txt	10	2	55.0	9.0	23.0	22.0	22.0	4.0	23.0	55.0	12.0	29.0	55.0	11.0
alpha_rarefaction_10_3.txt	10	3	23.0	22.0	16.0	29.0	29.0	7.0	29.0	55.0	13.0	55.0	23.0	29.0
alpha_rarefaction_10_4.txt	10	4	55.0	22.0	13.0	29.0	9.0	4.0	9.0	55.0	13.0	29.0	12.0	16.0
alpha_rarefaction_10_5.txt	10	5	55.0	22.0	29.0	29.0	22.0	16.0	23.0	55.0	13.0	55.0	13.0	7.0
alpha_rarefaction_10_6.txt	10	6	55.0	29.0	29.0	9.0	55.0	11.0	23.0	55.0	7.0	13.0	55.0	16.0
alpha_rarefaction_10_7.txt	10	7	55.0	11.0	12.0	22.0	23.0	16.0	55.0	55.0	13.0	55.0	55.0	23.0
alpha_rarefaction_10_8.txt	10	8	23.0	11.0	23.0	16.0	6.5	16.0	55.0	55.0	55.0	23.0	55.0	16.0
alpha_rarefaction_10_9.txt	10	9	23.0	11.0	22.0	55.0	29.0	9.0	23.0	55.0	12.0	8.0	23.0	16.0
alpha_rarefaction_4473_0.txt	4473	0	2155.95867769	1757.88888889	2304.44155844	2106.22105263	2052.76923077	1809.875	2137.8	2263.34259259	355.44	2763.88157895	1921.18390805	1581.42857143
alpha_rarefaction_4473_1.txt	4473	1	2093.36912752	1699.32183908	1870.70930233	2065.90625	1834.32786885	1523.87755102	1993.5	2436.89320388	279.636363636	2468.91891892	1735.0625	1555.28
alpha_rarefaction_4473_2.txt	4473	2	2176.3671875	1921.77777778	1756.16304348	1998.07291667	2206.03773585	1374.75409836	1745.125	1989.91891892	365.275862069	2148.03846154	1726.39393939	1431.14492754
alpha_rarefaction_4473_3.txt	4473	3	2606.21649485	1832.23529412	2369.60273973	1932.71428571	1923.03389831	1453.11111111	1618.58139535	2270.48113208	327.032258065	2496.04225352	1710.59550562	1866.671875
alpha_rarefaction_4473_4.txt	4473	4	2400.00840336	1758.32941176	2531.575	2129.24705882	1947.5	1485.24528302	2024.93670886	2302.5	330.0	2016.07291667	1938.90909091	1658.59649123
alpha_rarefaction_4473_5.txt	4473	5	2438.0	2077.01190476	1995.59036145	2096.76744186	1641.84615385	1578.34693878	1958.6	2528.46875	338.038461538	2053.78	1739.71910112	1538.75342466
alpha_rarefaction_4473_6.txt	4473	6	2236.408	2298.23076923	2354.04477612	1794.54205607	1596.57746479	1928.16666667	1990.86842105	2067.02970297	271.285714286	2127.87912088	1814.31914894	1607.06451613
alpha_rarefaction_4473_7.txt	4473	7	2260.25	2018.06976744	1892.71875	2368.38888889	1829.42857143	1515.50909091	1869.37974684	2255.02702703	430.391304348	2067.21348315	1974.34482759	1455.54166667
alpha_rarefaction_4473_8.txt	4473	8	2186.65909091	1538.89473684	2019.2804878	1916.66666667	1785.0	1648.88372093	2058.9125	2347.57281553	304.833333333	2833.82089552	1805.72527473	1570.89705882
