per_sample	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
10	0.08	0.49	0.35	0.33	0.39	0.62	0.25	0.04	0.39	0.21	0.18	0.52	
4473	0.8700201207244	0.8999552872793	0.8941202772189	0.8915940084954	0.9128325508608	0.9249049854683	0.9009166107758	0.8775989268948	0.979543930248	0.8876592890677	0.9020120724346	0.9174379610998	
8936	0.9040398388542	0.9236459265891	0.9176141450312	0.9163943598927	0.9324194270367	0.9401969561325	0.9257162041181	0.9097135183526	0.9876119068935	0.9126230975828	0.9295322291853	0.9353290062669	
13399	0.9211209791776	0.9349503694306	0.9305470557505	0.9294350324651	0.9405403388311	0.9489588775281	0.9363534592133	0.9256063885364	0.9905664601836	0.9245391447123	0.9411523248004	0.9438913351744	
17862	0.9326279252044	0.9437576979062	0.9386966745046	0.938394356735	0.9473631172323	0.9532471167841	0.9443175456274	0.9362837308252	0.9924588511925	0.9332493561751	0.947911767999	0.9508173776732	
22325	0.9406808510638	0.9492452407615	0.9456215005599	0.9441612541994	0.9516371780516	0.9573706606942	0.9495856662932	0.9432967525196	0.9934109742439	0.938508398656	0.9539664053751	0.9549025755879	
26788	0.9467037479467	0.9542145736898	0.9510527101689	0.9483948036435	0.9547745259072	0.9608705390474	0.9542183067046	0.9482828131999	0.9944042108407	0.9429072719129	0.9584440794385	0.9584627445124	
31251	0.9521455313431	0.9583149339222	0.9549454417458	0.9532558958113	0.9575405587021	0.963799558414	0.9582029375059	0.9537006815782	0.9951905539023	0.9466673066462	0.9618956193403	0.9612332405362	
35714	0.9567284538274	0.9622640981132	0.9589404715234	0.956669653357	0.9601108808866	0.9657165257324	0.9612168897354	0.957411659293	0.9957383659072	0.9509884079074	0.9649745197964	0.9631041048332	
40177	0.9603454712894	0.965383179431	0.9623491052095	0.959969634368	0.9623092814297	0.9678373198596	0.9641809990791	0.9612116384997	0.9960947805958	0.9542150981906	0.9679841700474	0.9654727829355	
44640	0.9634318996416	0.968122759857	0.9651859318996	0.9626747311827	0.9642069892473	0.9700918458782	0.9670519713262	0.9643257168459	0.9965277777779	0.9566666666666	0.9706854838709	0.9674395161292	
