	sequences per sample	iteration	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
alpha_rarefaction_10_0.txt	10	0	0.2	0.5	0.5	0.2	0.5	0.6	0.4	0.2	0.2	0.2	0.2	0.8
alpha_rarefaction_10_1.txt	10	1	0.0	0.5	0.2	0.3	0.5	0.6	0.4	0.2	0.4	0.0	0.3	0.6
alpha_rarefaction_10_2.txt	10	2	0.0	0.6	0.2	0.4	0.4	0.8	0.2	0.0	0.5	0.3	0.0	0.6
alpha_rarefaction_10_3.txt	10	3	0.2	0.4	0.5	0.3	0.3	0.7	0.3	0.0	0.4	0.0	0.2	0.3
alpha_rarefaction_10_4.txt	10	4	0.0	0.4	0.4	0.3	0.6	0.8	0.6	0.0	0.4	0.3	0.5	0.5
alpha_rarefaction_10_5.txt	10	5	0.0	0.4	0.3	0.3	0.4	0.5	0.2	0.0	0.4	0.0	0.4	0.7
alpha_rarefaction_10_6.txt	10	6	0.0	0.3	0.3	0.6	0.0	0.6	0.2	0.0	0.7	0.4	0.0	0.5
alpha_rarefaction_10_7.txt	10	7	0.0	0.6	0.5	0.4	0.2	0.5	0.0	0.0	0.4	0.0	0.0	0.2
alpha_rarefaction_10_8.txt	10	8	0.2	0.6	0.2	0.5	0.7	0.5	0.0	0.0	0.0	0.2	0.0	0.5
alpha_rarefaction_10_9.txt	10	9	0.2	0.6	0.4	0.0	0.3	0.6	0.2	0.0	0.5	0.7	0.2	0.5
alpha_rarefaction_4473_0.txt	4473	0	0.87614576347	0.905432595573	0.8895595797	0.88665325285	0.912363067293	0.920187793427	0.899619941873	0.87614576347	0.979432148446	0.877710708697	0.89827856025	0.919293539012
alpha_rarefaction_4473_1.txt	4473	1	0.868991728147	0.904314777554	0.89939637827	0.88777107087	0.912363067293	0.927565392354	0.894254415381	0.872792309412	0.981667784485	0.887323943662	0.908338922423	0.914598703331
alpha_rarefaction_4473_2.txt	4473	2	0.872345182204	0.899172814666	0.900961323497	0.890230270512	0.907444668008	0.925776883523	0.903867650347	0.885758998435	0.977867203219	0.894701542589	0.900737759893	0.921752738654
alpha_rarefaction_4473_3.txt	4473	3	0.871227364185	0.900514196289	0.890006706908	0.891795215739	0.91102168567	0.926671137939	0.909680304047	0.876816454281	0.979432148446	0.888218198077	0.90520903197	0.90990386765
alpha_rarefaction_4473_4.txt	4473	4	0.867203219316	0.903196959535	0.881064162754	0.891124524927	0.912363067293	0.926224010731	0.897831433043	0.869215291751	0.979208584842	0.890230270512	0.902749832327	0.920411357031
alpha_rarefaction_4473_5.txt	4473	5	0.864744019674	0.892242342947	0.89649005142	0.891571652135	0.916163648558	0.925776883523	0.899843505477	0.87323943662	0.979879275654	0.886429689247	0.904314777554	0.915940084954
alpha_rarefaction_4473_6.txt	4473	6	0.871003800581	0.896937178627	0.894477978985	0.89358372457	0.914822266935	0.921752738654	0.900514196289	0.886429689247	0.982114911692	0.888218198077	0.898949251062	0.919293539012
alpha_rarefaction_4473_7.txt	4473	7	0.867203219316	0.893360160966	0.894030851777	0.890900961323	0.911468812877	0.9244355019	0.902973395931	0.875251509054	0.976525821596	0.891348088531	0.89649005142	0.919964229823
alpha_rarefaction_4473_8.txt	4473	8	0.870556673374	0.90811535882	0.895819360608	0.896042924212	0.91571652135	0.928012519562	0.89649005142	0.875922199866	0.980773530069	0.882405544377	0.900737759893	0.917281466577
alpha_rarefaction_4473_9.txt	4473	9	0.870780236977	0.896266487816	0.89939637827	0.896266487816	0.914598703331	0.92264699307	0.90409121395	0.884417616812	0.978537894031	0.890006706908	0.904314777554	0.915940084954
alpha_rarefaction_8936_0.txt	8936	0	0.898836168308	0.920658012534	0.91763652641	0.920993733214	0.934198746643	0.938898836168	0.925805729633	0.907564905998	0.989145031334	0.912488809311	0.933303491495	0.931401074306
alpha_rarefaction_8936_1.txt	8936	1	0.905774395703	0.925022381379	0.917188898836	0.917412712623	0.9315129812	0.940129811996	0.923231871083	0.905214861235	0.987466427932	0.910138764548	0.928267681289	0.937779767234
alpha_rarefaction_8936_2.txt	8936	2	0.903983885407	0.923008057296	0.914615040286	0.912712623098	0.929498657117	0.94057743957	0.925470008953	0.909914950761	0.988249776186	0.911145926589	0.924015219338	0.935429722471
alpha_rarefaction_8936_3.txt	8936	3	0.907788719785	0.919874664279	0.917076991943	0.918084153984	0.931401074306	0.940913160251	0.924798567592	0.909355416294	0.987466427932	0.913831692032	0.9315129812	0.93442256043
alpha_rarefaction_8936_4.txt	8936	4	0.904991047449	0.927708146822	0.915957923008	0.915734109221	0.930058191585	0.942591763653	0.927820053715	0.91215308863	0.987130707252	0.911145926589	0.929946284691	0.935317815577
alpha_rarefaction_8936_5.txt	8936	5	0.901745747538	0.922000895255	0.918531781558	0.911257833483	0.933639212175	0.93766786034	0.925134288272	0.913607878245	0.987130707252	0.914503133393	0.931624888093	0.93733213966
alpha_rarefaction_8936_6.txt	8936	6	0.90599820949	0.922224709042	0.919650850492	0.915846016115	0.931624888093	0.94024171889	0.929051029543	0.908236347359	0.985004476276	0.914167412713	0.928491495076	0.94024171889
alpha_rarefaction_8936_7.txt	8936	7	0.902417188899	0.922000895255	0.914615040286	0.916741271262	0.935765443151	0.941920322292	0.924127126231	0.910026857654	0.987578334825	0.916741271262	0.927484333035	0.93442256043
alpha_rarefaction_8936_8.txt	8936	8	0.904095792301	0.929386750224	0.926141450313	0.918755595345	0.931736794987	0.942144136079	0.924127126231	0.909579230081	0.989480752014	0.910922112802	0.929051029543	0.932967770815
alpha_rarefaction_8936_9.txt	8936	9	0.904767233662	0.924574753805	0.91472694718	0.916405550582	0.93475828111	0.936884512086	0.927596239928	0.911481647269	0.987466427932	0.911145926589	0.931624888093	0.933974932856
alpha_rarefaction_13399_0.txt	13399	0	0.921561310546	0.930815732517	0.929472348683	0.929173818942	0.937905813867	0.949697738637	0.938353608478	0.925591462049	0.990223150981	0.926785581014	0.940294051795	0.942831554594
alpha_rarefaction_13399_1.txt	13399	1	0.921412045675	0.933502500187	0.928651391895	0.928800656765	0.940741846406	0.94902604672	0.934845884021	0.92290469438	0.98977535637	0.923128591686	0.939547727442	0.942756922158
