per_sample	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
10	0.892	0.726	0.83	0.816	0.786	0.582	0.864	0.896	0.852	0.862	0.876	0.654	
4473	0.9888729400523	0.8178841286783	0.9377444186695	0.90611124331	0.8682289029404	0.6385733633237	0.9683159842877	0.9809343079369	0.9166874461364	0.9598358114507	0.9788835704443	0.7559323599395	
8936	0.9889750545809	0.8160089498464	0.9363021203602	0.9043263260114	0.8665031309884	0.6367049125422	0.969003588835	0.9808048995984	0.9164397137428	0.9599719486385	0.9789869235242	0.7587142458978	
13399	0.9889897390065	0.8161926896186	0.9357066150677	0.9052128714622	0.8673518977697	0.6368940004584	0.9691904852743	0.9804197196928	0.9170046647807	0.9596378343414	0.9789740583972	0.7559667150368	
17862	0.9890567322514	0.8171629979057	0.9364696264715	0.9058880728815	0.8677617158963	0.6376436561667	0.969225897283	0.9806907254626	0.9163499110819	0.9598941008323	0.9787031237548	0.7554882102188	
22325	0.9890365603317	0.8167843980493	0.9357323774185	0.905812630024	0.8676669546014	0.6364738792825	0.9693539907379	0.9807033012518	0.9167502790523	0.9598304690081	0.9788567097332	0.7567241762168	
26788	0.9891043652492	0.8172614943578	0.9358414898711	0.9057952953043	0.8681572425984	0.6363422272322	0.9690831860619	0.9806650547831	0.9164632247932	0.9598099760024	0.97871665546	0.7544615111962	
31251	0.9890486063854	0.8170293633513	0.9362379126725	0.9054418468651	0.8677187677278	0.6380055705743	0.9691940173874	0.9806958966024	0.9167432427833	0.9601357776423	0.9789110166349	0.7567458148658	
35714	0.9890905610978	0.8173086038549	0.9361065002201	0.9054866980685	0.8676636252762	0.6375854911191	0.9691662528988	0.9806518483508	0.9167234615807	0.9600663649684	0.9788882386324	0.7561298807913	
40177	0.9890992143967	0.8167960563986	0.9358764081181	0.9055147480599	0.8680406688022	0.6379763672983	0.9691232314877	0.9806825236638	0.9168722126124	0.959884542782	0.9787739158398	0.7553945267167	
44640	0.9891037786563	0.81701498688	0.9359511652759	0.9053419370094	0.868267667224	0.6370365973386	0.9693009575407	0.9807121037394	0.9167917706447	0.9601029283651	0.9788078296223	0.7559167624146	
