per_sample	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
10	55	55	51.8	55	51.8	51.8	55	51.8	48.6	51.8	48.6	51.8	
10180	13942.33486974	12323.64084536	10634.20326328	13693.93314779	9097.735647735	12831.33207363	8777.442576076	10316.57871662	14471.17560036	11877.51888297	12770.62351655	10048.095400898	
20350	19747.64425582	18041.36642519	15530.46260837	19291.95062617	12411.18885285	18318.95333495	13073.45132719	15270.97630749	22273.27252838	18298.91834772	18833.87404514	14650.10608996	
30520	24106.86607686	22081.63513331	19076.23857497	23073.83243977	14872.50057845	21918.71049778	16448.35439384	19020.34698645	27551.27023036	23131.63300357	22844.33400819	17573.55833447	
40690	26610.47979972	24793.78882045	22009.52984182	25422.39902634	16702.61046934	23469.19943325	18632.78372009	21875.2742113	30588.12589031	26510.8882811	25444.77917266	19743.68576794	
50860	28375.01766146	27084.33055903	24132.23598651	26842.37477722	18239.60858289	25102.17424395	20855.08540764	24231.34906508	33328.6351339	29440.01793793	27416.58792331	21387.75939672	
61030	29713.99422793	28889.55298589	25919.2438527	28007.8452267	19170.06188005	25629.31465942	22568.11276116	26016.71144622	35625.76354676	31630.79495794	29169.09499355	22753.72023876	
71200	30298.20902486	30231.06060492	27185.63399525	28196.3542754	19936.02286868	25957.54290527	23837.31100634	27755.27069491	36774.27197337	33063.43484333	30154.39565986	23691.20958349	
81370	31014.34867244	31088.21416518	28234.97455328	28304.60519886	20672.03486348	26341.54511775	25187.54227563	28724.70092742	38462.07967848	34834.72941559	31131.47022443	24438.36951588	
91540	31447.44616326	32244.11148341	29326.86735389	28631.47715572	21393.9584661	26361.80003577	26013.56377689	29402.19029995	39065.36748625	35652.04946248	31684.7536816	24996.73874848	
101710	31524.60455226	32813.72338	29770.70556952	28489.25547535	21593.17153584	26188.24833964	27257.69893028	30291.73333381	39738.67993483	36670.23135656	32007.3052186	25368.37408288	
