per_sample	CK	JXBR16	RW37	R37J16
10	55	51.8	48.6	55	
10180	13662.35020645	13190.06502151	11964.15434569	12807.40037324	
20350	20259.78532691	20335.56045863	18557.86596102	19422.42312148	
30520	25216.69950491	24461.64839329	23356.47085215	24747.54042051	
40690	29545.8514353	28109.3372839	27739.04682153	28916.56379342	
50860	32481.69632962	30934.19241033	31369.78785194	32528.42620789	
61030	35703.41818091	33357.80175752	34481.10889287	35195.17108846	
71200	37994.12996531	34911.40169554	36521.99864258	38025.22351778	
81370	39995.14731589	36334.19314306	38521.37997407	39737.73050891	
91540	41542.74171834	37444.1180472	40297.58615836	41923.69311766	
101710	42946.01277057	38362.57391758	42168.3695108	43454.60697121	
