	sequences per sample	iteration	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
alpha_rarefaction_10_0.txt	10	0	55.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	23.0	55.0	55.0	55.0
alpha_rarefaction_10_1.txt	10	1	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0
alpha_rarefaction_10_2.txt	10	2	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_3.txt	10	3	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	23.0	23.0	55.0
alpha_rarefaction_10_4.txt	10	4	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_5.txt	10	5	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_6.txt	10	6	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_7.txt	10	7	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0
alpha_rarefaction_10_8.txt	10	8	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_9.txt	10	9	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10180_0.txt	10180	0	14628.0330739	12128.5440415	10227.5319549	13246.4153005	8990.11775044	12999.8297872	8832.53161593	10261.2169421	15191.2201258	12072.9541833	13312.1386555	10357.1084112
alpha_rarefaction_10180_1.txt	10180	1	14104.8491921	12666.453405	10795.2480315	14725.5411765	8770.9471831	13285.8829787	8582.89130435	10625.4040179	15157.1590909	11450.8689788	12774.0688259	8943.82653061
alpha_rarefaction_10180_2.txt	10180	2	14063.1242938	12527.7886323	10669.7609562	13492.5383212	8862.03374778	12981.0541516	9440.11488251	10408.7954071	13531.7916667	12365.45	13486.2962963	9985.56766917
alpha_rarefaction_10180_3.txt	10180	3	14019.4809886	12776.107078	10227.7325581	13605.0377698	8980.12406015	13111.5773585	9241.02469136	10048.1	14084.2251407	11713.5167653	12435.8670757	10741.7485605
alpha_rarefaction_10180_4.txt	10180	4	14117.2967245	12108.683391	10805.9824561	13966.1449016	9374.96126761	12938.8625678	8474.00236407	10456.875	13196.7333333	11887.8636364	12438.2210526	10046.5553471
alpha_rarefaction_10180_5.txt	10180	5	13671.0144665	12641.8333333	10733.3085938	12818.8917976	9150.50922509	12289.016835	8838.43636364	10174.186722	15292.9090909	11703.1569767	12799.0433884	9603.78691589
alpha_rarefaction_10180_6.txt	10180	6	14347.9468691	11990.1408935	10778.9248555	14033.9741697	9082.35338346	12897.1568627	8544.71162791	10356.6175824	14845.1130952	12353.7190776	11773.8951311	10014.0837887
alpha_rarefaction_10180_7.txt	10180	7	13294.5295203	11721.0473773	10953.3439364	13273.3654545	9377.58669355	12391.6666667	8796.79097387	10447.8285714	14399.5691383	11283.5833333	12876.6317992	9764.44852941
alpha_rarefaction_10180_8.txt	10180	8	13941.6052142	12176.5823224	10827.488764	13859.5027322	9179.17073171	12749.3461538	8222.78718535	10235.2201258	14489.6122449	12008.1972656	12865.006135	10198.5019608
alpha_rarefaction_10180_9.txt	10180	9	13235.4683544	12499.2279793	10322.7105263	13917.9198543	9209.55243446	12668.9273743	8801.13475177	10151.5427975	14523.4230769	11935.8786127	12945.0668058	10825.3262956
alpha_rarefaction_20350_0.txt	20350	0	18991.5650888	18059.0294118	15318.5584726	19299.972561	12662.56621	18310.8588957	13635.4015748	14929.7626263	22806.0415225	17384.0114811	19263.6734694	14427.2289294
alpha_rarefaction_20350_1.txt	20350	1	19943.8238342	19125.1183036	15456.3768786	18307.9951644	12444.1859931	17613.0049801	12845.040724	15290.1259542	22683.875	18869.1259352	18334.3496503	14535.5280374
alpha_rarefaction_20350_2.txt	20350	2	20333.2430998	18530.5107991	14801.561707	19040.166998	12441.6523256	18965.6287129	13005.4715569	15254.4808878	22191.9170404	18295.9175627	19025.1495327	14427.0178998
